iteration,accepted,npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,mean_NPV,std_NPV,med_NPV
108.0,rejected,1193.0,-1173.87746487,-2519.30497444,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.6064729,2505149554.06,5996880.65941,2501980067.84
109.0,rerun,1193.0,-1173.877466,-2519.30504816,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.6069552,2508654594.99,7260814.76629,2511999914.0
110.0,accepted,1193.0,-1173.8774626,-2519.30501466,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.6069472,2512462144.63,8038498.58921,2516155302.24
111.0,rejected,1193.0,-1173.87746517,-2519.30509809,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.6072048,2506309748.99,5135397.63303,2505096133.36
112.0,rerun,1193.0,-1173.8774626,-2519.30501466,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.6069472,2505625680.17,3560116.48289,2505973380.03
113.0,accepted,1193.0,-1173.87746,-2519.30505101,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.6070801,2509097382.96,7582424.1939,2511967384.94
114.0,rejected,1193.0,-1173.87746147,-2519.30501822,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.6067842,2506250723.7,3701597.00797,2505754774.25
115.0,rerun,1193.0,-1173.87746,-2519.30505101,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.6070801,2509991296.25,2812197.38874,2508819733.32
116.0,rejected,1193.0,-1173.87745943,-2519.30509654,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.6069497,2504078443.3,667965.525173,2503844031.65
117.0,rerun,1193.0,-1173.87746,-2519.30505101,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.6070801,2513189510.7,8076988.63927,2514162557.75
118.0,accepted,1193.0,-1173.87746066,-2519.30507467,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.6071845,2516323798.12,3975232.41301,2517814690.04
119.0,rejected,1193.0,-1173.87746172,-2519.30507096,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.6070642,2504830971.78,8480686.44838,2501082511.22
120.0,rerun,1193.0,-1173.87746066,-2519.30507467,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.6071845,2508300867.13,8091107.96227,2511478808.91
121.0,rejected,1193.0,-1173.87746037,-2519.30509676,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.607234,2511070665.51,7268413.85262,2512986242.28
122.0,rerun,1193.0,-1173.87746066,-2519.30507467,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.6071845,2505147755.03,3336104.41581,2503223827.25
123.0,rejected,1193.0,-1173.87746087,-2519.30506014,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.6072174,2505811711.41,5072411.49541,2505466680.35
124.0,rerun,1193.0,-1173.87746066,-2519.30507467,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.6071845,2516456680.02,1867472.83707,2517275532.01
125.0,rejected,1193.0,-1173.87746085,-2519.30508173,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.6072175,2509676653.06,659527.419279,2509674615.85
126.0,rerun,1193.0,-1173.87746066,-2519.30507467,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.6071845,2509802120.43,2907203.96771,2510257334.09
127.0,rejected,1193.0,-1173.87746045,-2519.30506953,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.6071935,2507768219.35,6128341.70588,2504606312.1
128.0,rerun,1193.0,-1173.87746066,-2519.30507467,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.6071845,2508797747.35,5601308.39807,2511503243.11
129.0,accepted,1193.0,-1173.87746061,-2519.30507015,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.6071754,2514566503.68,3705290.36075,2515855354.1
130.0,rejected,1193.0,-1173.87746074,-2519.30507683,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.6071872,2508063403.3,5833475.35869,2504896735.43
131.0,rerun,1193.0,-1173.87746061,-2519.30507015,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.6071754,2515082385.33,1947611.16798,2515875123.15
132.0,rejected,1193.0,-1173.87746075,-2519.3050739,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.607181,2509204578.06,5069396.24608,2507883659.96
133.0,rerun,1193.0,-1173.87746061,-2519.30507015,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.6071754,2508640781.34,5501022.84748,2506108392.54
134.0,accepted,1193.0,-1173.87746057,-2519.30506806,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.6071865,2514618142.05,6104557.38395,2513994743.56
135.0,accepted,1193.0,-1173.87746061,-2519.30507076,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33729.6071877,2516165805.98,4113660.24264,2516758658.19
