,index,npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,prefix,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight
11,14,1280.0,-100.0,-2513.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,south_texas_project,west_south_central,covid,2415252296.96,52715093.6367,2415403303.25,2497244769.71,2339071177.74,2349024393.59,2496959781.19,10.0,2778881097130000.0,0.21326342396499998,27,0.23605150214600001,7.33015574597e-14,0.12499062476600001,0.00629217198737
12,7,1280.0,-1265.0,-15000.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,100000.0,ref,south_texas_project,west_south_central,covid,2065316851.72,37724375.0792,2071016623.15,2128866362.28,2019182726.54,2022401819.36,2118579872.7,10.0,1423128475120000.0,0.5,16,0.263948497854,7.33015574597e-14,0.249993749844,0.0329927373721
13,12,1280.0,-1265.0,-15000.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,400000.0,ref,south_texas_project,west_south_central,covid,2064774349.41,54150662.291999996,2055325230.56,2143765658.23,1983395065.44,1999685337.02,2143398790.15,10.0,2932294226660000.0,0.5,22,0.263948497854,7.33015574597e-14,0.250006250156,0.0329943870914
14,8,1280.0,-1265.0,-15000.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,200000.0,ref,south_texas_project,west_south_central,covid,2064467201.65,25897204.2447,2064143530.84,2115519030.81,2016015246.31,2030003084.31,2099731131.13,10.0,670665187691000.0,0.5,19,0.263948497854,7.33015574597e-14,0.375009375234,0.0494915806372
15,16,1280.0,-650.0,-2513.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,100000.0,ref,south_texas_project,west_south_central,covid,1894906982.12,58313011.3764,1889681686.68,1984368021.23,1818607153.98,1819328315.72,1977253254.87,10.0,3400407295780000.0,0.21326342396499998,29,0.5,7.33015574597e-14,0.249993749844,0.0266572615308
16,19,1280.0,-650.0,-2513.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,200000.0,ref,south_texas_project,west_south_central,covid,1879967248.03,87600012.1276,1904729457.59,1992108676.31,1716643033.48,1743153807.19,1983591022.57,10.0,7673762124760000.0,0.21326342396499998,32,0.5,7.33015574597e-14,0.375009375234,0.039987891690699995
17,11,1280.0,-650.0,-2513.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,south_texas_project,west_south_central,covid,1839646793.88,66329454.7235,1831385382.99,1939652331.64,1756412780.8,1759494588.45,1936266876.07,10.0,4399596563920000.0,0.21326342396499998,26,0.5,7.33015574597e-14,0.12499062476600001,0.013327964300500001
18,20,1280.0,-650.0,-2513.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,400000.0,ref,south_texas_project,west_south_central,covid,1834995373.21,80373088.2888,1844229806.47,1980764440.81,1709636607.57,1728823294.37,1954066492.45,10.0,6459833321080000.0,0.21326342396499998,35,0.5,7.33015574597e-14,0.250006250156,0.0266585944605
19,4,1280.0,-1265.0,-15000.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,south_texas_project,west_south_central,covid,1831744942.0,48507318.1635,1855331050.95,1875949737.81,1739045473.19,1747387723.91,1873376442.92,10.0,2352959915420000.0,0.5,13,0.263948497854,7.33015574597e-14,0.12499062476600001,0.0164955438264
20,15,1280.0,-1265.0,-2513.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,100000.0,ref,south_texas_project,west_south_central,covid,1253605329.81,73284235.2828,1280924999.59,1334732641.38,1141412766.71,1145172511.71,1326619236.76,10.0,5370579140990000.0,0.21326342396499998,28,0.263948497854,7.33015574597e-14,0.249993749844,0.0140722882759
21,13,1280.0,-1265.0,-2513.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,south_texas_project,west_south_central,covid,1205300069.42,71690283.3768,1193417226.21,1336776596.51,1112062609.13,1123182277.66,1315265082.87,10.0,5139496730640000.0,0.21326342396499998,25,0.263948497854,7.33015574597e-14,0.12499062476600001,0.00703579231315
22,22,1280.0,-1265.0,-2513.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,400000.0,ref,south_texas_project,west_south_central,covid,1190559908.16,55167415.5812,1178274050.45,1300615300.09,1112666892.44,1126300318.48,1273481787.25,10.0,3043443741900000.0,0.21326342396499998,34,0.263948497854,7.33015574597e-14,0.250006250156,0.0140729919255
23,18,1280.0,-1265.0,-2513.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,200000.0,ref,south_texas_project,west_south_central,covid,1188637139.59,75271850.606,1165324729.91,1318573129.23,1107223022.73,1115691552.08,1303550887.52,10.0,5665851493650000.0,0.21326342396499998,31,0.263948497854,7.33015574597e-14,0.375009375234,0.0211094878882
