SteamGen_capacity,Converter1_capacity,NewBOP_capacity,Charger_capacity,TES_capacity,Convert2_capacity,Grid_capacity,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-TES_capacity,ProbabilityWeight,ProbabilityWeight-NewBOP_capacity,ProbabilityWeight-Charger_capacity,PointProbability
203.0,-203.0,-380.0,-200.0,600.0,-203.0,-1e+200,298786374.989,484184.05274,298617449.712,300123715.279,298149852.98,298290472.467,299541116.871,20.0,234434196928.0,41,0.0809061488673,0.0134843581446,0.333333333333,0.5,8.98957209637e-06
203.0,-203.0,-400.0,-200.0,1218.0,-203.0,-1e+200,299591478.467,455842.627345,299655454.879,300211892.236,298463995.275,298780395.367,300193658.06,20.0,207792500905.0,40,0.0145631067961,0.00121359223301,0.166666666667,0.5,8.98957209637e-06
203.0,-203.0,-380.0,-200.0,700.0,-203.0,-1e+200,298751748.514,342055.115527,298748268.971,299341186.543,298159470.465,298293513.919,299323533.341,20.0,117001702058.0,42,0.161812297735,0.0269687162891,0.333333333333,0.5,8.98957209637e-06
203.0,-203.0,-380.0,-200.0,800.0,-203.0,-1e+200,298695345.127,469206.415703,298654037.576,299521037.273,298088322.415,298091153.045,299467954.935,20.0,220154660537.0,43,0.161812297735,0.0269687162891,0.333333333333,0.5,8.98957209637e-06
203.0,-203.0,-380.0,-200.0,900.0,-203.0,-1e+200,298038342.746,389940.53317,297956277.247,298652094.995,297249907.769,297570102.156,298630374.16,20.0,152053619409.0,44,0.161812297735,0.0269687162891,0.333333333333,0.5,8.98957209637e-06
203.0,-203.0,-380.0,-200.0,1000.0,-203.0,-1e+200,297422336.295,314976.090918,297339901.212,298022440.479,296971523.396,297061010.094,297988044.262,20.0,99209937849.9,45,0.161812297735,0.0269687162891,0.333333333333,0.5,8.98957209637e-06
203.0,-203.0,-380.0,-200.0,1100.0,-203.0,-1e+200,296574494.008,439586.471422,296612419.045,297428544.901,295523725.921,295948794.96,297105140.475,20.0,193236265857.0,46,0.161812297735,0.0269687162891,0.333333333333,0.5,8.98957209637e-06
203.0,-203.0,-380.0,-200.0,1200.0,-203.0,-1e+200,295855348.158,348824.534659,295787845.399,296456246.794,295255517.259,295404752.658,296418406.52,20.0,121678555980.0,47,0.0954692556634,0.0159115426106,0.333333333333,0.5,8.98957209637e-06
203.0,-203.0,-380.0,-200.0,1218.0,-203.0,-1e+200,295619632.188,428694.597476,295579620.694,296895872.534,294879581.05,294987428.855,296179124.877,20.0,183779057906.0,48,0.0145631067961,0.00242718446602,0.333333333333,0.5,8.98957209637e-06
203.0,-203.0,-360.0,-200.0,600.0,-203.0,-1e+200,295009147.063,306218.331672,295030801.963,295473257.291,294348496.256,294428866.804,295415508.714,20.0,93769666651.7,49,0.0809061488673,0.0134843581446,0.333333333333,0.5,8.98957209637e-06
203.0,-203.0,-360.0,-200.0,700.0,-203.0,-1e+200,294939519.361,431763.65647,294938205.271,295697664.329,293977901.244,294080397.193,295489999.968,20.0,186419855048.0,50,0.161812297735,0.0269687162891,0.333333333333,0.5,8.98957209637e-06
203.0,-203.0,-360.0,-200.0,800.0,-203.0,-1e+200,294689854.782,278031.719337,294728594.671,295105256.382,294095064.607,294296507.593,295036947.886,20.0,77301636957.2,51,0.161812297735,0.0269687162891,0.333333333333,0.5,8.98957209637e-06
203.0,-203.0,-360.0,-200.0,900.0,-203.0,-1e+200,294069807.487,442489.596134,294096035.761,295038931.934,293148536.409,293351920.088,294543550.538,20.0,195797042687.0,52,0.161812297735,0.0269687162891,0.333333333333,0.5,8.98957209637e-06
203.0,-203.0,-360.0,-200.0,1000.0,-203.0,-1e+200,293242890.608,375859.21408,293324870.725,293752594.316,292134391.275,292765137.571,293669390.263,20.0,141270148809.0,53,0.161812297735,0.0269687162891,0.333333333333,0.5,8.98957209637e-06
203.0,-203.0,-360.0,-200.0,1100.0,-203.0,-1e+200,292399851.727,356574.488672,292436333.19,293156141.45,291642144.677,291813570.737,292803017.853,20.0,127145365972.0,54,0.161812297735,0.0269687162891,0.333333333333,0.5,8.98957209637e-06
203.0,-203.0,-340.0,-200.0,600.0,-203.0,-1e+200,291491341.533,294864.322951,291463029.248,292113829.257,290906255.848,291135637.268,291985073.787,20.0,86944968949.4,57,0.0809061488673,0.00674217907228,0.166666666667,0.5,8.98957209637e-06
203.0,-203.0,-360.0,-200.0,1200.0,-203.0,-1e+200,291536017.909,364299.983993,291577796.353,291964395.897,290674399.229,290723574.015,291932025.141,20.0,132714478338.0,55,0.0954692556634,0.0159115426106,0.333333333333,0.5,8.98957209637e-06
203.0,-203.0,-360.0,-200.0,1218.0,-203.0,-1e+200,291380004.885,429610.787757,291345809.541,292059525.034,290459726.678,290683315.122,291992917.804,20.0,184565428957.0,56,0.0145631067961,0.00242718446602,0.333333333333,0.5,8.98957209637e-06
203.0,-203.0,-340.0,-200.0,700.0,-203.0,-1e+200,291116683.103,374723.95356,291130104.787,291683723.825,290510382.983,290589301.1,291664542.104,20.0,140418041371.0,58,0.161812297735,0.0134843581446,0.166666666667,0.5,8.98957209637e-06
203.0,-203.0,-340.0,-200.0,800.0,-203.0,-1e+200,290290702.696,357252.258509,290258557.4,291107801.877,289651023.149,289674388.934,290783116.617,20.0,127629176210.0,59,0.161812297735,0.0134843581446,0.166666666667,0.5,8.98957209637e-06
203.0,-203.0,-340.0,-200.0,900.0,-203.0,-1e+200,289622702.742,390365.456892,289601830.114,290592821.091,289071804.367,289138027.545,290325647.697,20.0,152385189934.0,60,0.161812297735,0.0134843581446,0.166666666667,0.5,8.98957209637e-06
203.0,-203.0,-340.0,-200.0,1000.0,-203.0,-1e+200,288951500.639,319921.511302,288938105.778,289580657.239,288137503.886,288547215.35,289446669.918,20.0,102349773394.0,61,0.161812297735,0.0134843581446,0.166666666667,0.5,8.98957209637e-06
203.0,-203.0,-340.0,-200.0,1100.0,-203.0,-1e+200,288015130.631,335895.325561,287961262.165,288570297.537,287366610.472,287398570.88,288538000.058,19.0,112825669734.0,62,0.161812297735,0.0134843581446,0.166666666667,0.5,8.98957209637e-06
203.0,-203.0,-340.0,-200.0,1200.0,-203.0,-1e+200,286853126.742,355245.742988,286860421.693,287404573.884,286144711.982,286333735.571,287383920.756,20.0,126199537911.0,63,0.0954692556634,0.00795577130529,0.166666666667,0.5,8.98957209637e-06
203.0,-203.0,-340.0,-200.0,1218.0,-203.0,-1e+200,286836470.309,328758.957559,286921117.875,287307271.19,286232815.522,286355013.145,287291797.218,20.0,108082452175.0,64,0.0145631067961,0.00121359223301,0.166666666667,0.5,8.98957209637e-06
