SteamGen_capacity,Converter1_capacity,NewBOP_capacity,Charger_capacity,TES_capacity,Convert2_capacity,Grid_capacity,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-TES_capacity,PointProbability,ProbabilityWeight-Charger_capacity,ProbabilityWeight-NewBOP_capacity,ProbabilityWeight
203.0,-203.0,-380.0,-203.0,800.0,-203.0,-1e+200,418071932.621,26581469.1939,413080491.343,471116351.78,379457063.35,380360821.056,468107822.676,16.0,7.06574504504e+14,24,0.0769230769231,9.47328533535e-09,0.00738916256158,0.05,2.84198560061e-05
203.0,-203.0,-380.0,-203.0,700.0,-203.0,-1e+200,408356919.978,19890330.7608,404782588.073,464723574.398,376574315.639,381562072.807,441639148.597,19.0,3.95625257772e+14,23,0.0769230769231,9.47328533535e-09,0.00738916256158,0.05,2.84198560061e-05
203.0,-203.0,-380.0,-203.0,900.0,-203.0,-1e+200,410010452.579,17552535.0812,410069323.156,440532847.811,376389075.371,384955633.812,437141081.412,16.0,3.08091487776e+14,25,0.0769230769231,9.47328533535e-09,0.00738916256158,0.05,2.84198560061e-05
203.0,-203.0,-380.0,-203.0,1000.0,-203.0,-1e+200,420737245.723,21027412.6751,416659301.029,471302039.345,387424308.108,396524381.532,456467706.196,18.0,4.42152083811e+14,26,0.0769230769231,9.47328533535e-09,0.00738916256158,0.05,2.84198560061e-05
203.0,-203.0,-380.0,-203.0,1100.0,-203.0,-1e+200,415051296.589,15571373.6897,411561730.977,446769712.586,387566267.465,395502232.526,436691859.859,17.0,2.42467678585e+14,27,0.0769230769231,9.47328533535e-09,0.00738916256158,0.05,2.84198560061e-05
203.0,-203.0,-380.0,-203.0,1200.0,-203.0,-1e+200,427783417.961,24626552.0545,428446991.054,477371193.533,380936601.492,391724661.322,459837408.311,18.0,6.06467066092e+14,28,0.0453846153846,9.47328533535e-09,0.00738916256158,0.05,1.67677150436e-05
203.0,-203.0,-380.0,-203.0,1218.0,-203.0,-1e+200,421683587.793,22345796.7542,424323301.473,449716198.758,384519176.2,387697127.928,447557292.807,16.0,4.99334632578e+14,29,0.0384615384615,9.47328533535e-09,0.00738916256158,0.05,1.4209928003e-05
203.0,-203.0,-380.0,-203.0,1300.0,-203.0,-1e+200,430913866.351,22942092.8915,430079579.688,467498842.272,392317838.623,392678239.895,460804108.904,16.0,5.26339626243e+14,30,0.0315384615385,9.47328533535e-09,0.00738916256158,0.05,1.16521409625e-05
203.0,-203.0,-360.0,-203.0,0.0,-203.0,-1e+200,307260795.095,22185328.3574,309777705.199,344346449.632,271359497.463,280506778.039,337708433.063,20.0,4.92188794325e+14,31,0.0384615384615,9.47328533535e-09,0.00738916256158,0.05,1.4209928003e-05
203.0,-203.0,-360.0,-203.0,100.0,-203.0,-1e+200,335236184.871,20970273.7342,336137295.381,374065304.544,296522048.706,305716328.911,362767406.083,20.0,4.39752380488e+14,32,0.0769230769231,9.47328533535e-09,0.00738916256158,0.05,2.84198560061e-05
203.0,-203.0,-360.0,-203.0,300.0,-203.0,-1e+200,380161744.711,19659173.3906,381296380.092,421594705.02,345119789.787,354764854.244,409803487.613,16.0,3.864830984e+14,34,0.0769230769231,9.47328533535e-09,0.00738916256158,0.05,2.84198560061e-05
203.0,-203.0,-360.0,-203.0,200.0,-203.0,-1e+200,361390498.574,19105366.1392,360627471.168,408163499.496,335930637.108,337412814.043,391456953.537,16.0,3.65015015312e+14,33,0.0769230769231,9.47328533535e-09,0.00738916256158,0.05,2.84198560061e-05
203.0,-203.0,-360.0,-203.0,400.0,-203.0,-1e+200,393434714.856,23727096.5655,393186600.394,431300028.33,342407462.049,359454518.469,425443614.388,15.0,5.62975111427e+14,35,0.0769230769231,9.47328533535e-09,0.00738916256158,0.05,2.84198560061e-05
203.0,-203.0,-360.0,-203.0,500.0,-203.0,-1e+200,386333885.723,15946028.7652,383881584.681,418708210.12,362111437.366,362199143.56,409520712.305,17.0,2.54275833381e+14,36,0.0769230769231,9.47328533535e-09,0.00738916256158,0.05,2.84198560061e-05
203.0,-203.0,-360.0,-203.0,600.0,-203.0,-1e+200,404321891.585,16555849.1779,402771887.275,432327927.329,381665036.917,384047893.316,425239901.551,18.0,2.74096142001e+14,37,0.0769230769231,9.47328533535e-09,0.00738916256158,0.05,2.84198560061e-05
203.0,-203.0,-360.0,-203.0,700.0,-203.0,-1e+200,400081614.198,22684932.767,401338467.61,434434004.246,357771514.038,365761733.418,433806052.976,18.0,5.14606174643e+14,38,0.0769230769231,9.47328533535e-09,0.00738916256158,0.05,2.84198560061e-05
203.0,-203.0,-360.0,-203.0,800.0,-203.0,-1e+200,412225836.323,19848482.9522,418189574.042,437582006.966,368974775.797,379034394.798,435030781.167,15.0,3.93962275505e+14,39,0.0769230769231,9.47328533535e-09,0.00738916256158,0.05,2.84198560061e-05
203.0,-203.0,-360.0,-203.0,900.0,-203.0,-1e+200,414135007.198,22071532.2868,413201927.558,461661338.654,380550158.623,387208125.445,449261478.568,12.0,4.87152537489e+14,40,0.0769230769231,9.47328533535e-09,0.00738916256158,0.05,2.84198560061e-05
203.0,-203.0,-360.0,-203.0,1000.0,-203.0,-1e+200,413639951.524,23706681.3563,409068264.881,450990059.469,381868848.45,388089457.424,449302117.118,14.0,5.62006740931e+14,41,0.0769230769231,9.47328533535e-09,0.00738916256158,0.05,2.84198560061e-05
203.0,-203.0,-360.0,-203.0,1100.0,-203.0,-1e+200,407890775.151,23848399.2991,403246308.6,469592894.082,377784879.881,379117020.119,443692184.395,18.0,5.68746149128e+14,42,0.0769230769231,9.47328533535e-09,0.00738916256158,0.05,2.84198560061e-05
203.0,-203.0,-360.0,-203.0,1200.0,-203.0,-1e+200,420172510.671,25700189.2916,417674589.478,481677630.12,382609013.579,386897858.665,455537408.329,16.0,6.60499729626e+14,43,0.0453846153846,9.47328533535e-09,0.00738916256158,0.05,1.67677150436e-05
203.0,-203.0,-360.0,-203.0,1218.0,-203.0,-1e+200,415311974.11,25117541.4939,413061825.497,463505797.253,376386618.243,379402291.87,447984579.371,19.0,6.30890890696e+14,44,0.0384615384615,9.47328533535e-09,0.00738916256158,0.05,1.4209928003e-05
203.0,-203.0,-340.0,-203.0,0.0,-203.0,-1e+200,298849538.034,17403595.157,293269249.241,337433619.779,278486288.107,280180394.271,333133138.267,20.0,3.02885124389e+14,46,0.0384615384615,9.47328533535e-09,0.00738916256158,0.05,1.4209928003e-05
203.0,-203.0,-360.0,-203.0,1300.0,-203.0,-1e+200,410020447.43,26452665.7469,404174338.135,472014208.073,382348711.382,383315581.482,466771426.29,16.0,6.99743525119e+14,45,0.0315384615385,9.47328533535e-09,0.00738916256158,0.05,1.16521409625e-05
203.0,-203.0,-340.0,-203.0,100.0,-203.0,-1e+200,341942978.946,18791605.0842,340585525.718,393973973.011,312493325.244,317337371.938,372564946.659,20.0,3.53124421641e+14,47,0.0769230769231,9.47328533535e-09,0.00738916256158,0.05,2.84198560061e-05
203.0,-203.0,-340.0,-203.0,200.0,-203.0,-1e+200,367411957.695,28751731.6642,367687967.802,427746969.501,330310985.065,331460328.133,415817248.806,11.0,8.26662073691e+14,48,0.0769230769231,9.47328533535e-09,0.00738916256158,0.05,2.84198560061e-05
203.0,-203.0,-340.0,-203.0,300.0,-203.0,-1e+200,374308387.75,17877630.0044,377456323.832,395922777.787,338595863.2,344657703.528,395130054.542,15.0,3.19609654574e+14,49,0.0769230769231,9.47328533535e-09,0.00738916256158,0.05,2.84198560061e-05
203.0,-203.0,-340.0,-203.0,400.0,-203.0,-1e+200,388939991.114,17328321.1659,388369470.95,426981074.431,364630889.161,369639565.578,422117930.586,14.0,3.0027071443e+14,50,0.0769230769231,9.47328533535e-09,0.00738916256158,0.05,2.84198560061e-05
203.0,-203.0,-340.0,-203.0,500.0,-203.0,-1e+200,390283463.539,19468679.7458,392536747.217,418220339.457,346231328.389,356629032.487,414726239.666,16.0,3.79029491046e+14,51,0.0769230769231,9.47328533535e-09,0.00738916256158,0.05,2.84198560061e-05
203.0,-203.0,-340.0,-203.0,700.0,-203.0,-1e+200,397618387.671,19727815.7812,400485707.577,424256583.531,362259836.742,362410538.815,424139787.78,16.0,3.89186715497e+14,53,0.0769230769231,9.47328533535e-09,0.00738916256158,0.05,2.84198560061e-05
203.0,-203.0,-340.0,-203.0,600.0,-203.0,-1e+200,396189413.95,15395191.832,398747044.508,420810961.037,368767769.936,372608965.677,416825267.841,15.0,2.37011931545e+14,52,0.0769230769231,9.47328533535e-09,0.00738916256158,0.05,2.84198560061e-05
203.0,-203.0,-340.0,-203.0,800.0,-203.0,-1e+200,392288510.02,22628558.0101,393376311.157,439214953.054,355927320.727,356377121.135,421208719.751,14.0,5.12051637617e+14,54,0.0769230769231,9.47328533535e-09,0.00738916256158,0.05,2.84198560061e-05
203.0,-203.0,-340.0,-203.0,900.0,-203.0,-1e+200,389710342.23,19824895.8888,390767886.692,424520204.089,358061175.969,362795409.771,417349717.789,17.0,3.93026497001e+14,55,0.0769230769231,9.47328533535e-09,0.00738916256158,0.05,2.84198560061e-05
203.0,-203.0,-340.0,-203.0,1000.0,-203.0,-1e+200,404999764.278,19769198.6836,405387135.197,462677876.597,378027326.544,380581188.263,430198932.425,19.0,3.90821216593e+14,56,0.0769230769231,9.47328533535e-09,0.00738916256158,0.05,2.84198560061e-05
203.0,-203.0,-340.0,-203.0,1100.0,-203.0,-1e+200,406219755.383,30162690.3309,402098337.284,451424631.761,359739714.922,370527217.008,451292736.591,16.0,9.09787887995e+14,57,0.0769230769231,9.47328533535e-09,0.00738916256158,0.05,2.84198560061e-05
203.0,-203.0,-340.0,-203.0,1200.0,-203.0,-1e+200,392479273.496,22927100.9586,396197446.119,424966072.79,357835745.397,358660437.467,422381347.316,15.0,5.25651958366e+14,58,0.0453846153846,9.47328533535e-09,0.00738916256158,0.05,1.67677150436e-05
203.0,-203.0,-340.0,-203.0,1218.0,-203.0,-1e+200,407166273.641,24133992.2647,406282954.857,452648946.277,368186954.084,374189473.978,447922445.686,17.0,5.82449582634e+14,59,0.0384615384615,9.47328533535e-09,0.00738916256158,0.05,1.4209928003e-05
203.0,-203.0,-320.0,-203.0,0.0,-203.0,-1e+200,300026025.493,23362269.236,298752597.251,351153001.637,262045589.192,267942295.419,346022459.672,20.0,5.45795623855e+14,61,0.0384615384615,9.47328533535e-09,0.00738916256158,0.05,1.4209928003e-05
203.0,-203.0,-340.0,-203.0,1300.0,-203.0,-1e+200,402297405.004,24055003.3733,399583291.911,445655826.787,359787590.057,369174583.451,435654030.298,18.0,5.78643187291e+14,60,0.0315384615385,9.47328533535e-09,0.00738916256158,0.05,1.16521409625e-05
203.0,-203.0,-320.0,-203.0,100.0,-203.0,-1e+200,342929652.974,25622633.7915,347019447.263,399504017.16,297650245.794,306466438.939,378038600.141,20.0,6.56519362411e+14,62,0.0769230769231,9.47328533535e-09,0.00738916256158,0.05,2.84198560061e-05
203.0,-203.0,-320.0,-203.0,200.0,-203.0,-1e+200,373652671.848,11682807.8183,377999503.466,393090744.387,355329442.547,356660279.827,387389438.423,10.0,1.3648799852e+14,63,0.0769230769231,9.47328533535e-09,0.00738916256158,0.05,2.84198560061e-05
203.0,-203.0,-320.0,-203.0,400.0,-203.0,-1e+200,385649111.702,20308333.347,383496361.957,426006436.082,355771259.875,361825708.341,414628891.076,8.0,4.12428403334e+14,65,0.0769230769231,9.47328533535e-09,0.00738916256158,0.05,2.84198560061e-05
203.0,-203.0,-320.0,-203.0,300.0,-203.0,-1e+200,381749897.791,19970957.8789,379029844.455,420969661.926,355611404.599,356840544.114,412681340.166,9.0,3.98839158602e+14,64,0.0769230769231,9.47328533535e-09,0.00738916256158,0.05,2.84198560061e-05
203.0,-203.0,-320.0,-203.0,500.0,-203.0,-1e+200,371384308.938,19617094.3882,370272835.133,408667713.591,335432692.402,341391232.27,398956256.455,16.0,3.84830392234e+14,66,0.0769230769231,9.47328533535e-09,0.00738916256158,0.05,2.84198560061e-05
203.0,-203.0,-320.0,-203.0,600.0,-203.0,-1e+200,396167244.22,22797175.9134,389945873.221,437683153.737,364381432.549,370696745.453,434632746.7,12.0,5.19711229626e+14,67,0.0769230769231,9.47328533535e-09,0.00738916256158,0.05,2.84198560061e-05
203.0,-203.0,-320.0,-203.0,700.0,-203.0,-1e+200,394108804.146,24770208.9732,388163323.447,451532021.478,356738530.527,365658190.304,431678367.218,14.0,6.13563252575e+14,68,0.0769230769231,9.47328533535e-09,0.00738916256158,0.05,2.84198560061e-05
203.0,-203.0,-320.0,-203.0,800.0,-203.0,-1e+200,393791799.927,24352413.5792,393653815.887,454451920.876,359037195.325,364851903.189,427796625.551,16.0,5.93040047135e+14,69,0.0769230769231,9.47328533535e-09,0.00738916256158,0.05,2.84198560061e-05
203.0,-203.0,-320.0,-203.0,900.0,-203.0,-1e+200,396384340.827,25056880.3201,393382278.574,444104849.214,354129231.578,363358935.74,430517344.718,16.0,6.27847251376e+14,70,0.0769230769231,9.47328533535e-09,0.00738916256158,0.05,2.84198560061e-05
203.0,-203.0,-320.0,-203.0,1000.0,-203.0,-1e+200,393404258.84,26126942.5538,397872642.075,442789460.063,344659881.53,347480430.447,427947047.444,15.0,6.82617127209e+14,71,0.0769230769231,9.47328533535e-09,0.00738916256158,0.05,2.84198560061e-05
203.0,-203.0,-320.0,-203.0,1100.0,-203.0,-1e+200,387958944.67,35423282.7654,394843066.681,447069540.184,326049488.236,330766905.015,429428190.521,14.0,1.25480896188e+15,72,0.0769230769231,9.47328533535e-09,0.00738916256158,0.05,2.84198560061e-05
203.0,-203.0,-320.0,-203.0,1200.0,-203.0,-1e+200,400125333.393,28840336.0538,395437714.508,451890321.941,353132232.539,356885815.897,438771080.015,16.0,8.31764983698e+14,73,0.0453846153846,9.47328533535e-09,0.00738916256158,0.05,1.67677150436e-05
203.0,-203.0,-320.0,-203.0,1218.0,-203.0,-1e+200,394341196.097,26436676.7482,388232438.025,439566994.587,355149683.557,355441028.563,433617388.508,16.0,6.98897877489e+14,74,0.0384615384615,9.47328533535e-09,0.00738916256158,0.05,1.4209928003e-05
203.0,-203.0,-300.0,-203.0,0.0,-203.0,-1e+200,312105027.089,18649071.1273,306249025.334,349277021.125,283233308.354,291241186.548,348342549.972,20.0,3.4778785391e+14,76,0.0384615384615,9.47328533535e-09,0.00738916256158,0.0375,1.06574460023e-05
203.0,-203.0,-320.0,-203.0,1300.0,-203.0,-1e+200,391198632.072,23958316.4914,381909282.841,442562744.709,365466340.697,368830782.878,430093408.877,12.0,5.74000929104e+14,75,0.0315384615385,9.47328533535e-09,0.00738916256158,0.05,1.16521409625e-05
203.0,-203.0,-300.0,-203.0,100.0,-203.0,-1e+200,345612549.721,20496092.3586,342784502.872,387639976.988,311111065.043,316727816.51,386764295.104,20.0,4.2008980197e+14,77,0.0769230769231,9.47328533535e-09,0.00738916256158,0.0375,2.13148920045e-05
203.0,-203.0,-300.0,-203.0,200.0,-203.0,-1e+200,356224011.548,22137733.2873,351610079.735,396431354.835,325302671.211,329944796.873,388018159.351,8.0,4.900792351e+14,78,0.0769230769231,9.47328533535e-09,0.00738916256158,0.0375,2.13148920045e-05
203.0,-203.0,-300.0,-203.0,400.0,-203.0,-1e+200,350273287.267,,350273287.267,350273287.267,350273287.267,350273287.267,350273287.267,1.0,,80,0.0769230769231,9.47328533535e-09,0.00738916256158,0.0375,2.13148920045e-05
203.0,-203.0,-300.0,-203.0,300.0,-203.0,-1e+200,355499215.422,14724900.6615,354388129.297,376964518.447,337620789.638,339643492.056,373703920.471,6.0,2.16822699491e+14,79,0.0769230769231,9.47328533535e-09,0.00738916256158,0.0375,2.13148920045e-05
203.0,-203.0,-300.0,-203.0,500.0,-203.0,-1e+200,374060113.623,24792462.5415,375189741.185,420212385.942,340149346.947,341939875.507,407994152.641,8.0,6.14666198873e+14,81,0.0769230769231,9.47328533535e-09,0.00738916256158,0.0375,2.13148920045e-05
203.0,-203.0,-300.0,-203.0,600.0,-203.0,-1e+200,379867416.65,18337323.9246,374162427.121,408223495.882,348385981.841,358183634.978,405955255.049,13.0,3.36257448716e+14,82,0.0769230769231,9.47328533535e-09,0.00738916256158,0.0375,2.13148920045e-05
203.0,-203.0,-300.0,-203.0,700.0,-203.0,-1e+200,369784532.92,22032454.2484,368633241.979,416825233.402,337986774.478,343437648.52,404900327.919,13.0,4.85429040207e+14,83,0.0769230769231,9.47328533535e-09,0.00738916256158,0.0375,2.13148920045e-05
203.0,-203.0,-300.0,-203.0,800.0,-203.0,-1e+200,370414526.539,19738019.3994,368091315.161,403590797.878,344735375.296,345567067.299,399349901.042,12.0,3.89589409812e+14,84,0.0769230769231,9.47328533535e-09,0.00738916256158,0.0375,2.13148920045e-05
203.0,-203.0,-300.0,-203.0,900.0,-203.0,-1e+200,379135520.114,29415791.8318,377751068.577,421772701.701,324834747.201,338030039.125,415959185.188,9.0,8.65288809094e+14,85,0.0769230769231,9.47328533535e-09,0.00738916256158,0.0375,2.13148920045e-05
203.0,-203.0,-300.0,-203.0,1000.0,-203.0,-1e+200,387213906.017,27970882.1057,399720568.246,426332332.741,346374142.242,350157302.515,419077863.865,12.0,7.82370245771e+14,86,0.0769230769231,9.47328533535e-09,0.00738916256158,0.0375,2.13148920045e-05
203.0,-203.0,-300.0,-203.0,1100.0,-203.0,-1e+200,370219380.823,20654979.5323,371583764.454,394149025.917,339112360.269,340504679.944,394100727.161,14.0,4.26628179478e+14,87,0.0769230769231,9.47328533535e-09,0.00738916256158,0.0375,2.13148920045e-05
203.0,-203.0,-300.0,-203.0,1200.0,-203.0,-1e+200,374912854.969,23080060.9251,381854087.534,414321403.775,330467765.034,342186836.934,404261781.083,11.0,5.32689212308e+14,88,0.0453846153846,9.47328533535e-09,0.00738916256158,0.0375,1.25757862827e-05
203.0,-203.0,-300.0,-203.0,1218.0,-203.0,-1e+200,380381102.638,18375016.269,382866231.476,407738465.086,345715106.806,353012365.769,405198913.475,11.0,3.37641222886e+14,89,0.0384615384615,9.47328533535e-09,0.00738916256158,0.0375,1.06574460023e-05
203.0,-203.0,-290.0,-203.0,0.0,-203.0,-1e+200,318545892.532,19091169.8475,319761634.346,357077750.545,290093437.396,291684768.591,356588753.898,20.0,3.64472766146e+14,91,0.0384615384615,9.47328533535e-09,0.00738916256158,0.025,7.10496400152e-06
203.0,-203.0,-300.0,-203.0,1300.0,-203.0,-1e+200,373078099.701,17825364.9269,373027546.068,395415762.123,331346937.783,344136953.195,394684109.711,12.0,3.17743634777e+14,90,0.0315384615385,9.47328533535e-09,0.00738916256158,0.0375,8.73910572186e-06
203.0,-203.0,-290.0,-203.0,100.0,-203.0,-1e+200,327798190.476,17471489.3979,330018147.186,349977871.111,295628278.453,297215900.127,349949959.71,17.0,3.05252941781e+14,92,0.0769230769231,9.47328533535e-09,0.00738916256158,0.025,1.4209928003e-05
203.0,-203.0,-290.0,-203.0,200.0,-203.0,-1e+200,347914044.934,15048954.5152,340710932.756,368072089.909,333402843.326,333534851.981,367217836.462,8.0,2.26471032e+14,93,0.0769230769231,9.47328533535e-09,0.00738916256158,0.025,1.4209928003e-05
203.0,-203.0,-290.0,-203.0,300.0,-203.0,-1e+200,360739047.705,22304259.9055,364194972.38,391793467.704,334556293.291,336537736.641,387172173.185,5.0,4.97480009934e+14,94,0.0769230769231,9.47328533535e-09,0.00738916256158,0.025,1.4209928003e-05
203.0,-203.0,-290.0,-203.0,400.0,-203.0,-1e+200,352520672.234,18176693.7952,347104742.677,380604272.736,332500394.508,334830938.12,376131585.925,5.0,3.30392197324e+14,95,0.0769230769231,9.47328533535e-09,0.00738916256158,0.025,1.4209928003e-05
203.0,-203.0,-290.0,-203.0,500.0,-203.0,-1e+200,372831071.704,36084323.9299,368748522.449,432716282.309,322244690.144,330363641.595,424106904.943,7.0,1.30207843348e+15,96,0.0769230769231,9.47328533535e-09,0.00738916256158,0.025,1.4209928003e-05
203.0,-203.0,-290.0,-203.0,600.0,-203.0,-1e+200,367580703.178,25637802.5414,361189284.556,408344582.383,339974834.341,342289863.711,402646257.141,6.0,6.5729691915e+14,97,0.0769230769231,9.47328533535e-09,0.00738916256158,0.025,1.4209928003e-05
203.0,-203.0,-290.0,-203.0,700.0,-203.0,-1e+200,373676975.143,21378672.4683,376716476.157,400089661.983,342397412.047,342619151.339,397317104.507,9.0,4.57047636506e+14,98,0.0769230769231,9.47328533535e-09,0.00738916256158,0.025,1.4209928003e-05
203.0,-203.0,-290.0,-203.0,800.0,-203.0,-1e+200,373746006.401,29756836.1906,364819529.548,427952563.658,340708845.424,343275698.07,417146606.417,7.0,8.85469300072e+14,99,0.0769230769231,9.47328533535e-09,0.00738916256158,0.025,1.4209928003e-05
203.0,-203.0,-290.0,-203.0,900.0,-203.0,-1e+200,365304247.47,14959039.7791,368116325.467,392393248.561,339296161.299,345332121.001,384595159.174,9.0,2.23772871114e+14,100,0.0769230769231,9.47328533535e-09,0.00738916256158,0.025,1.4209928003e-05
203.0,-203.0,-290.0,-203.0,1000.0,-203.0,-1e+200,373910845.689,19354591.292,376121827.824,403230961.08,338614539.109,345996358.314,397581288.927,10.0,3.74600204082e+14,101,0.0769230769231,9.47328533535e-09,0.00738916256158,0.025,1.4209928003e-05
203.0,-203.0,-290.0,-203.0,1100.0,-203.0,-1e+200,362192126.817,21985153.9744,357634223.44,403364392.879,335369364.989,335754570.12,393287534.304,11.0,4.83346995277e+14,102,0.0769230769231,9.47328533535e-09,0.00738916256158,0.025,1.4209928003e-05
