npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,prefix,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight
1193.0,-1178.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10000.0,ref,braidwood,illinois,covid,1661571378.37,7380791.85488,1659491412.27,1671868246.35,1655434442.6,1655689798.15,1670364911.15,4.0,5.4476088405e+13,0.255061178974,28,3.76215239928e-13,0.315634218289,0.249987499375,0.0201255025846
1193.0,-750.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10000.0,ref,braidwood,illinois,covid,2094129869.33,8508914.68278,2096754885.78,2100660348.82,2082349356.94,2084012739.7,2100571975.93,4.0,7.24016290788e+13,0.255061178974,29,3.76215239928e-13,0.5,0.249987499375,0.0318810531597
1193.0,-500.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10000.0,ref,braidwood,illinois,covid,2330276420.79,8097977.05997,2329509869.2,2338760139.2,2323325805.55,2323333192.51,2338292821.28,4.0,6.55772324638e+13,0.255061178974,30,3.76215239928e-13,0.184365781711,0.249987499375,0.0117555505751
1193.0,-500.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,braidwood,illinois,covid,2305567559.4,10484942.1408,2309782979.77,2312714171.81,2289990106.26,2292881719.45,2312351810.83,4.0,1.09934011696e+14,0.255061178974,27,3.76215239928e-13,0.184365781711,0.0249762488124,0.00117449695215
1193.0,-1178.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,100000.0,ref,braidwood,illinois,covid,1725029256.81,9097963.90495,1726122855.92,1734715368.94,1713155946.48,1714747118.66,1733780356.22,4.0,8.27729472158e+13,0.255061178974,31,3.76215239928e-13,0.315634218289,0.475023751188,0.0382422791387
1193.0,-750.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,100000.0,ref,braidwood,illinois,covid,2127874961.96,8959241.66873,2127626727.41,2137552989.24,2118693403.77,2119193431.98,2136904020.3,4.0,8.02680112787e+13,0.255061178974,32,3.76215239928e-13,0.5,0.475023751188,0.0605800590094
1193.0,-500.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,100000.0,ref,braidwood,illinois,covid,2336118910.33,10557901.9809,2338113520.14,2346103747.67,2322144853.36,2323945051.17,2345500315.75,4.0,1.11469294238e+14,0.255061178974,33,3.76215239928e-13,0.184365781711,0.475023751188,0.0223377798707
1193.0,-1178.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,200000.0,ref,braidwood,illinois,covid,1714033172.39,13200216.9339,1713077119.26,1729584226.93,1700394224.1,1701273503.89,1728131315.27,4.0,1.74245727101e+14,0.255061178974,34,3.76215239928e-13,0.315634218289,0.250012500625,0.0201275153361
1193.0,-750.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,200000.0,ref,braidwood,illinois,covid,2110221442.54,7577536.92454,2108574006.85,2120214727.08,2103523029.39,2103782113.44,2118967181.61,4.0,5.74190658427e+13,0.255061178974,35,3.76215239928e-13,0.5,0.250012500625,0.0318842415839
1193.0,-500.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,200000.0,ref,braidwood,illinois,covid,2340760226.84,9491261.11669,2341313451.08,2351340992.69,2329073012.51,2330421908.25,2350324031.5,4.0,9.00840375852e+13,0.255061178974,36,3.76215239928e-13,0.184365781711,0.250012500625,0.0117567262477
