iteration,accepted,turbine_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,h2_export_capacity,elec_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,mean_NPV
19.0,accepted,1000.0,-686.848222791,-7391.34220858,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,15864.2893457,3569246109.68
20.0,rejected,1000.0,-682.5142853,-8239.93825777,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,14441.6057868,3568385720.96
21.0,rerun,1000.0,-686.848222791,-7391.34220858,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,15864.2893457,3572580640.28
22.0,rejected,1000.0,-679.602767058,-6702.27307121,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16229.8132377,3547379137.6
23.0,rerun,1000.0,-686.848222791,-7391.34220858,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,15864.2893457,3567659381.21
24.0,rejected,1000.0,-674.767225979,-7596.28732182,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,15195.8982203,3564603731.21
25.0,rerun,1000.0,-686.848222791,-7391.34220858,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,15864.2893457,3563147538.44
26.0,rejected,1000.0,-691.011569694,-7237.72149276,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,15313.9931421,3565526255.47
27.0,rerun,1000.0,-686.848222791,-7391.34220858,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,15864.2893457,3570774482.27
28.0,rejected,1000.0,-683.727929851,-7188.28157323,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,15876.2310909,3563967086.22
29.0,rerun,1000.0,-686.848222791,-7391.34220858,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,15864.2893457,3565749512.12
30.0,accepted,1000.0,-691.256971982,-7341.83643018,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16028.5976315,3575555687.55
31.0,accepted,1000.0,-688.114234795,-7462.29433794,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16124.5741477,3579322800.97
32.0,rejected,1000.0,-685.583608008,-7547.55863328,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,15994.4793341,3576637821.94
33.0,rerun,1000.0,-688.114234795,-7462.29433794,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16124.5741477,3574750796.24
34.0,rejected,1000.0,-685.681570231,-7511.51846022,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16177.8581942,3573914549.4
35.0,rerun,1000.0,-688.114234795,-7462.29433794,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16124.5741477,3571009358.98
36.0,rejected,1000.0,-686.385782159,-7431.1763698,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16152.4679206,3571978644.27
37.0,rerun,1000.0,-688.114234795,-7462.29433794,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16124.5741477,3571331854.13
38.0,rejected,1000.0,-687.606278115,-7440.31118569,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16178.7635354,3571877039.43
39.0,rerun,1000.0,-688.114234795,-7462.29433794,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16124.5741477,3572594868.09
40.0,rejected,1000.0,-687.408000228,-7445.63348139,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16118.9621383,3571801863.6
41.0,rerun,1000.0,-688.114234795,-7462.29433794,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16124.5741477,3574077148.1
42.0,accepted,1000.0,-687.994320617,-7467.72930637,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16155.4457073,3580802194.8
43.0,rejected,1000.0,-688.189268754,-7477.60226956,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16176.4318964,3570748321.64
44.0,rerun,1000.0,-687.994320617,-7467.72930637,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16155.4457073,3572391598.91
45.0,rejected,1000.0,-687.72478406,-7469.70439883,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16170.0973552,3571236409.01
46.0,rerun,1000.0,-687.994320617,-7467.72930637,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16155.4457073,3574938676.12
47.0,rejected,1000.0,-687.855420366,-7462.17190852,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16152.7680285,3575670851.96
48.0,rerun,1000.0,-687.994320617,-7467.72930637,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16155.4457073,3568597397.31
49.0,accepted,1000.0,-687.880597409,-7470.00099596,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.7085264,3574424327.51
50.0,accepted,1000.0,-687.93029554,-7473.90162793,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16161.2074758,3575193826.42
51.0,rejected,1000.0,-687.907592645,-7470.23334306,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16168.4905291,3570994415.83
52.0,rerun,1000.0,-687.93029554,-7473.90162793,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16161.2074758,3577772453.6
53.0,accepted,1000.0,-687.87217387,-7470.85637662,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16159.9962266,3580605921.35
54.0,rejected,1000.0,-687.724169111,-7470.71862798,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16167.0503646,3571269771.41
55.0,rerun,1000.0,-687.87217387,-7470.85637662,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16159.9962266,3581844570.12
56.0,rejected,1000.0,-687.817034497,-7472.6456114,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16154.8666428,3573569368.89
57.0,rerun,1000.0,-687.87217387,-7470.85637662,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16159.9962266,3575339527.74
58.0,rejected,1000.0,-687.929229741,-7472.33920925,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16158.1442999,3573815492.17
59.0,rerun,1000.0,-687.87217387,-7470.85637662,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16159.9962266,3577369106.19
60.0,rejected,1000.0,-687.880110894,-7472.1960913,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16161.3113772,3571150612.54
61.0,rerun,1000.0,-687.87217387,-7470.85637662,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16159.9962266,3578280243.3
62.0,rejected,1000.0,-687.904706854,-7471.40027845,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.4048021,3573824055.21
63.0,rerun,1000.0,-687.87217387,-7470.85637662,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16159.9962266,3572248997.27
64.0,rejected,1000.0,-687.869093274,-7471.17391954,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16158.8067943,3572832346.35
65.0,rerun,1000.0,-687.87217387,-7470.85637662,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16159.9962266,3577948192.64
66.0,rejected,1000.0,-687.887656067,-7471.07296052,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.0251122,3570793741.91
67.0,rerun,1000.0,-687.87217387,-7470.85637662,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16159.9962266,3574715971.66
68.0,rejected,1000.0,-687.871030668,-7470.56583799,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16159.8955994,3570799575.3
69.0,rerun,1000.0,-687.87217387,-7470.85637662,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16159.9962266,3569812004.18
70.0,accepted,1000.0,-687.87783169,-7470.88491682,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.271869,3579583267.82
71.0,rejected,1000.0,-687.873767232,-7470.77710834,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.0888327,3572615900.88
72.0,rerun,1000.0,-687.87783169,-7470.88491682,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.271869,3581449065.82
73.0,rejected,1000.0,-687.879907493,-7470.96641437,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.1427712,3573249120.67
74.0,rerun,1000.0,-687.87783169,-7470.88491682,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.271869,3570423189.75
75.0,rejected,1000.0,-687.876384892,-7470.95276456,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2739823,3573271398.22
76.0,rerun,1000.0,-687.87783169,-7470.88491682,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.271869,3572466646.47
77.0,rejected,1000.0,-687.878170728,-7470.93505253,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2583768,3573360194.74
78.0,rerun,1000.0,-687.87783169,-7470.88491682,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.271869,3579065733.65
79.0,rejected,1000.0,-687.876876204,-7470.87196125,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.3143078,3571303239.41
80.0,rerun,1000.0,-687.87783169,-7470.88491682,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.271869,3575196356.12
81.0,rejected,1000.0,-687.877220954,-7470.88002496,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2387123,3568660553.63
82.0,rerun,1000.0,-687.87783169,-7470.88491682,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.271869,3574837470.57
83.0,rejected,1000.0,-687.877921405,-7470.87086136,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2609869,3571168753.81
84.0,rerun,1000.0,-687.87783169,-7470.88491682,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.271869,3578001433.42
85.0,rejected,1000.0,-687.877957771,-7470.88402946,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2915064,3570426165.54
86.0,rerun,1000.0,-687.87783169,-7470.88491682,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.271869,3577433556.8
87.0,rejected,1000.0,-687.877761368,-7470.89054818,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2651407,3574783799.43
88.0,rerun,1000.0,-687.87783169,-7470.88491682,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.271869,3574722741.42
89.0,accepted,1000.0,-687.877847738,-7470.88439249,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2809932,3576814350.78
90.0,rejected,1000.0,-687.877954584,-7470.8861929,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2839284,3573071305.45
91.0,rerun,1000.0,-687.877847738,-7470.88439249,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2809932,3575623379.1
92.0,rejected,1000.0,-687.877892494,-7470.88238109,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2800113,3572186632.15
93.0,rerun,1000.0,-687.877847738,-7470.88439249,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2809932,3577069957.52
94.0,rejected,1000.0,-687.877830998,-7470.88504713,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.283783,3575935373.96
95.0,rerun,1000.0,-687.877847738,-7470.88439249,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2809932,3577529025.84
96.0,rejected,1000.0,-687.877822851,-7470.8851733,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2803623,3572951980.56
97.0,rerun,1000.0,-687.877847738,-7470.88439249,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2809932,3572874512.18
98.0,rejected,1000.0,-687.87783316,-7470.88388537,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2816255,3570064506.68
99.0,rerun,1000.0,-687.877847738,-7470.88439249,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2809932,3570123669.79
100.0,rejected,1000.0,-687.877841055,-7470.88463834,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2802619,3573327587.33
101.0,rerun,1000.0,-687.877847738,-7470.88439249,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2809932,3570041837.14
102.0,rejected,1000.0,-687.877840794,-7470.88420819,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2806281,3571219243.02
103.0,rerun,1000.0,-687.877847738,-7470.88439249,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2809932,3576358194.37
104.0,rejected,1000.0,-687.877844713,-7470.88428662,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2813216,3572549244.77
105.0,rerun,1000.0,-687.877847738,-7470.88439249,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2809932,3570079754.86
106.0,accepted,1000.0,-687.877851118,-7470.88433681,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2808021,3576070669.75
107.0,rejected,1000.0,-687.877853817,-7470.88425642,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2808721,3570403572.92
108.0,rerun,1000.0,-687.877851118,-7470.88433681,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2808021,3574951927.28
109.0,rejected,1000.0,-687.877851195,-7470.88437938,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2806792,3574573730.06
110.0,rerun,1000.0,-687.877851118,-7470.88433681,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2808021,3575392259.46
111.0,accepted,1000.0,-687.877849392,-7470.88434807,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2808439,3578085949.18
112.0,rejected,1000.0,-687.877849715,-7470.88436108,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.28093,3574059403.08
113.0,rerun,1000.0,-687.877849392,-7470.88434807,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2808439,3577739910.86
114.0,rejected,1000.0,-687.877849655,-7470.88432365,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2808116,3569591242.26
115.0,rerun,1000.0,-687.877849392,-7470.88434807,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2808439,3576333464.75
116.0,rejected,1000.0,-687.877848873,-7470.88435843,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2808216,3574821053.71
117.0,rerun,1000.0,-687.877849392,-7470.88434807,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2808439,3574640675.26
118.0,rejected,1000.0,-687.877849183,-7470.88434671,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2808687,3574056959.71
119.0,rerun,1000.0,-687.877849392,-7470.88434807,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2808439,3579392018.3
120.0,rejected,1000.0,-687.877849066,-7470.88434491,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2808466,3567787760.43
121.0,rerun,1000.0,-687.877849392,-7470.88434807,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2808439,3579039665.86
122.0,accepted,1000.0,-687.87784926,-7470.88434329,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.280842,3579178093.49
123.0,rejected,1000.0,-687.877849046,-7470.8843431,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2808244,3568051923.52
124.0,rerun,1000.0,-687.87784926,-7470.88434329,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.280842,3577442912.58
125.0,rejected,1000.0,-687.877849143,-7470.88434829,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2808492,3574323250.82
126.0,rerun,1000.0,-687.87784926,-7470.88434329,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.280842,3569545957.8
127.0,rejected,1000.0,-687.877849278,-7470.88434354,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2808512,3574136944.98
128.0,rerun,1000.0,-687.87784926,-7470.88434329,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.280842,3577474371.8
129.0,rejected,1000.0,-687.877849315,-7470.88434351,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2808366,3573213785.84
130.0,rerun,1000.0,-687.87784926,-7470.88434329,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.280842,3572431653.24
131.0,rejected,1000.0,-687.8778492,-7470.88434328,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2808393,3571698645.05
132.0,rerun,1000.0,-687.87784926,-7470.88434329,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.280842,3575937206.62
133.0,rejected,1000.0,-687.877849311,-7470.88434355,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2808425,3571889472.04
134.0,rerun,1000.0,-687.87784926,-7470.88434329,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.280842,3573060771.36
135.0,rejected,1000.0,-687.877849286,-7470.8843436,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.280841,3573161876.65
136.0,rerun,1000.0,-687.87784926,-7470.88434329,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.280842,3583107784.62
137.0,accepted,1000.0,-687.877849243,-7470.8843437,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2808423,3577378515.81
138.0,rejected,1000.0,-687.877849224,-7470.88434388,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2808423,3571657282.42
139.0,rerun,1000.0,-687.877849243,-7470.8843437,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2808423,3573214744.85
140.0,rejected,1000.0,-687.877849249,-7470.88434389,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2808428,3575273036.94
141.0,rerun,1000.0,-687.877849243,-7470.8843437,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2808423,3575528547.51
142.0,accepted,1000.0,-687.877849243,-7470.88434352,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.280842,3575634814.55
143.0,rejected,1000.0,-687.877849246,-7470.88434338,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2808419,3568981212.18
144.0,rerun,1000.0,-687.877849243,-7470.88434352,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.280842,3576082412.19
145.0,rejected,1000.0,-687.87784924,-7470.88434349,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2808421,3572039921.33
146.0,rerun,1000.0,-687.877849243,-7470.88434352,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.280842,3573623023.02
147.0,rejected,1000.0,-687.877849241,-7470.8843435,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2808421,3570836465.4
148.0,rerun,1000.0,-687.877849243,-7470.88434352,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.280842,3571572766.16
149.0,accepted,1000.0,-687.877849242,-7470.88434351,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2808421,3575155210.72
150.0,accepted,1000.0,-687.87784924,-7470.88434343,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2808421,3575929191.65
151.0,accepted,1000.0,-687.877849237,-7470.88434354,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2808422,3576788097.72
152.0,rejected,1000.0,-687.877849233,-7470.88434358,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2808421,3569952540.18
153.0,rerun,1000.0,-687.877849237,-7470.88434354,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2808422,3576711486.07
154.0,rejected,1000.0,-687.877849237,-7470.8843435,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2808423,3571012982.7
155.0,rerun,1000.0,-687.877849237,-7470.88434354,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2808422,3574654754.2
156.0,accepted,1000.0,-687.877849238,-7470.88434357,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2808423,3576373408.92
157.0,accepted,1000.0,-687.877849236,-7470.88434353,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2808424,3578737258.65
158.0,rejected,1000.0,-687.877849234,-7470.88434346,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2808423,3574771702.28
159.0,rerun,1000.0,-687.877849236,-7470.88434353,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2808424,3571115226.25
160.0,rejected,1000.0,-687.877849234,-7470.88434355,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2808424,3574072727.43
161.0,rerun,1000.0,-687.877849236,-7470.88434353,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2808424,3571865701.15
162.0,rejected,1000.0,-687.877849237,-7470.8843435,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2808424,3572664613.49
163.0,rerun,1000.0,-687.877849236,-7470.88434353,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2808424,3574846208.64
164.0,rejected,1000.0,-687.877849237,-7470.88434351,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2808424,3572768736.06
165.0,rerun,1000.0,-687.877849236,-7470.88434353,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2808424,3576950692.73
166.0,accepted,1000.0,-687.877849236,-7470.88434354,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2808424,3584359163.18
167.0,rejected,1000.0,-687.877849235,-7470.88434353,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2808424,3578535099.62
168.0,rerun,1000.0,-687.877849236,-7470.88434354,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2808424,3571372780.79
169.0,rejected,1000.0,-687.877849236,-7470.88434354,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2808424,3574524712.62
170.0,rerun,1000.0,-687.877849236,-7470.88434354,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2808424,3568697745.69
171.0,accepted,1000.0,-687.877849236,-7470.88434354,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2808424,3580230014.68
172.0,rejected,1000.0,-687.877849236,-7470.88434353,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2808424,3569742257.36
173.0,rerun,1000.0,-687.877849236,-7470.88434354,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2808424,3573008361.75
174.0,rejected,1000.0,-687.877849236,-7470.88434353,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2808424,3573335082.26
175.0,rerun,1000.0,-687.877849236,-7470.88434354,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2808424,3572273632.23
176.0,rejected,1000.0,-687.877849236,-7470.88434353,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2808424,3573056713.5
177.0,rerun,1000.0,-687.877849236,-7470.88434354,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2808424,3581144047.26
178.0,rejected,1000.0,-687.877849236,-7470.88434354,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2808424,3576427171.3
179.0,rerun,1000.0,-687.877849236,-7470.88434354,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2808424,3574136519.75
180.0,accepted,1000.0,-687.877849236,-7470.88434354,-14.9,1e+200,-1e+200,-1e+200,-1e+200,-1e+200,16160.2808424,3576288672.46
