SteamGen_capacity,Converter1_capacity,NewBOP_capacity,Charger_capacity,TES_capacity,Convert2_capacity,Grid_capacity,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-NewBOP_capacity,ProbabilityWeight-Charger_capacity,prefix,ProbabilityWeight,ProbabilityWeight-TES_capacity,PointProbability
203.0,-203.0,-230.0,-203.0,1100.0,-203.0,-1e+200,266668553.707,1934737.86165,266910965.975,270887267.145,262459558.84,263320158.817,268769998.132,20.0,3.74321059332e+12,0.04,0.00980392156863,39,3.26797385621e-05,0.0833333333333,2.17864923747e-08
203.0,-203.0,-220.0,-203.0,400.0,-203.0,-1e+200,266765614.239,1483915.79278,266523628.583,269558331.793,264384709.555,264940882.944,269463555.16,18.0,2.20200608006e+12,0.04,0.00980392156863,46,3.26797385621e-05,0.0833333333333,2.17864923747e-08
203.0,-203.0,-230.0,-203.0,1200.0,-203.0,-1e+200,264774751.885,1848075.56473,264616775.34,268797534.483,260871749.528,262537993.657,267322364.497,20.0,3.41538329297e+12,0.04,0.00980392156863,40,1.92810457516e-05,0.0491666666667,2.17864923747e-08
203.0,-203.0,-210.0,-203.0,100.0,-203.0,-1e+200,258963026.188,1693512.65089,259118047.362,260548040.987,256190602.431,256728627.076,260453975.691,5.0,2.86798509874e+12,0.034,0.00980392156863,57,1.38888888889e-05,0.0416666666667,2.17864923747e-08
203.0,-203.0,-220.0,-203.0,500.0,-203.0,-1e+200,265015313.769,1937468.24865,264724039.102,268279487.303,261303369.416,262692610.674,268057769.387,20.0,3.75378321454e+12,0.04,0.00980392156863,47,3.26797385621e-05,0.0833333333333,2.17864923747e-08
203.0,-203.0,-220.0,-203.0,600.0,-203.0,-1e+200,262706458.409,1400299.61735,262599251.073,265723858.022,260238871.456,260625629.958,264636051.11,20.0,1.96083901835e+12,0.04,0.00980392156863,48,3.26797385621e-05,0.0833333333333,2.17864923747e-08
203.0,-203.0,-220.0,-203.0,700.0,-203.0,-1e+200,262207048.386,1657598.85599,262378227.502,264754382.964,258868408.01,259220918.937,264645833.12,20.0,2.74763396737e+12,0.04,0.00980392156863,49,3.26797385621e-05,0.0833333333333,2.17864923747e-08
203.0,-203.0,-230.0,-203.0,1218.0,-203.0,-1e+200,265013412.431,2531420.97014,265041202.219,269453358.129,259209431.605,261478643.031,268053145.466,20.0,6.40809212806e+12,0.04,0.00980392156863,41,1.6339869281e-05,0.0416666666667,2.17864923747e-08
203.0,-203.0,-220.0,-203.0,800.0,-203.0,-1e+200,259580202.63,2559352.50527,259306828.335,263553928.647,254620156.682,256389855.733,263414263.418,20.0,6.55028524622e+12,0.04,0.00980392156863,50,3.26797385621e-05,0.0833333333333,2.17864923747e-08
203.0,-203.0,-230.0,-203.0,1300.0,-203.0,-1e+200,263922583.376,2132033.84351,263328101.073,269714363.085,261269332.943,261538328.365,268002984.723,20.0,4.54556830986e+12,0.04,0.00980392156863,42,1.33986928105e-05,0.0341666666667,2.17864923747e-08
