npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-ft_capacity,prefix,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity
769.0,-754.0,-9000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,7500.0,ref,cooper,nebraska,covid,935874805.912,11398004.8723,935618082.531,950034338.395,922228720.19,924056384.943,948052639.613,4.0,1.29914515069e+14,1.22768367385e-12,0.5,25,0.00446415708603,0.270642201835,0.032989364229
769.0,-754.0,-9000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,40000.0,ref,cooper,nebraska,covid,975223527.512,8710945.60792,977987438.59,982110270.969,962808961.899,964736928.787,981840650.728,4.0,7.58805733841e+13,1.22768367385e-12,0.5,31,0.0587411646008,0.270642201835,0.434087250271
769.0,-400.0,-9000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,7500.0,ref,cooper,nebraska,covid,1279668806.66,10109202.8224,1278657473.5,1290343492.92,1271016786.7,1271021824.53,1289731655.2,4.0,1.02195981705e+14,1.22768367385e-12,0.5,26,0.00824734105724,0.5,0.032989364229
769.0,-754.0,-9000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10000.0,ref,cooper,nebraska,covid,952077451.195,3237377.61636,951951970.324,955984705.891,948421158.241,948774084.346,955556491.264,4.0,1.04806138309e+13,1.22768367385e-12,0.5,28,0.0290170210592,0.270642201835,0.214430867488
769.0,-400.0,-9000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10000.0,ref,cooper,nebraska,covid,1280286649.41,16857566.959,1284683247.91,1294219314.82,1257560787.01,1260551196.89,1293866864.04,4.0,2.84177563778e+14,1.22768367385e-12,0.5,29,0.0536077168721,0.5,0.214430867488
769.0,-400.0,-9000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,40000.0,ref,cooper,nebraska,covid,1267543376.45,16265727.3631,1267642675.77,1282348652.8,1252539501.47,1252822395.58,1282125338.28,4.0,2.6457388665e+14,1.22768367385e-12,0.5,32,0.108521812568,0.5,0.434087250271
769.0,-400.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,cooper,nebraska,covid,579587367.085,41077764.934,580697776.443,617040328.736,539913586.718,541190432.439,616429728.631,4.0,1.68738277197e+15,1.22768367385e-12,0.197353209614,38,0.00324876789994,0.5,0.0329233855005
769.0,-754.0,-9000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,75792.0,ref,cooper,nebraska,covid,986804210.547,13115888.3837,989043590.88,999036405.998,970093254.43,972004068.962,998469219.666,4.0,1.72026528093e+14,1.22768367385e-12,0.5,34,0.0319562220846,0.270642201835,0.236151064897
769.0,-400.0,-9000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,75792.0,ref,cooper,nebraska,covid,1268060384.67,19885730.4932,1273375529.25,1284608274.43,1240882205.75,1244607262.81,1284072304.11,4.0,3.95442277249e+14,1.22768367385e-12,0.5,35,0.0590377662242,0.5,0.236151064897
769.0,-754.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,cooper,nebraska,covid,212195661.863,41798043.0931,229126512.016,240464521.544,150065101.876,161613503.163,239074630.348,4.0,1.74707640641e+15,1.22768367385e-12,0.197353209614,37,0.00175850739538,0.270642201835,0.0329233855005
769.0,-100.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,cooper,nebraska,covid,926172975.845,35986152.0444,942620625.736,947074749.631,872375902.276,882530923.849,946788317.993,4.0,1.29500313896e+15,1.22768367385e-12,0.197353209614,39,0.00149026050456,0.229357798165,0.0329233855005
769.0,-754.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,7500.0,ref,cooper,nebraska,covid,252388365.714,21643601.5001,255536321.501,274754257.232,223726562.622,227650923.805,272718669.522,4.0,4.68445485897e+14,1.22768367385e-12,0.197353209614,43,0.0017620314583,0.270642201835,0.032989364229
769.0,-754.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5000.0,ref,cooper,nebraska,covid,252971595.795,15880852.4176,250523832.18,272055491.468,238783227.352,239124789.948,270245270.703,4.0,2.52201473511e+14,1.22768367385e-12,0.197353209614,40,0.00263952312453,0.270642201835,0.049418067615
769.0,-400.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5000.0,ref,cooper,nebraska,covid,631950881.367,11243353.0401,637121186.074,638383670.079,615177483.24,618283887.197,638379448.946,4.0,1.26412987584e+14,1.22768367385e-12,0.197353209614,41,0.00487640712836,0.5,0.049418067615
769.0,-100.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5000.0,ref,cooper,nebraska,covid,936378921.108,18032771.8666,945287654.657,945607374.254,909333000.863,914683066.781,945602548.466,4.0,3.25180861192e+14,1.22768367385e-12,0.197353209614,42,0.00223688400384,0.229357798165,0.049418067615
769.0,-400.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,7500.0,ref,cooper,nebraska,covid,607902534.75,28023526.9591,609362608.833,638146190.457,574738730.875,577984696.837,635776268.945,4.0,7.85318063226e+14,1.22768367385e-12,0.197353209614,44,0.00325527845685,0.5,0.032989364229
769.0,-100.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10000.0,ref,cooper,nebraska,covid,882005737.892,38378986.9757,881957973.815,928557607.72,835549396.216,841484705.364,922593640.127,4.0,1.47294664128e+15,1.22768367385e-12,0.197353209614,48,0.00970610549061,0.229357798165,0.214430867488
769.0,-100.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,7500.0,ref,cooper,nebraska,covid,936149711.957,13737236.0654,941616198.586,945513095.806,915853354.851,919442112.932,945204229.702,4.0,1.88711654715e+14,1.22768367385e-12,0.197353209614,45,0.00149324699856,0.229357798165,0.032989364229
769.0,-754.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10000.0,ref,cooper,nebraska,covid,270724558.625,4428062.76837,271395066.248,275350425.865,264757676.138,265651454.408,274858952.169,4.0,1.96077398806e+13,1.22768367385e-12,0.197353209614,46,0.0114532044789,0.270642201835,0.214430867488
769.0,-400.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10000.0,ref,cooper,nebraska,covid,634096401.259,25864092.5731,645869175.971,649176021.618,595471231.473,602689550.139,649021367.78,4.0,6.68951284632e+14,1.22768367385e-12,0.197353209614,47,0.0211593099695,0.5,0.214430867488
769.0,-754.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,40000.0,ref,cooper,nebraska,covid,277303327.415,28311586.0388,290718631.006,292908648.056,234867399.593,243181182.826,292644046.978,4.0,8.01545904033e+14,1.22768367385e-12,0.197353209614,49,0.0231855147408,0.270642201835,0.434087250271
769.0,-400.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,75792.0,ref,cooper,nebraska,covid,603949615.8,32737709.4506,605040241.06,642763286.303,562954694.778,568728680.392,637643675.845,4.0,1.07175762007e+15,1.22768367385e-12,0.197353209614,53,0.0233025853055,0.5,0.236151064897
769.0,-400.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,40000.0,ref,cooper,nebraska,covid,633630946.436,38451526.0122,651902248.872,654730751.377,575988536.622,587357408.503,654324660.957,4.0,1.47851985267e+15,1.22768367385e-12,0.197353209614,50,0.0428342560466,0.5,0.434087250271
769.0,-100.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,40000.0,ref,cooper,nebraska,covid,919206729.797,27934994.5372,929501161.149,939336913.674,878487683.216,885278829.905,938722425.796,4.0,7.80363919793e+14,1.22768367385e-12,0.197353209614,51,0.0196487413058,0.229357798165,0.434087250271
769.0,-754.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,75792.0,ref,cooper,nebraska,covid,269538033.647,10569359.1345,270682448.114,279657893.432,257129344.927,258236872.579,279237014.461,4.0,1.11711352513e+14,1.22768367385e-12,0.197353209614,52,0.0126133259911,0.270642201835,0.236151064897
769.0,-100.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,75792.0,ref,cooper,nebraska,covid,917195150.149,18903401.2804,916220046.589,940592093.598,895748413.819,897979060.811,937776384.47,4.0,3.57338579969e+14,1.22768367385e-12,0.197353209614,54,0.0106892593145,0.229357798165,0.236151064897
