npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,PointProbability,ProbabilityWeight-ft_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity
1193.0,-500.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,braidwood,illinois,covid,1850457940.1,9387024.67116,1847422652.37,1864079068.29,1842907387.35,1843389770.2,1861775512.81,4.0,8.81162321771e+13,27,3.76215239928e-13,0.255061178974,0.00117449695215,0.0249762488124,0.184365781711
1193.0,-1178.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10000.0,ref,braidwood,illinois,covid,1198270723.12,7133071.48804,1200213143.75,1204618532.34,1188038072.62,1189831760.03,1203990297.31,4.0,5.08807088535e+13,28,3.76215239928e-13,0.255061178974,0.0201255025846,0.249987499375,0.315634218289
1193.0,-750.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10000.0,ref,braidwood,illinois,covid,1622431594.8,3931083.22846,1622961195.56,1626657345.58,1617146642.51,1618007400.93,1626114347.61,4.0,1.54534153491e+13,29,3.76215239928e-13,0.255061178974,0.0318810531597,0.249987499375,0.5
1193.0,-500.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10000.0,ref,braidwood,illinois,covid,1871159671.87,9619687.72281,1869388808.31,1883765294.04,1862095776.84,1862606008.37,1882192544.37,4.0,9.25383918844e+13,30,3.76215239928e-13,0.255061178974,0.0117555505751,0.249987499375,0.184365781711
1193.0,-1178.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,100000.0,ref,braidwood,illinois,covid,1232390200.45,7033353.1768,1230493877.58,1242426846.2,1226146200.44,1226668869.08,1240766383.83,4.0,4.94680569096e+13,31,3.76215239928e-13,0.255061178974,0.0382422791387,0.475023751188,0.315634218289
1193.0,-750.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,100000.0,ref,braidwood,illinois,covid,1636423254.36,7196310.07654,1633652358.53,1647078846.39,1631309454.01,1631601614.71,1645124148.19,4.0,5.17868787178e+13,32,3.76215239928e-13,0.255061178974,0.0605800590094,0.475023751188,0.5
1193.0,-500.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,100000.0,ref,braidwood,illinois,covid,1861620826.86,3512126.22805,1861589329.33,1865574329.19,1857730319.6,1858044284.47,1865241465.8,4.0,1.23350306417e+13,33,3.76215239928e-13,0.255061178974,0.0223377798707,0.475023751188,0.184365781711
1193.0,-1178.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,200000.0,ref,braidwood,illinois,covid,1208350868.65,5936412.01893,1207731786.49,1216186126.31,1201753775.29,1202628346.44,1214940105.86,4.0,3.52409876585e+13,34,3.76215239928e-13,0.255061178974,0.0201275153361,0.250012500625,0.315634218289
1193.0,-750.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,200000.0,ref,braidwood,illinois,covid,1620777818.74,2755576.24042,1620513126.67,1624394100.17,1617690921.44,1618094969.45,1623831236.92,4.0,7.59320041675e+12,35,3.76215239928e-13,0.255061178974,0.0318842415839,0.250012500625,0.5
1193.0,-500.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,200000.0,ref,braidwood,illinois,covid,1854102743.47,10323905.8161,1855930757.03,1863711223.65,1840838236.16,1842392218.14,1863254049.8,4.0,1.06583031299e+14,36,3.76215239928e-13,0.255061178974,0.0117567262477,0.250012500625,0.184365781711
