iteration,accepted,turbine_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,CO2_source_capacity,elec_market_capacity,naphta_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,mean_NPV
25.0,accepted,750000.0,-734478.039352,0.0,-14900.0,8.23689302726e+49,-1e+200,-1e+200,-1e+200,-1e+200,30574.8455303,459394886198.0
26.0,accepted,750000.0,-738740.171175,0.0,-14900.0,8.29697154979e+49,-1e+200,-1e+200,-1e+200,-1e+200,31675.9101249,468377905912.0
27.0,rejected,750000.0,-749830.00534,0.0,-14900.0,8.78233562729e+49,-1e+200,-1e+200,-1e+200,-1e+200,27201.651884,465243316907.0
28.0,rerun,750000.0,-738740.171175,0.0,-14900.0,8.29697154979e+49,-1e+200,-1e+200,-1e+200,-1e+200,31675.9101249,458920668836.0
29.0,rejected,750000.0,-750000.0,-1247.61946756,-14900.0,7.94515637351e+49,-1e+200,-1e+200,-1e+200,-1e+200,32341.3841733,457130025184.0
30.0,rerun,750000.0,-738740.171175,0.0,-14900.0,8.29697154979e+49,-1e+200,-1e+200,-1e+200,-1e+200,31675.9101249,463180972922.0
31.0,rejected,727275.964436,-743404.352017,0.0,-14900.0,8.27865433988e+49,-1e+200,-1e+200,-1e+200,-1e+200,28409.3869643,445176457264.0
32.0,rerun,750000.0,-738740.171175,0.0,-14900.0,8.29697154979e+49,-1e+200,-1e+200,-1e+200,-1e+200,31675.9101249,462481356238.0
33.0,rejected,750000.0,-736614.437265,-191.293570894,-14900.0,8.31455451104e+49,-1e+200,-1e+200,-1e+200,-1e+200,35016.8740614,452611317489.0
34.0,rerun,750000.0,-738740.171175,0.0,-14900.0,8.29697154979e+49,-1e+200,-1e+200,-1e+200,-1e+200,31675.9101249,454124104153.0
35.0,rejected,744069.976979,-729031.681806,-195.797406121,-14900.0,8.23848517361e+49,-1e+200,-1e+200,-1e+200,-1e+200,31717.8389798,450691753881.0
36.0,rerun,750000.0,-738740.171175,0.0,-14900.0,8.29697154979e+49,-1e+200,-1e+200,-1e+200,-1e+200,31675.9101249,454525669600.0
37.0,rejected,748281.103034,-741962.557795,-621.635829467,-14900.0,8.33923379454e+49,-1e+200,-1e+200,-1e+200,-1e+200,32925.349557,449808639881.0
38.0,rerun,750000.0,-738740.171175,0.0,-14900.0,8.29697154979e+49,-1e+200,-1e+200,-1e+200,-1e+200,31675.9101249,462002737385.0
39.0,accepted,750000.0,-738672.743283,0.0,-14900.0,8.27738848531e+49,-1e+200,-1e+200,-1e+200,-1e+200,32279.814188,471933148012.0
40.0,rejected,750000.0,-739948.03351,0.0,-14900.0,8.21099617148e+49,-1e+200,-1e+200,-1e+200,-1e+200,32510.7724624,461080180993.0
41.0,rerun,750000.0,-738672.743283,0.0,-14900.0,8.27738848531e+49,-1e+200,-1e+200,-1e+200,-1e+200,32279.814188,458512131940.0
42.0,rejected,750000.0,-737871.560217,-26.6467193275,-14900.0,8.25847581742e+49,-1e+200,-1e+200,-1e+200,-1e+200,31755.3042646,458842273584.0
43.0,rerun,750000.0,-738672.743283,0.0,-14900.0,8.27738848531e+49,-1e+200,-1e+200,-1e+200,-1e+200,32279.814188,456163087482.0
44.0,rejected,749355.701378,-736872.246802,-277.552981027,-14900.0,8.26918826518e+49,-1e+200,-1e+200,-1e+200,-1e+200,32209.628701,460715172008.0
45.0,rerun,750000.0,-738672.743283,0.0,-14900.0,8.27738848531e+49,-1e+200,-1e+200,-1e+200,-1e+200,32279.814188,457728644498.0
46.0,rejected,749937.661353,-739534.972277,0.0,-14900.0,8.29407839685e+49,-1e+200,-1e+200,-1e+200,-1e+200,31960.2264258,454519171514.0
47.0,rerun,750000.0,-738672.743283,0.0,-14900.0,8.27738848531e+49,-1e+200,-1e+200,-1e+200,-1e+200,32279.814188,461547265300.0
