SteamGen_capacity,Converter1_capacity,NewBOP_capacity,Charger_capacity,TES_capacity,Convert2_capacity,Grid_capacity,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-TES_capacity,ProbabilityWeight-NewBOP_capacity,ProbabilityWeight-Charger_capacity,prefix,ProbabilityWeight
203.0,-203.0,-340.0,-203.0,800.0,-203.0,-1e+200,270631860.016,404515.230652,270633885.473,271345704.141,269785471.788,269993811.834,271132879.545,13.0,163632571830.0,1.443001443e-07,0.15,0.0952380952381,0.0454545454545,30,0.000649350649351
203.0,-203.0,-340.0,-203.0,900.0,-203.0,-1e+200,269630589.788,428485.397408,269724684.618,270190378.109,268844496.177,268894157.848,270134738.533,15.0,183599735792.0,1.443001443e-07,0.1,0.0952380952381,0.0454545454545,31,0.0004329004329
203.0,-203.0,-340.0,-203.0,1000.0,-203.0,-1e+200,268753929.263,550510.742982,268856999.756,269479539.303,267769631.438,267798938.138,269437696.511,14.0,303062078138.0,1.443001443e-07,0.1,0.0952380952381,0.0454545454545,32,0.0004329004329
203.0,-203.0,-340.0,-203.0,1100.0,-203.0,-1e+200,267720296.733,449554.114827,267796015.745,268382643.133,266505172.016,267088232.077,268285576.96,15.0,202098902158.0,1.443001443e-07,0.1,0.0952380952381,0.0454545454545,33,0.0004329004329
203.0,-203.0,-340.0,-203.0,1200.0,-203.0,-1e+200,266836999.274,321525.45253,266854913.672,267373762.301,266288797.908,266369804.967,267352965.503,13.0,103378616624.0,1.443001443e-07,0.059,0.0952380952381,0.0454545454545,34,0.000255411255411
203.0,-203.0,-340.0,-203.0,1218.0,-203.0,-1e+200,266475617.267,285362.471817,266543425.683,266783564.41,265877287.419,265940839.97,266765475.849,14.0,81431740321.6,1.443001443e-07,0.05,0.0952380952381,0.0454545454545,35,0.00021645021645
203.0,-203.0,-340.0,-203.0,1300.0,-203.0,-1e+200,265655534.254,354080.94964,265756135.385,266170717.624,264997981.218,265115223.037,266059561.146,10.0,125373318898.0,1.443001443e-07,0.041,0.0952380952381,0.0454545454545,36,0.000177489177489
203.0,-203.0,-320.0,-203.0,300.0,-203.0,-1e+200,266113658.623,833020.149099,266113658.623,266702692.819,265524624.426,265583527.846,266643789.399,2.0,693922568806.0,1.443001443e-07,0.15,0.0952380952381,0.0454545454545,37,0.000649350649351
203.0,-203.0,-320.0,-203.0,800.0,-203.0,-1e+200,266495802.525,42114.0757572,266495802.525,266525581.674,266466023.377,266469001.292,266522603.759,2.0,1773595376.88,1.443001443e-07,0.15,0.0952380952381,0.0454545454545,39,0.000649350649351
203.0,-203.0,-320.0,-203.0,900.0,-203.0,-1e+200,265553270.351,184063.580563,265551888.043,265738021.193,265369901.818,265388100.44,265719407.878,3.0,33879401689.7,1.443001443e-07,0.1,0.0952380952381,0.0454545454545,40,0.0004329004329
203.0,-203.0,-320.0,-203.0,600.0,-203.0,-1e+200,267578897.074,925897.916009,267791334.218,268380114.337,266565242.666,266687851.821,268321236.325,3.0,857286950870.0,1.443001443e-07,0.25,0.0952380952381,0.0454545454545,38,0.00108225108225
203.0,-203.0,-320.0,-203.0,1000.0,-203.0,-1e+200,264589372.449,194231.179428,264525152.571,264878665.114,264398221.507,264410267.171,264840206.736,5.0,37725751061.8,1.443001443e-07,0.1,0.0952380952381,0.0454545454545,41,0.0004329004329
203.0,-203.0,-320.0,-203.0,1300.0,-203.0,-1e+200,261115634.726,335148.76673,261145657.77,261594986.421,260698407.671,260727348.899,261519971.352,6.0,112324695841.0,1.443001443e-07,0.041,0.0952380952381,0.0454545454545,45,0.000177489177489
203.0,-203.0,-320.0,-203.0,1218.0,-203.0,-1e+200,262382907.238,115827.145528,262382907.238,262464809.398,262301005.078,262309195.294,262456619.182,2.0,13415927641.2,1.443001443e-07,0.05,0.0952380952381,0.0454545454545,44,0.00021645021645
203.0,-203.0,-320.0,-203.0,1100.0,-203.0,-1e+200,263379083.805,337603.446365,263385718.732,263825507.418,262855365.178,262923296.56,263802155.379,8.0,113976086997.0,1.443001443e-07,0.1,0.0952380952381,0.0454545454545,42,0.0004329004329
203.0,-203.0,-320.0,-203.0,1200.0,-203.0,-1e+200,262386758.018,263851.022431,262385754.695,262819043.004,262032929.167,262060816.264,262730353.247,7.0,69617362038.1,1.443001443e-07,0.059,0.0952380952381,0.0454545454545,43,0.000255411255411
203.0,-203.0,-300.0,-203.0,300.0,-203.0,-1e+200,263833137.964,,263833137.964,263833137.964,263833137.964,263833137.964,263833137.964,1.0,,1.443001443e-07,0.15,0.0952380952381,0.0454545454545,46,0.000649350649351
203.0,-203.0,-300.0,-203.0,600.0,-203.0,-1e+200,263402183.949,809255.010735,263402183.949,263974413.655,262829954.244,262887177.214,263917190.685,2.0,654893672400.0,1.443001443e-07,0.25,0.0952380952381,0.0454545454545,47,0.00108225108225
203.0,-203.0,-300.0,-203.0,800.0,-203.0,-1e+200,261894816.113,121059.455388,261894816.113,261980418.075,261809214.151,261817774.347,261971857.878,2.0,14655391738.9,1.443001443e-07,0.15,0.0952380952381,0.0454545454545,48,0.000649350649351
