SteamGen_capacity,Converter1_capacity,NewBOP_capacity,Charger_capacity,TES_capacity,Convert2_capacity,Grid_capacity,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-TES_capacity,ProbabilityWeight,ProbabilityWeight-Charger_capacity,ProbabilityWeight-NewBOP_capacity,PointProbability,prefix
203.0,-203.0,-340.0,-200.0,1000.0,-203.0,-1e+200,268637771.43,288652.735808,268695374.159,269072320.897,267915014.708,268128532.551,269006831.217,20.0,83320401889.6,0.161812297735,0.0173370319001,0.5,0.214285714286,2.31160425335e-06,25
203.0,-203.0,-340.0,-200.0,1100.0,-203.0,-1e+200,267525134.752,248700.643457,267592310.471,267937147.992,267109153.081,267177636.371,267823421.009,20.0,61852010056.1,0.161812297735,0.0173370319001,0.5,0.214285714286,2.31160425335e-06,26
203.0,-203.0,-340.0,-200.0,1200.0,-203.0,-1e+200,266578602.231,295223.483605,266501366.6,267506277.098,266186884.197,266247175.374,266894722.181,20.0,87156905272.1,0.0954692556634,0.0102288488211,0.5,0.214285714286,2.31160425335e-06,27
203.0,-203.0,-340.0,-200.0,1218.0,-203.0,-1e+200,266238678.37,298829.89108,266277265.854,266683566.005,265636999.999,265715412.348,266627305.305,20.0,89299303802.6,0.0145631067961,0.00156033287101,0.5,0.214285714286,2.31160425335e-06,28
203.0,-203.0,-300.0,-200.0,600.0,-203.0,-1e+200,263486233.387,298489.009148,263534052.025,264047989.55,263005814.37,263010600.963,263926482.091,20.0,89095688581.9,0.161812297735,0.0231160425335,0.5,0.285714285714,2.31160425335e-06,29
203.0,-203.0,-300.0,-200.0,800.0,-203.0,-1e+200,261851102.69,331293.660681,261843743.97,262498399.471,260937116.621,261557124.882,262295063.379,20.0,109755489607.0,0.242718446602,0.0346740638003,0.5,0.285714285714,2.31160425335e-06,30
203.0,-203.0,-300.0,-200.0,900.0,-203.0,-1e+200,260800901.056,281506.947929,260758177.83,261333248.612,260243140.462,260266232.827,261238336.836,20.0,79246161732.2,0.161812297735,0.0231160425335,0.5,0.285714285714,2.31160425335e-06,31
203.0,-203.0,-300.0,-200.0,1000.0,-203.0,-1e+200,259689015.851,227542.833688,259754091.009,260047857.91,259179571.456,259320519.726,259957938.498,20.0,51775741162.6,0.161812297735,0.0231160425335,0.5,0.285714285714,2.31160425335e-06,32
203.0,-203.0,-300.0,-200.0,1100.0,-203.0,-1e+200,258321865.888,303212.955398,258406045.939,258800402.69,257699575.72,257805635.955,258730907.947,20.0,91938096321.4,0.161812297735,0.0231160425335,0.5,0.285714285714,2.31160425335e-06,33
203.0,-203.0,-300.0,-200.0,1200.0,-203.0,-1e+200,257185878.744,420937.056544,257240067.604,257889291.901,256275022.684,256443437.813,257717799.794,20.0,177188005572.0,0.0954692556634,0.0136384650948,0.5,0.285714285714,2.31160425335e-06,34
203.0,-203.0,-260.0,-200.0,600.0,-203.0,-1e+200,253537871.924,211815.800296,253530008.94,253800353.22,253102416.321,253178673.316,253790431.135,20.0,44865933255.2,0.161812297735,0.0115580212668,0.5,0.142857142857,2.31160425335e-06,36
203.0,-203.0,-300.0,-200.0,1218.0,-203.0,-1e+200,256959586.971,278491.149216,256981511.805,257345987.922,256295255.514,256438245.118,257267184.748,20.0,77557320191.7,0.0145631067961,0.00208044382802,0.5,0.285714285714,2.31160425335e-06,35
203.0,-203.0,-260.0,-200.0,800.0,-203.0,-1e+200,250750815.838,377830.622232,250669683.357,251434112.651,250096091.726,250326297.667,251390016.486,19.0,142755979097.0,0.242718446602,0.0173370319001,0.5,0.142857142857,2.31160425335e-06,37
203.0,-203.0,-260.0,-200.0,900.0,-203.0,-1e+200,249550577.358,252693.468177,249548870.303,250035896.971,249142030.95,249209033.828,249934676.185,20.0,63853988859.1,0.161812297735,0.0115580212668,0.5,0.142857142857,2.31160425335e-06,38
203.0,-203.0,-260.0,-200.0,1000.0,-203.0,-1e+200,248043560.406,266636.991777,248082166.929,248556788.825,247551363.913,247581357.828,248436852.785,20.0,71095285383.7,0.161812297735,0.0115580212668,0.5,0.142857142857,2.31160425335e-06,39
203.0,-203.0,-260.0,-200.0,1100.0,-203.0,-1e+200,246746993.206,276983.366077,246772384.245,247193240.935,246239255.496,246382818.926,247159538.347,19.0,76719785083.3,0.161812297735,0.0115580212668,0.5,0.142857142857,2.31160425335e-06,40
203.0,-203.0,-260.0,-200.0,1200.0,-203.0,-1e+200,245237111.845,300092.396161,245233443.087,245950620.097,244829542.754,244832667.098,245677941.544,20.0,90055446233.7,0.0954692556634,0.00681923254739,0.5,0.142857142857,2.31160425335e-06,41
203.0,-203.0,-400.0,-195.0,600.0,-203.0,-1e+200,279656964.743,470257.191313,279687288.589,280435546.83,278935932.051,278940487.518,280332982.973,20.0,221141825982.0,0.161812297735,0.00577901063338,0.5,0.0714285714286,2.31160425335e-06,43
203.0,-203.0,-260.0,-200.0,1218.0,-203.0,-1e+200,245079029.086,343226.697884,244991194.264,245902680.402,244591800.788,244665806.681,245853496.754,20.0,117804566140.0,0.0145631067961,0.00104022191401,0.5,0.142857142857,2.31160425335e-06,42
203.0,-203.0,-400.0,-195.0,800.0,-203.0,-1e+200,279807556.889,417976.905736,279810305.442,280583396.256,279037157.569,279193680.698,280414094.716,20.0,174704693728.0,0.242718446602,0.00866851595007,0.5,0.0714285714286,2.31160425335e-06,44
203.0,-203.0,-400.0,-195.0,900.0,-203.0,-1e+200,279366213.683,266472.360434,279420104.473,279881523.863,278981643.531,278986749.949,279643553.056,20.0,71007518875.4,0.161812297735,0.00577901063338,0.5,0.0714285714286,2.31160425335e-06,45
203.0,-203.0,-400.0,-195.0,1000.0,-203.0,-1e+200,278975994.934,321848.492615,278915650.757,279635405.388,278357438.492,278592925.539,279563626.244,20.0,103586452199.0,0.161812297735,0.00577901063338,0.5,0.0714285714286,2.31160425335e-06,46
203.0,-203.0,-400.0,-195.0,1100.0,-203.0,-1e+200,278132183.531,406688.098937,278145192.195,278728313.902,277471353.2,277610488.41,278705893.475,20.0,165395209817.0,0.161812297735,0.00577901063338,0.5,0.0714285714286,2.31160425335e-06,47
203.0,-203.0,-400.0,-195.0,1200.0,-203.0,-1e+200,277171723.863,365099.150175,277069412.334,277981545.18,276716205.24,276724259.249,277744060.004,20.0,133297389459.0,0.0954692556634,0.00340961627369,0.5,0.0714285714286,2.31160425335e-06,48
203.0,-203.0,-400.0,-195.0,1218.0,-203.0,-1e+200,277090817.492,402637.293154,277085149.93,277776031.519,276357458.106,276509740.648,277767021.134,20.0,162116789838.0,0.0145631067961,0.000520110957004,0.5,0.0714285714286,2.31160425335e-06,49
203.0,-203.0,-380.0,-195.0,600.0,-203.0,-1e+200,277226317.498,406338.564895,277329929.945,277908805.828,276349977.521,276588209.748,277820621.586,20.0,165111029321.0,0.161812297735,0.0115580212668,0.5,0.142857142857,2.31160425335e-06,50
203.0,-203.0,-380.0,-195.0,800.0,-203.0,-1e+200,277012212.99,344598.371764,277018346.246,277583784.787,276435552.647,276497042.0,277459442.743,20.0,118748037823.0,0.242718446602,0.0173370319001,0.5,0.142857142857,2.31160425335e-06,51
203.0,-203.0,-380.0,-195.0,900.0,-203.0,-1e+200,276448360.852,380061.912808,276458141.506,277106601.606,275719833.257,275822805.893,276932208.752,20.0,144447057567.0,0.161812297735,0.0115580212668,0.5,0.142857142857,2.31160425335e-06,52
203.0,-203.0,-380.0,-195.0,1000.0,-203.0,-1e+200,275739575.66,359973.629879,275712169.249,276670347.93,275126423.513,275219102.769,276360989.216,20.0,129581014209.0,0.161812297735,0.0115580212668,0.5,0.142857142857,2.31160425335e-06,53
203.0,-203.0,-380.0,-195.0,1100.0,-203.0,-1e+200,274900498.799,294188.480693,274927230.158,275351790.654,274261774.636,274365207.473,275259664.193,20.0,86546862172.7,0.161812297735,0.0115580212668,0.5,0.142857142857,2.31160425335e-06,54
203.0,-203.0,-380.0,-195.0,1200.0,-203.0,-1e+200,273874317.219,407915.876228,273944529.094,274505704.726,273134614.601,273178239.523,274488099.907,20.0,166395362079.0,0.0954692556634,0.00681923254739,0.5,0.142857142857,2.31160425335e-06,55
203.0,-203.0,-380.0,-195.0,1218.0,-203.0,-1e+200,273810915.419,344054.675776,273849849.127,274390916.377,273003258.364,273237663.956,274232829.512,20.0,118373619924.0,0.0145631067961,0.00104022191401,0.5,0.142857142857,2.31160425335e-06,56
203.0,-203.0,-360.0,-195.0,600.0,-203.0,-1e+200,274207257.332,335505.873145,274225051.883,274789855.857,273590032.466,273754941.0,274743185.679,20.0,112564190915.0,0.161812297735,0.0115580212668,0.5,0.142857142857,2.31160425335e-06,57
203.0,-203.0,-360.0,-195.0,800.0,-203.0,-1e+200,273728722.343,446881.563211,273826806.64,274303792.71,272377587.5,273040233.734,274180575.596,20.0,199703131538.0,0.242718446602,0.0173370319001,0.5,0.142857142857,2.31160425335e-06,58
203.0,-203.0,-360.0,-195.0,900.0,-203.0,-1e+200,273092369.737,321558.682558,273059461.504,273508904.62,272419145.11,272468350.434,273501368.83,20.0,103399986328.0,0.161812297735,0.0115580212668,0.5,0.142857142857,2.31160425335e-06,59
203.0,-203.0,-360.0,-195.0,1000.0,-203.0,-1e+200,272050415.899,311227.14813,272101638.077,272633199.706,271597371.833,271604433.779,272609536.719,20.0,96862337732.8,0.161812297735,0.0115580212668,0.5,0.142857142857,2.31160425335e-06,60
203.0,-203.0,-360.0,-195.0,1100.0,-203.0,-1e+200,271193507.02,414200.61508,271160766.604,271834343.598,270507869.695,270523201.572,271810156.571,20.0,171562149532.0,0.161812297735,0.0115580212668,0.5,0.142857142857,2.31160425335e-06,61
203.0,-203.0,-360.0,-195.0,1200.0,-203.0,-1e+200,270198169.831,398523.026385,270115161.793,271094924.204,269651770.532,269667632.661,270993646.898,20.0,158820602559.0,0.0954692556634,0.00681923254739,0.5,0.142857142857,2.31160425335e-06,62
203.0,-203.0,-360.0,-195.0,1218.0,-203.0,-1e+200,270064034.747,398458.155799,270111968.651,270726784.672,269202170.357,269405850.057,270594744.078,20.0,158768901923.0,0.0145631067961,0.00104022191401,0.5,0.142857142857,2.31160425335e-06,63
203.0,-203.0,-340.0,-195.0,600.0,-203.0,-1e+200,270827876.353,327248.166148,270849731.191,271540732.257,270091940.079,270410389.153,271190613.104,20.0,107091362247.0,0.161812297735,0.0173370319001,0.5,0.214285714286,2.31160425335e-06,64
203.0,-203.0,-340.0,-195.0,800.0,-203.0,-1e+200,269778866.261,293896.547168,269787388.436,270426732.797,269287899.517,269383940.137,270250822.452,20.0,86375180437.3,0.242718446602,0.0260055478502,0.5,0.214285714286,2.31160425335e-06,65
203.0,-203.0,-340.0,-195.0,900.0,-203.0,-1e+200,269144022.873,271470.582047,269107708.849,269613386.936,268690270.101,268745161.72,269608536.202,19.0,73696276917.1,0.161812297735,0.0173370319001,0.5,0.214285714286,2.31160425335e-06,66
203.0,-203.0,-340.0,-195.0,1000.0,-203.0,-1e+200,268245503.218,276059.149565,268257908.732,268742833.862,267789276.784,267806406.834,268640821.932,20.0,76208654058.6,0.161812297735,0.0173370319001,0.5,0.214285714286,2.31160425335e-06,67
203.0,-203.0,-340.0,-195.0,1100.0,-203.0,-1e+200,267238415.145,302146.533752,267317629.149,267716416.053,266749722.273,266793563.295,267604721.554,20.0,91292527858.2,0.161812297735,0.0173370319001,0.5,0.214285714286,2.31160425335e-06,68
203.0,-203.0,-340.0,-195.0,1200.0,-203.0,-1e+200,266057249.772,330683.759188,266021709.199,266805626.09,265361826.743,265454541.998,266521118.852,20.0,109351748590.0,0.0954692556634,0.0102288488211,0.5,0.214285714286,2.31160425335e-06,69
203.0,-203.0,-340.0,-195.0,1218.0,-203.0,-1e+200,266020771.848,334292.858992,266108066.92,266564415.545,265248152.081,265407765.205,266537158.595,20.0,111751715573.0,0.0145631067961,0.00156033287101,0.5,0.214285714286,2.31160425335e-06,70
203.0,-203.0,-300.0,-195.0,600.0,-203.0,-1e+200,263386107.059,312981.704158,263277293.038,263976619.851,262901210.353,262936367.343,263837778.211,19.0,97957547137.7,0.161812297735,0.0231160425335,0.5,0.285714285714,2.31160425335e-06,71
203.0,-203.0,-300.0,-195.0,800.0,-203.0,-1e+200,261576153.502,299544.273739,261599662.311,262039654.71,261148806.842,261165903.891,261940616.24,20.0,89726771929.9,0.242718446602,0.0346740638003,0.5,0.285714285714,2.31160425335e-06,72
203.0,-203.0,-300.0,-195.0,900.0,-203.0,-1e+200,260417804.175,271643.325417,260427651.843,261029745.752,259934889.456,259957859.0,260811094.742,20.0,73790096243.8,0.161812297735,0.0231160425335,0.5,0.285714285714,2.31160425335e-06,73
203.0,-203.0,-300.0,-195.0,1000.0,-203.0,-1e+200,259278822.093,363928.690376,259273474.533,259940997.292,258550861.751,258632762.334,259856113.818,20.0,132444091679.0,0.161812297735,0.0231160425335,0.5,0.285714285714,2.31160425335e-06,74
203.0,-203.0,-300.0,-195.0,1100.0,-203.0,-1e+200,257967661.696,317768.227795,258020818.772,258466787.463,257389646.153,257466240.261,258413342.075,19.0,100976646596.0,0.161812297735,0.0231160425335,0.5,0.285714285714,2.31160425335e-06,75
203.0,-203.0,-300.0,-195.0,1200.0,-203.0,-1e+200,256795671.934,260134.028976,256747277.282,257260901.186,256422542.873,256429284.618,257211075.86,20.0,67669713031.1,0.0954692556634,0.0136384650948,0.5,0.285714285714,2.31160425335e-06,76
203.0,-203.0,-300.0,-195.0,1218.0,-203.0,-1e+200,256652166.893,304161.506328,256692482.58,257193423.94,256141720.65,256191208.332,257109713.665,20.0,92514221931.4,0.0145631067961,0.00208044382802,0.5,0.285714285714,2.31160425335e-06,77
203.0,-203.0,-260.0,-195.0,600.0,-203.0,-1e+200,253435126.077,270732.60178,253490642.213,254067844.13,252989804.311,253067859.845,253748289.422,20.0,73296141666.7,0.161812297735,0.0115580212668,0.5,0.142857142857,2.31160425335e-06,78
203.0,-203.0,-260.0,-195.0,800.0,-203.0,-1e+200,250740901.607,304541.254927,250607343.585,251311572.233,250289052.855,250414159.064,251261026.349,19.0,92745375952.5,0.242718446602,0.0173370319001,0.5,0.142857142857,2.31160425335e-06,79
203.0,-203.0,-260.0,-195.0,900.0,-203.0,-1e+200,249199088.416,370165.156451,249158506.697,249933504.958,248615866.846,248636990.843,249767078.486,20.0,137022243050.0,0.161812297735,0.0115580212668,0.5,0.142857142857,2.31160425335e-06,80
203.0,-203.0,-260.0,-195.0,1000.0,-203.0,-1e+200,247879993.458,245071.629826,247856277.579,248442715.945,247400652.412,247603753.477,248232771.216,19.0,60060103745.5,0.161812297735,0.0115580212668,0.5,0.142857142857,2.31160425335e-06,81
203.0,-203.0,-260.0,-195.0,1100.0,-203.0,-1e+200,246580674.522,265645.316505,246620533.187,247072945.429,246045446.448,246247762.893,246902814.044,20.0,70567434181.2,0.161812297735,0.0115580212668,0.5,0.142857142857,2.31160425335e-06,82
203.0,-203.0,-260.0,-195.0,1200.0,-203.0,-1e+200,244989180.7,354346.320597,245022485.744,245565782.657,244179291.269,244350873.524,245366364.038,20.0,125561314921.0,0.0954692556634,0.00681923254739,0.5,0.142857142857,2.31160425335e-06,83
203.0,-203.0,-260.0,-195.0,1218.0,-203.0,-1e+200,245015136.407,305020.432668,245030824.24,245610637.233,244427678.019,244444612.769,245510268.905,20.0,93037464345.2,0.0145631067961,0.00104022191401,0.5,0.142857142857,2.31160425335e-06,84
