SteamGen_capacity,Converter1_capacity,NewBOP_capacity,Charger_capacity,TES_capacity,Convert2_capacity,Grid_capacity,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-NewBOP_capacity,PointProbability,ProbabilityWeight-Charger_capacity,ProbabilityWeight-TES_capacity,ProbabilityWeight
203.0,-203.0,-400.0,-203.0,1000.0,-203.0,-1e+200,319258269.23,1978026.50147,319210862.892,323610991.064,316440990.54,316801184.481,322388537.534,20.0,3.91258884052e+12,11,0.025,9.47328533535e-09,0.00738916256158,0.0769230769231,1.4209928003e-05
203.0,-203.0,-400.0,-203.0,1100.0,-203.0,-1e+200,321790549.375,1527144.89258,321959337.66,324468132.474,319375578.123,319639206.144,323848407.79,18.0,2.33217152293e+12,12,0.025,9.47328533535e-09,0.00738916256158,0.0769230769231,1.4209928003e-05
203.0,-203.0,-400.0,-203.0,1200.0,-203.0,-1e+200,324540650.899,1895011.21905,324465544.949,328366941.101,321339016.08,321440632.647,327999834.048,19.0,3.59106752033e+12,13,0.025,9.47328533535e-09,0.00738916256158,0.0453846153846,8.38385752179e-06
203.0,-203.0,-380.0,-203.0,0.0,-203.0,-1e+200,245038944.17,1796685.09417,244888702.49,248599657.272,242277086.572,243080483.849,248314975.683,20.0,3.22807732761e+12,16,0.05,9.47328533535e-09,0.00738916256158,0.0384615384615,1.4209928003e-05
203.0,-203.0,-400.0,-203.0,1218.0,-203.0,-1e+200,323992864.966,2206545.91056,324338199.189,327590215.157,319754847.217,320815726.576,327106795.341,18.0,4.86884485541e+12,14,0.025,9.47328533535e-09,0.00738916256158,0.0384615384615,7.10496400152e-06
203.0,-203.0,-400.0,-203.0,1300.0,-203.0,-1e+200,325344000.283,1811195.96737,325141064.325,329748808.609,322266355.494,323113595.311,327910501.348,20.0,3.28043083223e+12,15,0.025,9.47328533535e-09,0.00738916256158,0.0315384615385,5.82607048124e-06
203.0,-203.0,-380.0,-203.0,100.0,-203.0,-1e+200,264959380.605,2224340.02335,264900670.375,269541609.716,261466070.391,261618362.894,268635890.622,19.0,4.94768853948e+12,17,0.05,9.47328533535e-09,0.00738916256158,0.0769230769231,2.84198560061e-05
203.0,-203.0,-380.0,-203.0,200.0,-203.0,-1e+200,284042701.93,2199852.78885,284310266.198,288024235.936,280252642.389,280588313.271,286708824.937,14.0,4.83935229261e+12,18,0.05,9.47328533535e-09,0.00738916256158,0.0769230769231,2.84198560061e-05
203.0,-203.0,-380.0,-203.0,300.0,-203.0,-1e+200,291386463.385,2056574.34193,291257572.097,295299475.457,287182473.759,288412411.454,294539545.897,15.0,4.22949802389e+12,19,0.05,9.47328533535e-09,0.00738916256158,0.0769230769231,2.84198560061e-05
203.0,-203.0,-380.0,-203.0,400.0,-203.0,-1e+200,297329099.53,2290145.51588,297548327.952,301551447.582,292402492.734,293300455.131,300987536.366,18.0,5.2447664839e+12,20,0.05,9.47328533535e-09,0.00738916256158,0.0769230769231,2.84198560061e-05
203.0,-203.0,-380.0,-203.0,500.0,-203.0,-1e+200,302052968.541,1433888.67093,302091008.159,304212613.28,298936893.514,299670032.52,303818405.909,18.0,2.05603672061e+12,21,0.05,9.47328533535e-09,0.00738916256158,0.0769230769231,2.84198560061e-05
203.0,-203.0,-380.0,-203.0,600.0,-203.0,-1e+200,304796969.073,1992855.47453,304748714.305,309255529.272,301273120.462,302572514.509,308117523.187,17.0,3.97147294235e+12,22,0.05,9.47328533535e-09,0.00738916256158,0.0769230769231,2.84198560061e-05
203.0,-203.0,-380.0,-203.0,700.0,-203.0,-1e+200,308089236.025,2265972.6083,307646098.739,312546496.445,304655271.443,304813694.894,312195120.437,17.0,5.13463186157e+12,23,0.05,9.47328533535e-09,0.00738916256158,0.0769230769231,2.84198560061e-05
203.0,-203.0,-380.0,-203.0,800.0,-203.0,-1e+200,310729156.326,2002128.43073,310788383.69,314324112.233,306445126.641,306994959.166,313573407.347,19.0,4.00851825315e+12,24,0.05,9.47328533535e-09,0.00738916256158,0.0769230769231,2.84198560061e-05
203.0,-203.0,-380.0,-203.0,900.0,-203.0,-1e+200,313002870.237,1767977.99933,313253237.046,315830928.943,309327402.362,310163790.791,315813445.226,19.0,3.12574620612e+12,25,0.05,9.47328533535e-09,0.00738916256158,0.0769230769231,2.84198560061e-05
203.0,-203.0,-380.0,-203.0,1000.0,-203.0,-1e+200,314792800.452,2005578.20119,314308279.916,318447904.894,310623892.267,312264865.477,317649500.193,19.0,4.0223439211e+12,26,0.05,9.47328533535e-09,0.00738916256158,0.0769230769231,2.84198560061e-05
203.0,-203.0,-380.0,-203.0,1100.0,-203.0,-1e+200,316844672.413,2082258.05505,316400288.677,320011437.705,313215724.009,314031151.082,319987730.595,19.0,4.33579860782e+12,27,0.05,9.47328533535e-09,0.00738916256158,0.0769230769231,2.84198560061e-05
203.0,-203.0,-380.0,-203.0,1200.0,-203.0,-1e+200,319511710.603,1670440.80859,320062486.556,321597836.552,315923901.017,316662053.053,321568244.385,17.0,2.79037249501e+12,28,0.05,9.47328533535e-09,0.00738916256158,0.0453846153846,1.67677150436e-05
203.0,-203.0,-380.0,-203.0,1218.0,-203.0,-1e+200,319210149.153,1666981.21626,318759796.475,321971181.362,316078218.426,316953137.598,321774449.638,19.0,2.77882637536e+12,29,0.05,9.47328533535e-09,0.00738916256158,0.0384615384615,1.4209928003e-05
203.0,-203.0,-360.0,-203.0,0.0,-203.0,-1e+200,246958971.178,1828155.61281,246905451.144,250391781.591,243779177.322,244357143.717,250153433.608,20.0,3.34215294467e+12,31,0.05,9.47328533535e-09,0.00738916256158,0.0384615384615,1.4209928003e-05
203.0,-203.0,-380.0,-203.0,1300.0,-203.0,-1e+200,320875393.58,1518871.2438,321232398.579,323582676.678,317751510.521,318665601.917,322421447.285,20.0,2.30696985524e+12,30,0.05,9.47328533535e-09,0.00738916256158,0.0315384615385,1.16521409625e-05
203.0,-203.0,-360.0,-203.0,100.0,-203.0,-1e+200,265968248.681,1802595.75545,265622175.926,269516572.744,263327918.086,263760264.927,269328263.85,20.0,3.24935145756e+12,32,0.05,9.47328533535e-09,0.00738916256158,0.0769230769231,2.84198560061e-05
203.0,-203.0,-360.0,-203.0,300.0,-203.0,-1e+200,289352674.989,1919618.86617,288851513.055,293827497.948,287021709.488,287034992.626,292306468.716,16.0,3.68493659134e+12,34,0.05,9.47328533535e-09,0.00738916256158,0.0769230769231,2.84198560061e-05
203.0,-203.0,-360.0,-203.0,200.0,-203.0,-1e+200,283268445.203,1914911.10205,283612908.434,287074053.459,279490122.398,280715438.998,286106294.561,15.0,3.66688452875e+12,33,0.05,9.47328533535e-09,0.00738916256158,0.0769230769231,2.84198560061e-05
203.0,-203.0,-360.0,-203.0,400.0,-203.0,-1e+200,294748742.008,1620304.09978,294827492.65,298050038.724,291665165.35,292639216.173,297476897.535,15.0,2.62538537578e+12,35,0.05,9.47328533535e-09,0.00738916256158,0.0769230769231,2.84198560061e-05
203.0,-203.0,-360.0,-203.0,500.0,-203.0,-1e+200,297725248.285,2435635.60013,297488884.108,301769940.589,294294038.023,294525749.517,301293946.99,13.0,5.93232077661e+12,36,0.05,9.47328533535e-09,0.00738916256158,0.0769230769231,2.84198560061e-05
203.0,-203.0,-360.0,-203.0,600.0,-203.0,-1e+200,302433802.563,1905389.60367,302502545.876,306993993.93,299506068.055,299769590.4,304918436.564,17.0,3.63050954176e+12,37,0.05,9.47328533535e-09,0.00738916256158,0.0769230769231,2.84198560061e-05
203.0,-203.0,-360.0,-203.0,700.0,-203.0,-1e+200,303730332.525,1452230.32949,304303918.749,306197000.091,301069864.969,301314696.802,305546648.974,17.0,2.1089729299e+12,38,0.05,9.47328533535e-09,0.00738916256158,0.0769230769231,2.84198560061e-05
203.0,-203.0,-360.0,-203.0,800.0,-203.0,-1e+200,305812306.832,2075850.9369,305661490.951,310866146.607,303113178.617,303243804.192,309287583.532,17.0,4.30915711221e+12,39,0.05,9.47328533535e-09,0.00738916256158,0.0769230769231,2.84198560061e-05
203.0,-203.0,-360.0,-203.0,900.0,-203.0,-1e+200,308680000.662,1795811.18482,308804947.317,311844270.325,305774153.062,306010506.735,311711404.578,17.0,3.22493781153e+12,40,0.05,9.47328533535e-09,0.00738916256158,0.0769230769231,2.84198560061e-05
203.0,-203.0,-360.0,-203.0,1000.0,-203.0,-1e+200,311496306.221,1931833.31312,311838435.436,315058753.2,307951594.754,308156623.752,314702937.816,20.0,3.73197994969e+12,41,0.05,9.47328533535e-09,0.00738916256158,0.0769230769231,2.84198560061e-05
203.0,-203.0,-360.0,-203.0,1100.0,-203.0,-1e+200,312567591.353,2131814.04997,312918923.097,316969504.669,308168095.212,309387699.705,315381281.805,19.0,4.54463114366e+12,42,0.05,9.47328533535e-09,0.00738916256158,0.0769230769231,2.84198560061e-05
203.0,-203.0,-360.0,-203.0,1200.0,-203.0,-1e+200,314774326.215,2083950.05276,315118623.543,318339729.726,310896610.62,311855418.255,317975990.022,20.0,4.34284782238e+12,43,0.05,9.47328533535e-09,0.00738916256158,0.0453846153846,1.67677150436e-05
203.0,-203.0,-340.0,-203.0,0.0,-203.0,-1e+200,248180906.719,2199791.2639,247974107.007,251424102.193,243998819.63,244204339.045,251139133.738,20.0,4.83908160474e+12,46,0.05,9.47328533535e-09,0.00738916256158,0.0384615384615,1.4209928003e-05
203.0,-203.0,-360.0,-203.0,1218.0,-203.0,-1e+200,314918215.029,2359261.1385,315033262.048,319219769.391,310446492.977,310750092.473,317790762.604,20.0,5.56611311964e+12,44,0.05,9.47328533535e-09,0.00738916256158,0.0384615384615,1.4209928003e-05
203.0,-203.0,-360.0,-203.0,1300.0,-203.0,-1e+200,315995904.83,1795886.54216,315910313.731,319464242.131,313062594.513,313769020.88,319239452.16,19.0,3.22520847231e+12,45,0.05,9.47328533535e-09,0.00738916256158,0.0315384615385,1.16521409625e-05
203.0,-203.0,-340.0,-203.0,100.0,-203.0,-1e+200,266821030.346,1959752.57891,266781097.938,270473817.817,264172451.842,264431352.451,270342702.713,20.0,3.84063017054e+12,47,0.05,9.47328533535e-09,0.00738916256158,0.0769230769231,2.84198560061e-05
203.0,-203.0,-340.0,-203.0,200.0,-203.0,-1e+200,281277803.117,2379590.22865,281125665.639,285095926.307,277480978.862,278117156.597,284701816.648,10.0,5.66244965629e+12,48,0.05,9.47328533535e-09,0.00738916256158,0.0769230769231,2.84198560061e-05
203.0,-203.0,-340.0,-203.0,300.0,-203.0,-1e+200,288521997.33,2226474.32455,288640996.049,292626390.697,285429586.28,285573278.035,291548031.697,14.0,4.95718791789e+12,49,0.05,9.47328533535e-09,0.00738916256158,0.0769230769231,2.84198560061e-05
203.0,-203.0,-340.0,-203.0,400.0,-203.0,-1e+200,292326766.455,1583254.49833,292711459.172,294555915.508,288891379.382,289497501.2,294463225.725,18.0,2.50669480649e+12,50,0.05,9.47328533535e-09,0.00738916256158,0.0769230769231,2.84198560061e-05
203.0,-203.0,-340.0,-203.0,500.0,-203.0,-1e+200,295584796.721,2259041.00207,296182789.51,299182915.761,291890628.551,291942090.82,298514209.546,16.0,5.10326624902e+12,51,0.05,9.47328533535e-09,0.00738916256158,0.0769230769231,2.84198560061e-05
203.0,-203.0,-340.0,-203.0,600.0,-203.0,-1e+200,297640375.193,1014034.09777,297272454.091,299498286.342,296240933.774,296396770.867,298958674.85,15.0,1.02826515145e+12,52,0.05,9.47328533535e-09,0.00738916256158,0.0769230769231,2.84198560061e-05
203.0,-203.0,-340.0,-203.0,700.0,-203.0,-1e+200,299782696.783,2328857.07434,299900873.682,303663171.365,295701190.578,296255543.709,303450577.476,16.0,5.42357527271e+12,53,0.05,9.47328533535e-09,0.00738916256158,0.0769230769231,2.84198560061e-05
203.0,-203.0,-340.0,-203.0,800.0,-203.0,-1e+200,302349951.908,1847002.54725,302621977.436,305388893.521,299167800.726,299701863.465,304925484.298,17.0,3.41141840954e+12,54,0.05,9.47328533535e-09,0.00738916256158,0.0769230769231,2.84198560061e-05
203.0,-203.0,-340.0,-203.0,900.0,-203.0,-1e+200,305249822.656,1963173.5207,305013664.277,308490020.108,301548720.059,302393101.665,308411226.227,19.0,3.85405027238e+12,55,0.05,9.47328533535e-09,0.00738916256158,0.0769230769231,2.84198560061e-05
203.0,-203.0,-340.0,-203.0,1000.0,-203.0,-1e+200,306518533.422,1762929.32476,305948361.508,310115057.068,304290387.989,304568630.628,309326725.088,19.0,3.10791980409e+12,56,0.05,9.47328533535e-09,0.00738916256158,0.0769230769231,2.84198560061e-05
203.0,-203.0,-340.0,-203.0,1100.0,-203.0,-1e+200,307946304.829,1770974.71594,308307999.457,310925003.712,305099147.383,305449903.256,310272363.901,18.0,3.1363514445e+12,57,0.05,9.47328533535e-09,0.00738916256158,0.0769230769231,2.84198560061e-05
203.0,-203.0,-340.0,-203.0,1200.0,-203.0,-1e+200,309298285.935,2242449.68324,308886610.101,313521059.866,305755579.411,306392738.082,313138665.301,18.0,5.02858058186e+12,58,0.05,9.47328533535e-09,0.00738916256158,0.0453846153846,1.67677150436e-05
203.0,-203.0,-320.0,-203.0,0.0,-203.0,-1e+200,248166667.578,2082374.6479,248494836.906,251560670.406,244666724.517,245053541.475,251143565.77,20.0,4.33628417423e+12,61,0.05,9.47328533535e-09,0.00738916256158,0.0384615384615,1.4209928003e-05
203.0,-203.0,-340.0,-203.0,1218.0,-203.0,-1e+200,310761529.655,2188276.15602,311242350.838,314666403.356,305517617.174,307472782.5,313470795.44,18.0,4.78855253499e+12,59,0.05,9.47328533535e-09,0.00738916256158,0.0384615384615,1.4209928003e-05
203.0,-203.0,-340.0,-203.0,1300.0,-203.0,-1e+200,311746674.278,2000253.19513,311461821.687,315605761.559,307620840.639,309242265.399,314416284.664,20.0,4.00101284463e+12,60,0.05,9.47328533535e-09,0.00738916256158,0.0315384615385,1.16521409625e-05
203.0,-203.0,-320.0,-203.0,100.0,-203.0,-1e+200,269072686.138,1513722.47952,268917222.72,272140877.326,266565451.411,266791271.808,271429774.564,19.0,2.291355745e+12,62,0.05,9.47328533535e-09,0.00738916256158,0.0769230769231,2.84198560061e-05
203.0,-203.0,-320.0,-203.0,200.0,-203.0,-1e+200,280187211.024,2070099.18768,280162994.844,284039694.683,277476340.971,277553002.277,283063332.46,9.0,4.28531064682e+12,63,0.05,9.47328533535e-09,0.00738916256158,0.0769230769231,2.84198560061e-05
203.0,-203.0,-320.0,-203.0,300.0,-203.0,-1e+200,284979636.496,1582014.6318,284672079.136,287435480.488,281966508.818,283028647.833,287202129.715,13.0,2.50277029522e+12,64,0.05,9.47328533535e-09,0.00738916256158,0.0769230769231,2.84198560061e-05
203.0,-203.0,-320.0,-203.0,400.0,-203.0,-1e+200,288235403.017,2240588.77717,288177569.445,293426230.61,283603744.352,285487512.497,291615562.744,13.0,5.02023806838e+12,65,0.05,9.47328533535e-09,0.00738916256158,0.0769230769231,2.84198560061e-05
203.0,-203.0,-320.0,-203.0,500.0,-203.0,-1e+200,292397212.815,1695997.46543,291946173.814,294762878.525,289332800.821,290153851.746,294700677.852,14.0,2.87640740274e+12,66,0.05,9.47328533535e-09,0.00738916256158,0.0769230769231,2.84198560061e-05
203.0,-203.0,-320.0,-203.0,600.0,-203.0,-1e+200,293602718.696,2122363.91685,294044047.17,297420889.253,289838445.548,290021661.166,296552936.017,18.0,4.50442859554e+12,67,0.05,9.47328533535e-09,0.00738916256158,0.0769230769231,2.84198560061e-05
203.0,-203.0,-320.0,-203.0,700.0,-203.0,-1e+200,296708788.451,1577551.13562,296949191.684,298823756.819,293537986.194,294416946.704,298676164.225,14.0,2.48866758549e+12,68,0.05,9.47328533535e-09,0.00738916256158,0.0769230769231,2.84198560061e-05
203.0,-203.0,-320.0,-203.0,800.0,-203.0,-1e+200,298554967.501,1922157.90244,298316193.78,303120750.777,295530124.746,295649878.738,301968357.57,15.0,3.69469100193e+12,69,0.05,9.47328533535e-09,0.00738916256158,0.0769230769231,2.84198560061e-05
203.0,-203.0,-320.0,-203.0,900.0,-203.0,-1e+200,299443866.497,1424769.71721,299538409.947,302765653.803,296928581.458,297134004.73,301122830.402,18.0,2.02996874708e+12,70,0.05,9.47328533535e-09,0.00738916256158,0.0769230769231,2.84198560061e-05
203.0,-203.0,-320.0,-203.0,1000.0,-203.0,-1e+200,300865845.12,2154095.68932,300939601.98,304469281.11,297471486.101,298031862.456,304404052.396,15.0,4.64012823876e+12,71,0.05,9.47328533535e-09,0.00738916256158,0.0769230769231,2.84198560061e-05
203.0,-203.0,-320.0,-203.0,1100.0,-203.0,-1e+200,302734146.053,1927499.73553,302335650.42,307755132.691,300220324.414,300300920.822,306192229.896,17.0,3.71525523045e+12,72,0.05,9.47328533535e-09,0.00738916256158,0.0769230769231,2.84198560061e-05
203.0,-203.0,-320.0,-203.0,1200.0,-203.0,-1e+200,304788818.769,1612949.15831,304738059.996,307697524.453,302157049.447,302731001.302,307639418.368,18.0,2.60160498728e+12,73,0.05,9.47328533535e-09,0.00738916256158,0.0453846153846,1.67677150436e-05
203.0,-203.0,-320.0,-203.0,1218.0,-203.0,-1e+200,305120964.436,2014442.48952,304740326.842,309272313.411,302001794.789,302564369.612,307835249.881,17.0,4.05797854359e+12,74,0.05,9.47328533535e-09,0.00738916256158,0.0384615384615,1.4209928003e-05
203.0,-203.0,-300.0,-203.0,0.0,-203.0,-1e+200,250611960.552,1884416.00782,250108419.782,254617524.091,248013927.533,248145612.877,254196184.342,20.0,3.55102369053e+12,76,0.0375,9.47328533535e-09,0.00738916256158,0.0384615384615,1.06574460023e-05
203.0,-203.0,-320.0,-203.0,1300.0,-203.0,-1e+200,306570848.984,2487144.95711,306202084.111,311549638.501,302681098.157,302760058.38,311178713.083,18.0,6.18589003768e+12,75,0.05,9.47328533535e-09,0.00738916256158,0.0315384615385,1.16521409625e-05
203.0,-203.0,-300.0,-203.0,100.0,-203.0,-1e+200,269951257.543,1804500.33292,269878108.535,273411205.485,267419581.223,267542974.64,272744015.432,20.0,3.2562214515e+12,77,0.0375,9.47328533535e-09,0.00738916256158,0.0769230769231,2.13148920045e-05
203.0,-203.0,-300.0,-203.0,200.0,-203.0,-1e+200,277085384.064,607694.197745,277085384.064,277515088.752,276655679.376,276698649.845,277472118.283,2.0,369292237973.0,78,0.0375,9.47328533535e-09,0.00738916256158,0.0769230769231,2.13148920045e-05
203.0,-203.0,-300.0,-203.0,300.0,-203.0,-1e+200,281501581.261,1450605.41368,281408501.503,283800563.97,279709973.586,279866514.339,283446275.363,8.0,2.1042560662e+12,79,0.0375,9.47328533535e-09,0.00738916256158,0.0769230769231,2.13148920045e-05
203.0,-203.0,-300.0,-203.0,400.0,-203.0,-1e+200,283938198.565,1051935.31446,283819118.688,285485336.14,282446099.844,282684679.476,285278777.019,6.0,1.10656790581e+12,80,0.0375,9.47328533535e-09,0.00738916256158,0.0769230769231,2.13148920045e-05
203.0,-203.0,-300.0,-203.0,500.0,-203.0,-1e+200,287652212.615,1130207.34951,287566323.708,288774911.582,285115833.64,285964828.79,288769282.905,9.0,1.27736865288e+12,81,0.0375,9.47328533535e-09,0.00738916256158,0.0769230769231,2.13148920045e-05
203.0,-203.0,-300.0,-203.0,600.0,-203.0,-1e+200,288132151.927,2286422.72366,287498769.952,293510040.4,285571322.043,286116176.342,292222225.044,10.0,5.22772887128e+12,82,0.0375,9.47328533535e-09,0.00738916256158,0.0769230769231,2.13148920045e-05
203.0,-203.0,-300.0,-203.0,700.0,-203.0,-1e+200,290876332.914,2179199.01545,291489002.127,293986910.83,286145391.425,287500769.872,293182233.729,9.0,4.74890834895e+12,83,0.0375,9.47328533535e-09,0.00738916256158,0.0769230769231,2.13148920045e-05
203.0,-203.0,-300.0,-203.0,800.0,-203.0,-1e+200,292769063.063,1263831.72552,292104264.487,295017215.116,291610785.422,291689239.115,294750045.31,9.0,1.59727063043e+12,84,0.0375,9.47328533535e-09,0.00738916256158,0.0769230769231,2.13148920045e-05
203.0,-203.0,-300.0,-203.0,900.0,-203.0,-1e+200,295746840.127,2129085.44498,295799423.509,299671955.602,293587734.136,293642177.271,298736334.055,7.0,4.53300483204e+12,85,0.0375,9.47328533535e-09,0.00738916256158,0.0769230769231,2.13148920045e-05
203.0,-203.0,-300.0,-203.0,1000.0,-203.0,-1e+200,297182993.063,1873120.02169,297287410.563,299959803.746,294076573.788,294453313.426,299596400.105,10.0,3.50857861564e+12,86,0.0375,9.47328533535e-09,0.00738916256158,0.0769230769231,2.13148920045e-05
203.0,-203.0,-300.0,-203.0,1100.0,-203.0,-1e+200,297858635.743,2039818.13353,298238240.143,300681546.061,294608965.206,294721267.283,300299552.143,9.0,4.16085801789e+12,87,0.0375,9.47328533535e-09,0.00738916256158,0.0769230769231,2.13148920045e-05
203.0,-203.0,-300.0,-203.0,1200.0,-203.0,-1e+200,298353039.433,1944566.90135,298103180.099,301008857.23,295926182.795,295969905.202,300821006.308,11.0,3.78134043383e+12,88,0.0375,9.47328533535e-09,0.00738916256158,0.0453846153846,1.25757862827e-05
203.0,-203.0,-300.0,-203.0,1218.0,-203.0,-1e+200,299919981.204,2064479.71323,299879720.825,304019330.575,296892235.835,297441607.737,303076243.737,10.0,4.26207648634e+12,89,0.0375,9.47328533535e-09,0.00738916256158,0.0384615384615,1.06574460023e-05
203.0,-203.0,-290.0,-203.0,0.0,-203.0,-1e+200,250948274.315,1750367.92485,250854354.335,254681573.626,248316977.883,248332363.235,253869418.347,20.0,3.06378787234e+12,91,0.025,9.47328533535e-09,0.00738916256158,0.0384615384615,7.10496400152e-06
203.0,-203.0,-300.0,-203.0,1300.0,-203.0,-1e+200,299879560.507,2373388.39546,299199893.951,303734426.147,296066809.601,296994551.465,303242618.367,9.0,5.63297247569e+12,90,0.0375,9.47328533535e-09,0.00738916256158,0.0315384615385,8.73910572186e-06
203.0,-203.0,-290.0,-203.0,100.0,-203.0,-1e+200,269465823.345,1909335.38723,269036682.922,272332289.045,265901374.175,267044135.777,272061131.034,19.0,3.64556162094e+12,92,0.025,9.47328533535e-09,0.00738916256158,0.0769230769231,1.4209928003e-05
203.0,-203.0,-290.0,-203.0,200.0,-203.0,-1e+200,277156361.306,1231670.63931,277429771.798,278295933.405,275469968.224,275709961.171,278219986.753,4.0,1.51701256374e+12,93,0.025,9.47328533535e-09,0.00738916256158,0.0769230769231,1.4209928003e-05
203.0,-203.0,-290.0,-203.0,300.0,-203.0,-1e+200,280480279.503,2418408.72234,280480279.503,282190352.71,278770206.296,278941213.617,282019345.39,2.0,5.84870074827e+12,94,0.025,9.47328533535e-09,0.00738916256158,0.0769230769231,1.4209928003e-05
203.0,-203.0,-290.0,-203.0,400.0,-203.0,-1e+200,283140777.992,1867595.13839,282426908.883,286257521.434,280804362.655,281084881.209,285677568.608,7.0,3.48791160095e+12,95,0.025,9.47328533535e-09,0.00738916256158,0.0769230769231,1.4209928003e-05
203.0,-203.0,-290.0,-203.0,500.0,-203.0,-1e+200,284397353.73,1061517.42262,284146316.389,285804752.546,283223771.6,283312830.141,285672374.799,5.0,1.12681923853e+12,96,0.025,9.47328533535e-09,0.00738916256158,0.0769230769231,1.4209928003e-05
203.0,-203.0,-290.0,-203.0,600.0,-203.0,-1e+200,288073935.185,1553697.98794,288206392.333,289557164.183,286458249.04,286633063.369,289422086.998,3.0,2.41397743773e+12,97,0.025,9.47328533535e-09,0.00738916256158,0.0769230769231,1.4209928003e-05
203.0,-203.0,-290.0,-203.0,700.0,-203.0,-1e+200,289756225.903,1408141.38971,289391323.385,291894339.068,288381480.868,288457998.598,291585454.59,5.0,1.98286217342e+12,98,0.025,9.47328533535e-09,0.00738916256158,0.0769230769231,1.4209928003e-05
203.0,-203.0,-290.0,-203.0,800.0,-203.0,-1e+200,290765819.592,1579306.15898,290538459.029,292676468.504,288491948.116,288681924.437,292510820.226,9.0,2.49420794378e+12,99,0.025,9.47328533535e-09,0.00738916256158,0.0769230769231,1.4209928003e-05
203.0,-203.0,-290.0,-203.0,900.0,-203.0,-1e+200,291197095.808,1628484.35431,291399576.505,293617204.025,288985954.823,289221234.179,293441512.908,9.0,2.65196129222e+12,100,0.025,9.47328533535e-09,0.00738916256158,0.0769230769231,1.4209928003e-05
203.0,-203.0,-290.0,-203.0,1000.0,-203.0,-1e+200,293979805.116,1960905.5257,294291648.11,296852526.579,290357559.913,291208987.773,296210597.942,7.0,3.84515048072e+12,101,0.025,9.47328533535e-09,0.00738916256158,0.0769230769231,1.4209928003e-05
