npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,PointProbability,prefix,ProbabilityWeight-htse_capacity
1193,-500,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,200000,ref,braidwood,illinois,covid,2059465868,5410442.322,2060288966,2065085070,2052200470,2053259959,2064519441,4,2.93E+13,0.255061179,0.011756726,0.250012501,3.76E-13,36,0.184365782
1193,-500,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,ref,braidwood,illinois,covid,2030985671,12632085.75,2028464749,2046650657,2020362529,2020476839,2045023794,4,1.60E+14,0.255061179,0.001174497,0.024976249,3.76E-13,27,0.184365782
1193,-750,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,100000,ref,braidwood,illinois,covid,1846990080,11616976.44,1847454420,1858010190,1835041292,1835647308,1857682777,4,1.35E+14,0.255061179,0.060580059,0.475023751,3.76E-13,32,0.5
1193,-750,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,200000,ref,braidwood,illinois,covid,1844738387,7286675.643,1844715827,1853113130,1836408763,1837183252,1852325105,4,5.31E+13,0.255061179,0.031884242,0.250012501,3.76E-13,35,0.5
1193,-750,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10000,ref,braidwood,illinois,covid,1819359694,9184923.987,1818722344,1831131651,1808862435,1810142858,1829468818,4,8.44E+13,0.255061179,0.031881053,0.249987499,3.76E-13,29,0.5
1193,-750,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,ref,braidwood,illinois,covid,1777013064,8421624.804,1774848715,1788969944,1769384883,1770045488,1787010730,4,7.09E+13,0.255061179,0.003185236,0.024976249,3.76E-13,26,0.5
1193,-1178,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,100000,ref,braidwood,illinois,covid,1454070832,7774264.678,1454787682,1461011987,1445695979,1446224758,1460913317,4,6.04E+13,0.255061179,0.038242279,0.475023751,3.76E-13,31,0.315634218
1193,-1178,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,200000,ref,braidwood,illinois,covid,1442656554,12550497.12,1444976552,1454648903,1426024208,1428185188,1453879922,4,1.58E+14,0.255061179,0.020127515,0.250012501,3.76E-13,34,0.315634218
1193,-1178,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10000,ref,braidwood,illinois,covid,1386609312,9427888.858,1389778390,1394044561,1372835907,1375243976,1393537939,4,8.89E+13,0.255061179,0.020125503,0.249987499,3.76E-13,28,0.315634218
1193,-1178,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,ref,braidwood,illinois,covid,1346267372,6206047.676,1345879400,1353999762,1339310928,1340014333,1353063573,4,3.85E+13,0.255061179,0.002010739,0.024976249,3.76E-13,25,0.315634218
