hours,price
551.0,19.36
552.0,17.89
553.0,17.1
554.0,16.92
555.0,17.21
556.0,17.77
557.0,19.19
558.0,20.11
559.0,33.11
560.0,29.27
561.0,27.12
562.0,27.28
563.0,25.4
564.0,26.38
565.0,24.62
566.0,24.74
567.0,23.8
568.0,23.89
569.0,23.75
570.0,38.99
571.0,36.03
572.0,27.54
573.0,27.51
574.0,24.88
575.0,23.01
576.0,22.8
577.0,19.53
578.0,19.22
579.0,19.23
580.0,19.54
581.0,20.32
582.0,23.03
583.0,42.7
584.0,35.07
585.0,29.86
586.0,25.8
587.0,25.02
588.0,23.91
589.0,23.41
590.0,22.72
591.0,22.19
592.0,21.9
593.0,22.09
594.0,28.76
595.0,31.98
596.0,29.71
597.0,28.05
598.0,25.32
599.0,23.01
600.0,22.74
601.0,21.55
602.0,20.83
603.0,20.77
604.0,21.34
605.0,22.23
606.0,23.38
607.0,44.07
608.0,33.58
609.0,27.85
610.0,26.06
611.0,24.76
612.0,24.3
613.0,24.73
614.0,23.95
615.0,22.76
616.0,21.29
617.0,21.28
618.0,26.61
619.0,28.84
620.0,27.16
621.0,25.0
622.0,23.66
623.0,23.38
624.0,22.48
625.0,22.91
626.0,21.38
627.0,20.51
628.0,20.45
629.0,20.46
630.0,23.0
631.0,27.01
632.0,31.29
633.0,30.48
634.0,30.58
635.0,29.15
636.0,25.0
637.0,21.99
638.0,20.97
639.0,20.26
640.0,19.82
641.0,20.19
642.0,30.66
643.0,34.81
644.0,28.01
645.0,24.72
646.0,23.96
647.0,22.85
648.0,22.93
649.0,20.07
650.0,19.2
651.0,19.28
652.0,19.5
653.0,19.49
654.0,20.24
655.0,26.18
656.0,30.98
657.0,31.56
658.0,28.27
659.0,26.58
660.0,22.19
661.0,20.84
662.0,20.13
663.0,19.64
664.0,19.54
665.0,20.01
666.0,30.24
667.0,37.45
668.0,28.07
669.0,25.45
670.0,24.86
671.0,22.07
672.0,22.11
673.0,19.19
674.0,18.89
675.0,19.11
676.0,19.63
677.0,20.28
678.0,22.99
679.0,38.31
680.0,35.75
681.0,28.72
682.0,27.21
683.0,24.12
684.0,22.58
685.0,23.64
686.0,22.9
687.0,22.98
688.0,22.48
689.0,22.19
690.0,27.89
691.0,30.38
692.0,24.91
693.0,23.68
694.0,23.64
695.0,18.7
696.0,17.1
697.0,14.95
698.0,14.71
699.0,15.3
700.0,17.4
701.0,18.56
702.0,21.97
703.0,33.47
704.0,26.18
705.0,24.07
706.0,24.56
707.0,23.46
708.0,23.97
709.0,24.05
710.0,25.16
711.0,25.4
712.0,23.25
713.0,24.16
714.0,35.39
715.0,32.24
716.0,23.36
717.0,24.3
718.0,23.49
719.0,19.11
720.0,17.7
721.0,12.19
722.0,11.07
723.0,11.98
724.0,15.06
725.0,17.13
726.0,19.39
727.0,27.88
728.0,24.35
729.0,23.94
730.0,25.21
731.0,25.57
732.0,28.52
733.0,29.77
734.0,32.55
735.0,34.58
736.0,33.11
737.0,31.65
738.0,38.37
739.0,42.14
740.0,28.96
741.0,25.11
742.0,24.08
743.0,21.19
744.0,20.26
745.0,17.91
746.0,17.49
747.0,17.48
748.0,17.75
749.0,18.67
750.0,20.34
751.0,26.44
752.0,26.23
753.0,26.05
754.0,27.11
755.0,27.75
756.0,29.09
757.0,30.11
758.0,31.74
759.0,32.0
760.0,31.46
761.0,32.11
762.0,38.75
763.0,48.07
764.0,33.54
765.0,29.35
766.0,27.63
767.0,24.11
768.0,22.78
769.0,21.12
770.0,20.59
771.0,18.75
772.0,18.81
773.0,19.44
774.0,24.64
775.0,46.01
776.0,36.92
777.0,35.25
778.0,28.77
779.0,25.25
780.0,24.31
781.0,24.31
782.0,24.55
783.0,24.15
784.0,23.06
785.0,23.08
786.0,35.66
787.0,41.84
788.0,26.03
789.0,24.8
790.0,24.81
791.0,22.93
792.0,22.59
793.0,21.62
794.0,20.5
795.0,20.5
796.0,20.07
797.0,20.08
798.0,20.98
799.0,23.02
800.0,24.81
801.0,27.56
802.0,34.32
803.0,27.06
804.0,25.19
805.0,24.8
806.0,24.23
807.0,22.51
808.0,21.96
809.0,21.95
810.0,29.36
811.0,32.67
812.0,23.96
813.0,23.43
814.0,22.33
815.0,19.05
816.0,17.9
817.0,15.53
818.0,13.44
819.0,12.46
820.0,13.01
821.0,16.22
822.0,16.62
823.0,19.99
824.0,20.04
825.0,21.54
826.0,22.99
827.0,22.87
828.0,24.12
829.0,24.55
830.0,22.75
831.0,22.07
832.0,21.92
833.0,20.4
834.0,26.65
835.0,40.58
836.0,24.06
837.0,21.46
838.0,21.74
839.0,17.0
840.0,8.77
841.0,5.38
842.0,4.68
843.0,4.46
844.0,4.77
845.0,5.0
846.0,10.79
847.0,22.48
848.0,25.52
849.0,25.02
850.0,25.96
851.0,25.2
852.0,26.66
853.0,29.03
854.0,29.41
855.0,31.92
856.0,32.31
857.0,30.89
858.0,38.21
859.0,51.41
860.0,28.79
861.0,26.12
862.0,23.86
863.0,17.89
864.0,9.08
865.0,7.67
866.0,5.77
867.0,5.06
868.0,6.55
869.0,7.91
870.0,15.38
871.0,24.76
872.0,23.53
873.0,25.25
874.0,26.92
875.0,27.54
876.0,30.11
877.0,31.06
878.0,35.69
879.0,37.45
