npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,prefix,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight
522.0,-507.0,-6000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,prairie_island,minnesota,covid,251555989.92,481535.420198,251704796.483,251951506.486,250862860.228,250976387.362,251927263.29,4.0,231876360905.0,0.5,28,0.0142163166167,3.43224971717e-12,0.315724815725,0.00224422197204
522.0,-250.0,-6000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,prairie_island,minnesota,covid,523644828.636,147066.274124,523671102.985,523787941.086,523449167.488,523475155.165,523777718.019,4.0,21628488984.7,0.5,29,0.0142163166167,3.43224971717e-12,0.5,0.00355407915416
522.0,-507.0,-6000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5000.0,ref,prairie_island,minnesota,covid,262142892.616,204774.247748,262119910.742,262413757.294,261917991.685,261945292.619,262372667.236,4.0,41932492540.6,0.5,34,0.0392913273325,3.43224971717e-12,0.315724815725,0.00620262354081
522.0,-250.0,-6000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5000.0,ref,prairie_island,minnesota,covid,524293493.611,429472.814116,524330518.894,524746900.775,523766035.882,523823292.938,524711858.889,4.0,184446898065.0,0.5,35,0.0392913273325,3.43224971717e-12,0.5,0.00982283183312
522.0,-250.0,-6000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10000.0,ref,prairie_island,minnesota,covid,522744470.614,331295.320945,522706439.082,523180579.855,522384424.437,522424140.883,523118044.49,4.0,109756589680.0,0.5,41,0.0892984712102,3.43224971717e-12,0.5,0.0223246178025
522.0,-507.0,-6000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10000.0,ref,prairie_island,minnesota,covid,267191385.994,102128.457898,267165923.515,267332907.21,267100789.735,267106112.544,267312306.914,4.0,10430221912.6,0.5,40,0.0892984712102,3.43224971717e-12,0.315724815725,0.0140968716837
522.0,-507.0,-6000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,7500.0,ref,prairie_island,minnesota,covid,265841056.552,384722.537903,265851418.49,266301259.555,265360129.674,265430933.621,266236672.771,4.0,148011431170.0,0.5,37,0.0357193884841,3.43224971717e-12,0.315724815725,0.00563874867347
522.0,-250.0,-6000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,7500.0,ref,prairie_island,minnesota,covid,523561785.455,226468.342697,523563884.515,523837015.295,523282357.495,523324072.709,523796559.517,4.0,51287910244.0,0.5,38,0.0357193884841,3.43224971717e-12,0.5,0.00892984712102
522.0,-507.0,-6000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,20000.0,ref,prairie_island,minnesota,covid,270043510.194,457466.382354,270208700.812,270372926.178,269383712.973,269489273.586,270366479.936,4.0,209275490984.0,0.5,43,0.121445920846,3.43224971717e-12,0.315724815725,0.0191717454898
522.0,-250.0,-6000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,20000.0,ref,prairie_island,minnesota,covid,519770501.057,148106.817621,519820268.826,519887667.933,519553798.644,519592405.846,519878921.393,4.0,21935629425.8,0.5,44,0.121445920846,3.43224971717e-12,0.5,0.0303614802115
522.0,-507.0,-6000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,35000.0,ref,prairie_island,minnesota,covid,267764527.228,393727.548411,267684456.106,268294455.552,267394741.148,267418447.428,268222706.598,4.0,155021382378.0,0.5,49,0.307186740963,3.43224971717e-12,0.315724815725,0.0484932385918
522.0,-250.0,-6000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,35000.0,ref,prairie_island,minnesota,covid,515780567.509,277150.039107,515676724.375,516187638.542,515581182.744,515589321.577,516117193.827,4.0,76812144177.0,0.5,50,0.307186740963,3.43224971717e-12,0.5,0.0767966852407
522.0,-507.0,-6000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,27000.0,ref,prairie_island,minnesota,covid,269554490.305,761600.835091,269641700.536,270342607.777,268591952.373,268704754.906,270282131.382,4.0,580035832011.0,0.5,46,0.107158165452,3.43224971717e-12,0.315724815725,0.0169162460204
522.0,-250.0,-6000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,27000.0,ref,prairie_island,minnesota,covid,518064071.108,197224.525115,517993535.45,518354253.07,517914960.462,517924902.179,518301989.957,4.0,38897513306.9,0.5,47,0.107158165452,3.43224971717e-12,0.5,0.0267895413631
522.0,-250.0,-6000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,70000.0,ref,prairie_island,minnesota,covid,505965285.699,211344.271354,506045691.392,506113654.806,505656105.206,505708301.365,506109702.063,4.0,44666401034.2,0.5,53,0.250035719388,3.43224971717e-12,0.5,0.0625089298471
522.0,-507.0,-6000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,70000.0,ref,prairie_island,minnesota,covid,257283547.273,551996.196966,257190774.642,257998550.678,256754089.13,256785168.658,257911807.571,4.0,304699801465.0,0.5,52,0.250035719388,3.43224971717e-12,0.315724815725,0.0394712407143
522.0,-100.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,prairie_island,minnesota,covid,214986693.216,331303.497769,214981560.292,215305612.496,214678039.785,214684994.685,215295577.842,4.0,109762007634.0,0.170463433711,57,0.0142163166167,3.43224971717e-12,0.184275184275,0.000446565505873
522.0,-507.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2000.0,ref,prairie_island,minnesota,covid,-217858646.186,394579.037447,-217849932.801,-217407111.286,-218327607.856,-218277980.866,-217451510.245,4.0,155692616793.0,0.170463433711,58,0.0356479497071,3.43224971717e-12,0.315724815725,0.00191855611959
522.0,-250.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2000.0,ref,prairie_island,minnesota,covid,54370160.5404,296765.930665,54420680.5952,54634588.8735,54004692.0977,54042076.7816,54627516.2224,4.0,88070017603.7,0.170463433711,59,0.0356479497071,3.43224971717e-12,0.5,0.00303833595592
522.0,-100.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2000.0,ref,prairie_island,minnesota,covid,214175462.606,339432.670754,214197727.372,214527162.392,213779233.288,213815182.602,214504571.937,4.0,115214537975.0,0.170463433711,60,0.0356479497071,3.43224971717e-12,0.184275184275,0.00111977983633
522.0,-507.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,prairie_island,minnesota,covid,-222321037.673,381136.901763,-222294629.974,-221909523.137,-222785367.609,-222735344.381,-221943701.745,4.0,145265337885.0,0.170463433711,55,0.0142163166167,3.43224971717e-12,0.315724815725,0.000765115566729
522.0,-250.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,prairie_island,minnesota,covid,49573559.7812,452393.612947,49631403.2485,49967007.6624,49064424.9653,49102842.6071,49963296.101,4.0,204659981035.0,0.170463433711,56,0.0142163166167,3.43224971717e-12,0.5,0.0012116810726
522.0,-250.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5000.0,ref,prairie_island,minnesota,covid,57843731.3296,233537.801045,57795972.7346,58165361.1498,57617618.6991,57637268.3234,58117056.3686,4.0,54539904516.9,0.170463433711,62,0.0392913273325,3.43224971717e-12,0.5,0.00334886728609
522.0,-507.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5000.0,ref,prairie_island,minnesota,covid,-213864879.274,333970.954754,-213833246.977,-213512196.684,-214280826.457,-214233592.541,-213540451.222,4.0,111536598619.0,0.170463433711,61,0.0392913273325,3.43224971717e-12,0.315724815725,0.00211464101357
522.0,-250.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,7500.0,ref,prairie_island,minnesota,covid,58513864.4395,281781.413837,58538040.4044,58803918.2062,58175458.7433,58209065.7842,58784816.7441,4.0,79400765184.2,0.170463433711,65,0.0357193884841,3.43224971717e-12,0.5,0.00304442480553
522.0,-100.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,7500.0,ref,prairie_island,minnesota,covid,212922942.583,307444.491819,212924193.166,213294979.648,212548404.354,212597368.724,213246765.628,4.0,94522115549.5,0.170463433711,66,0.0357193884841,3.43224971717e-12,0.184275184275,0.0011220238841
522.0,-507.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,7500.0,ref,prairie_island,minnesota,covid,-212219136.945,622051.848421,-212004455.216,-211763863.268,-213103774.077,-212968652.673,-211770175.636,4.0,386948502123.0,0.170463433711,64,0.0357193884841,3.43224971717e-12,0.315724815725,0.00192240092143
522.0,-100.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5000.0,ref,prairie_island,minnesota,covid,213352683.267,648235.55817,213322695.432,214136947.444,212628394.762,212695925.52,214051423.984,4.0,420209338877.0,0.170463433711,63,0.0392913273325,3.43224971717e-12,0.184275184275,0.00123422627251
522.0,-250.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10000.0,ref,prairie_island,minnesota,covid,58702263.1786,266772.154141,58711074.7547,58964591.0295,58422312.1756,58438345.0316,58953845.1192,4.0,71167382225.2,0.170463433711,68,0.0892984712102,3.43224971717e-12,0.5,0.00761106201383
522.0,-507.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10000.0,ref,prairie_island,minnesota,covid,-210911121.632,196681.466414,-210953564.118,-210648395.929,-211088962.364,-211080172.367,-210682651.417,4.0,38683599230.7,0.170463433711,67,0.0892984712102,3.43224971717e-12,0.315724815725,0.00480600230357
522.0,-100.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,20000.0,ref,prairie_island,minnesota,covid,209722946.73,155871.570678,209701703.083,209932437.384,209555943.368,209576274.689,209899359.875,4.0,24295946545.8,0.170463433711,72,0.121445920846,3.43224971717e-12,0.184275184275,0.00381488120595
522.0,-250.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,20000.0,ref,prairie_island,minnesota,covid,57171952.0349,174920.647724,57195471.4105,57333500.4962,56963364.8221,56982781.5565,57328195.3873,4.0,30597233000.0,0.170463433711,71,0.121445920846,3.43224971717e-12,0.5,0.0103510443388
522.0,-507.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,20000.0,ref,prairie_island,minnesota,covid,-210315146.426,316072.853265,-210328496.437,-210001562.882,-210602029.95,-210597544.693,-210014058.146,4.0,99902048571.3,0.170463433711,70,0.121445920846,3.43224971717e-12,0.315724815725,0.00653616313286
522.0,-100.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10000.0,ref,prairie_island,minnesota,covid,212008938.013,338414.390406,211962275.728,212391053.675,211720146.919,211721319.239,212361883.984,4.0,114524299634.0,0.170463433711,69,0.0892984712102,3.43224971717e-12,0.184275184275,0.00280505971026
522.0,-250.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,27000.0,ref,prairie_island,minnesota,covid,55044167.2037,500312.228838,55008723.0235,55676147.758,54483075.0097,54542307.0151,55595649.2445,4.0,250312326325.0,0.170463433711,74,0.107158165452,3.43224971717e-12,0.5,0.0091332744166
522.0,-507.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,27000.0,ref,prairie_island,minnesota,covid,-211796450.19,264548.903965,-211897057.191,-211406776.085,-211984910.293,-211976875.941,-211475174.638,4.0,69986122589.0,0.170463433711,73,0.107158165452,3.43224971717e-12,0.315724815725,0.00576720276429
522.0,-100.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,35000.0,ref,prairie_island,minnesota,covid,205173140.147,294151.244302,205096704.562,205590689.06,204908462.404,204930433.948,205522856.165,4.0,86524954524.2,0.170463433711,78,0.307186740963,3.43224971717e-12,0.184275184275,0.00964940540329
522.0,-250.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,35000.0,ref,prairie_island,minnesota,covid,52197595.0535,293933.481015,52287399.4203,52422174.0569,51793407.3164,51849363.705,52420100.2884,4.0,86396891261.8,0.170463433711,77,0.307186740963,3.43224971717e-12,0.5,0.0261820533276
522.0,-507.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,70000.0,ref,prairie_island,minnesota,covid,-225781116.138,321864.544531,-225765551.876,-225416558.169,-226176802.632,-226130425.143,-225453597.1,4.0,103596785026.0,0.170463433711,79,0.250035719388,3.43224971717e-12,0.315724815725,0.01345680645
522.0,-100.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,27000.0,ref,prairie_island,minnesota,covid,208018972.936,334140.212174,208032227.548,208403235.352,207608201.297,207657493.501,208361895.915,4.0,111649681392.0,0.170463433711,75,0.107158165452,3.43224971717e-12,0.184275184275,0.00336607165231
522.0,-250.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,70000.0,ref,prairie_island,minnesota,covid,41163337.1785,270665.17916,41160623.2525,41493235.638,40838866.5712,40879157.4511,41451316.4024,4.0,73259639209.5,0.170463433711,80,0.250035719388,3.43224971717e-12,0.5,0.0213109736387
522.0,-507.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,35000.0,ref,prairie_island,minnesota,covid,-214282405.718,611559.696389,-214330848.007,-213508358.43,-214959568.427,-214891159.578,-213605832.652,4.0,374005262247.0,0.170463433711,76,0.307186740963,3.43224971717e-12,0.315724815725,0.0165326479243
522.0,-100.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,70000.0,ref,prairie_island,minnesota,covid,195274361.674,220114.478729,195253026.278,195542781.203,195048612.936,195063748.228,195514844.673,4.0,48450383746.1,0.170463433711,81,0.250035719388,3.43224971717e-12,0.184275184275,0.00785416718872
