SteamGen_capacity,Converter1_capacity,NewBOP_capacity,Charger_capacity,TES_capacity,Convert2_capacity,Grid_capacity,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-Charger_capacity,PointProbability,ProbabilityWeight-NewBOP_capacity,prefix,ProbabilityWeight-TES_capacity,ProbabilityWeight
203.0,-203.0,-340.0,-200.0,1200.0,-203.0,-1e+200,430084365.964,14441971.6703,431417769.201,453933682.993,398763395.756,404459043.656,449503864.726,20.0,2.08570545725e+14,0.5,6.74217907228e-06,0.25,71,0.0954692556634,0.0119336569579
203.0,-203.0,-340.0,-200.0,1218.0,-203.0,-1e+200,430968409.995,13499252.0528,432823821.234,452334226.739,402241364.343,411280850.199,447575843.052,20.0,1.82229805985e+14,0.5,6.74217907228e-06,0.25,72,0.0145631067961,0.00182038834951
203.0,-203.0,-320.0,-200.0,600.0,-203.0,-1e+200,416974585.534,14001525.1305,421152717.286,439023479.838,387423149.668,394096692.214,436590871.095,20.0,1.96042705979e+14,0.5,6.74217907228e-06,0.125,73,0.0809061488673,0.00505663430421
203.0,-203.0,-320.0,-200.0,700.0,-203.0,-1e+200,409881736.715,17367485.2486,408127445.837,449475461.609,389474173.087,389827210.981,437550702.341,20.0,3.0162954386e+14,0.5,6.74217907228e-06,0.125,74,0.161812297735,0.0101132686084
203.0,-203.0,-320.0,-200.0,800.0,-203.0,-1e+200,415921023.369,12323538.5599,414794523.137,434835657.285,392907271.096,401411560.019,433763298.445,20.0,1.51869602637e+14,0.5,6.74217907228e-06,0.125,75,0.161812297735,0.0101132686084
203.0,-203.0,-320.0,-200.0,900.0,-203.0,-1e+200,421006996.635,10113569.7806,423682169.747,434455313.515,400184231.559,407522243.676,434326860.162,19.0,1.02284293706e+14,0.5,6.74217907228e-06,0.125,76,0.161812297735,0.0101132686084
203.0,-203.0,-320.0,-200.0,1000.0,-203.0,-1e+200,418123289.379,15342463.9069,422095274.166,437138958.829,387377981.221,388035434.905,435540417.274,20.0,2.35391198733e+14,0.5,6.74217907228e-06,0.125,77,0.161812297735,0.0101132686084
203.0,-203.0,-320.0,-200.0,1100.0,-203.0,-1e+200,415592287.452,11660103.4029,414789842.285,442071284.012,392433276.197,399744925.785,432849085.69,20.0,1.35958011367e+14,0.5,6.74217907228e-06,0.125,78,0.161812297735,0.0101132686084
203.0,-203.0,-320.0,-200.0,1200.0,-203.0,-1e+200,417832910.735,13296955.8362,419136607.867,444958290.341,392993020.088,397696577.559,434432030.633,20.0,1.76809034509e+14,0.5,6.74217907228e-06,0.125,79,0.0954692556634,0.00596682847896
203.0,-203.0,-320.0,-200.0,1218.0,-203.0,-1e+200,419023310.317,12567373.5868,424070982.107,438921981.638,390985350.917,400581324.038,432239686.635,19.0,1.57938878871e+14,0.5,6.74217907228e-06,0.125,80,0.0145631067961,0.000910194174757
