npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,prefix
1193,-500,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10000,ref,braidwood,illinois,covid,2111312295,8004346.467,2109212064,2122460294,2104364758,2104742631,2120822282,4,6.41E+13,0.249987499,0.011755551,3.76E-13,0.184365782,0.255061179,30
1193,-500,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,ref,braidwood,illinois,covid,2088355529,5287346.393,2086252657,2096108548,2084808255,2084862960,2094792119,4,2.80E+13,0.024976249,0.001174497,3.76E-13,0.184365782,0.255061179,27
1193,-750,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,100000,ref,braidwood,illinois,covid,1887092352,4341859.604,1888087000,1891102912,1881092496,1881974177,1890818019,4,1.89E+13,0.475023751,0.060580059,3.76E-13,0.5,0.255061179,32
1193,-750,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,200000,ref,braidwood,illinois,covid,1886513207,5578910.26,1886334006,1892928411,1880456405,1880920883,1892356412,4,3.11E+13,0.250012501,0.031884242,3.76E-13,0.5,0.255061179,35
1193,-750,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10000,ref,braidwood,illinois,covid,1849885991,2578630.552,1850365223,1852489654,1846323866,1846914741,1852186318,4,6.65E+12,0.249987499,0.031881053,3.76E-13,0.5,0.255061179,29
1193,-750,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,ref,braidwood,illinois,covid,1810804306,10852493.85,1806730695,1826762018,1802993818,1803329626,1823982043,4,1.18E+14,0.024976249,0.003185236,3.76E-13,0.5,0.255061179,26
1193,-1178,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,100000,ref,braidwood,illinois,covid,1472906613,5644569.782,1471857013,1479768662,1468143765,1468185401,1479097266,4,3.19E+13,0.475023751,0.038242279,3.76E-13,0.315634218,0.255061179,31
1193,-1178,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,200000,ref,braidwood,illinois,covid,1457642930,13572808.83,1460008570,1471023791,1439530789,1441980600,1469993365,4,1.84E+14,0.250012501,0.020127515,3.76E-13,0.315634218,0.255061179,34
1193,-1178,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10000,ref,braidwood,illinois,covid,1399631192,8518086.197,1402852146,1405743351,1387077124,1389294840,1405458207,4,7.26E+13,0.249987499,0.020125503,3.76E-13,0.315634218,0.255061179,28
1193,-1178,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,ref,braidwood,illinois,covid,1349889549,8679707.596,1348952137,1360278575,1341375347,1341809656,1359281819,4,7.53E+13,0.024976249,0.002010739,3.76E-13,0.315634218,0.255061179,25
