SteamGen_capacity,Converter1_capacity,NewBOP_capacity,Charger_capacity,TES_capacity,Convert2_capacity,Grid_capacity,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-TES_capacity,ProbabilityWeight-Charger_capacity,ProbabilityWeight,PointProbability,ProbabilityWeight-NewBOP_capacity
203.0,-203.0,-380.0,-203.0,1000.0,-203.0,-1e+200,278244156.839,311345.949527,278319890.241,278863270.479,277609961.741,277792286.182,278569942.48,18.0,96936300287.2,14,0.1,0.0454545454545,0.0004329004329,1.443001443e-07,0.0952380952381
203.0,-203.0,-380.0,-203.0,1100.0,-203.0,-1e+200,277484385.859,369941.345119,277355159.255,278329728.554,277006017.647,277113426.598,278061038.812,12.0,136856598829.0,15,0.1,0.0454545454545,0.0004329004329,1.443001443e-07,0.0952380952381
203.0,-203.0,-380.0,-203.0,1200.0,-203.0,-1e+200,277002237.087,463482.059402,276901232.255,278256420.337,276360078.258,276563526.009,277758413.44,16.0,214815619387.0,16,0.059,0.0454545454545,0.000255411255411,1.443001443e-07,0.0952380952381
203.0,-203.0,-360.0,-203.0,300.0,-203.0,-1e+200,270999332.609,160768.255588,271023412.184,271218922.351,270713312.558,270777305.616,271184480.497,7.0,25846432004.9,19,0.15,0.0454545454545,0.000649350649351,1.443001443e-07,0.0952380952381
203.0,-203.0,-380.0,-203.0,1218.0,-203.0,-1e+200,276927901.119,462176.283221,276885155.686,277692049.887,276251176.66,276259136.72,277563479.071,15.0,213606916772.0,17,0.05,0.0454545454545,0.00021645021645,1.443001443e-07,0.0952380952381
203.0,-203.0,-380.0,-203.0,1300.0,-203.0,-1e+200,276206949.742,288042.418699,276215251.249,276734213.117,275676234.563,275725497.905,276663478.9,16.0,82968434969.9,18,0.041,0.0454545454545,0.000177489177489,1.443001443e-07,0.0952380952381
203.0,-203.0,-360.0,-203.0,600.0,-203.0,-1e+200,275642608.275,229848.741164,275577264.423,276028682.679,275372135.955,275400887.879,275951215.592,12.0,52830443814.8,20,0.25,0.0454545454545,0.00108225108225,1.443001443e-07,0.0952380952381
203.0,-203.0,-360.0,-203.0,800.0,-203.0,-1e+200,275702300.457,430775.042922,275852316.859,276124643.842,274750307.645,275007359.05,276065625.392,8.0,185567137605.0,21,0.15,0.0454545454545,0.000649350649351,1.443001443e-07,0.0952380952381
203.0,-203.0,-360.0,-203.0,1000.0,-203.0,-1e+200,274483730.348,311735.494561,274538981.307,274898192.24,273945665.964,274030351.556,274860790.537,8.0,97179018569.3,23,0.1,0.0454545454545,0.0004329004329,1.443001443e-07,0.0952380952381
203.0,-203.0,-360.0,-203.0,900.0,-203.0,-1e+200,275099668.644,411502.35127,275035637.043,275938683.963,274480762.57,274604600.901,275700687.723,14.0,169334185101.0,22,0.1,0.0454545454545,0.0004329004329,1.443001443e-07,0.0952380952381
203.0,-203.0,-360.0,-203.0,1100.0,-203.0,-1e+200,273777739.777,294580.117406,273737481.187,274463377.837,273450108.657,273461176.235,274299476.739,12.0,86777445571.1,24,0.1,0.0454545454545,0.0004329004329,1.443001443e-07,0.0952380952381
203.0,-203.0,-360.0,-203.0,1200.0,-203.0,-1e+200,273108489.994,432562.757934,273098760.98,274002094.506,272543439.857,272629103.679,273973217.154,15.0,187110539552.0,25,0.059,0.0454545454545,0.000255411255411,1.443001443e-07,0.0952380952381
203.0,-203.0,-360.0,-203.0,1218.0,-203.0,-1e+200,272727360.581,324502.251888,272772790.414,273211910.878,272073841.953,272228672.225,273140884.364,11.0,105301711480.0,26,0.05,0.0454545454545,0.00021645021645,1.443001443e-07,0.0952380952381
203.0,-203.0,-360.0,-203.0,1300.0,-203.0,-1e+200,272169175.638,357396.171663,272076617.354,272868346.629,271667508.003,271730849.63,272703556.2,10.0,127732023519.0,27,0.041,0.0454545454545,0.000177489177489,1.443001443e-07,0.0952380952381
203.0,-203.0,-340.0,-203.0,300.0,-203.0,-1e+200,269413580.318,379987.393536,269454477.519,269858526.519,268843396.095,268914550.679,269829542.347,6.0,144390419246.0,28,0.15,0.0454545454545,0.000649350649351,1.443001443e-07,0.0952380952381
203.0,-203.0,-340.0,-203.0,600.0,-203.0,-1e+200,272508794.055,229139.225973,272426564.75,272832964.903,272238108.858,272241829.866,272807109.941,9.0,52504784879.7,29,0.25,0.0454545454545,0.00108225108225,1.443001443e-07,0.0952380952381
203.0,-203.0,-340.0,-203.0,800.0,-203.0,-1e+200,271924764.309,270052.844047,271827513.283,272408299.241,271628384.814,271653150.063,272393591.224,11.0,72928538578.1,30,0.15,0.0454545454545,0.000649350649351,1.443001443e-07,0.0952380952381
203.0,-203.0,-340.0,-203.0,900.0,-203.0,-1e+200,271344999.982,336578.903606,271234745.131,271792169.396,270853193.581,270878429.977,271781332.887,11.0,113285358353.0,31,0.1,0.0454545454545,0.0004329004329,1.443001443e-07,0.0952380952381
203.0,-203.0,-340.0,-203.0,1000.0,-203.0,-1e+200,270752505.902,174004.2703,270750441.505,270970944.487,270504420.364,270535155.852,270950296.979,10.0,30277486082.8,32,0.1,0.0454545454545,0.0004329004329,1.443001443e-07,0.0952380952381
203.0,-203.0,-340.0,-203.0,1100.0,-203.0,-1e+200,269676912.406,335178.952989,269768108.833,270105696.951,269053843.625,269097383.283,270044023.236,13.0,112344930527.0,33,0.1,0.0454545454545,0.0004329004329,1.443001443e-07,0.0952380952381
203.0,-203.0,-340.0,-203.0,1200.0,-203.0,-1e+200,268758159.873,404410.765953,268605846.149,269405158.67,268169794.149,268228655.904,269306750.853,12.0,163548067618.0,34,0.059,0.0454545454545,0.000255411255411,1.443001443e-07,0.0952380952381
203.0,-203.0,-340.0,-203.0,1218.0,-203.0,-1e+200,268718733.058,108243.749835,268701353.656,268835291.232,268542565.418,268575173.346,268829252.566,7.0,11716709378.4,35,0.05,0.0454545454545,0.00021645021645,1.443001443e-07,0.0952380952381
203.0,-203.0,-340.0,-203.0,1300.0,-203.0,-1e+200,267935071.048,426726.568202,267897428.897,268678043.726,266999494.893,267253257.953,268517231.509,15.0,182095564010.0,36,0.041,0.0454545454545,0.000177489177489,1.443001443e-07,0.0952380952381
203.0,-203.0,-320.0,-203.0,300.0,-203.0,-1e+200,266988009.697,152456.267975,266925783.565,267161737.085,266876508.44,266881435.953,267138141.733,3.0,23242913644.9,37,0.15,0.0454545454545,0.000649350649351,1.443001443e-07,0.0952380952381
203.0,-203.0,-320.0,-203.0,600.0,-203.0,-1e+200,269095452.492,283564.840842,269080955.616,269385987.709,268819414.15,268845568.297,269355484.5,3.0,80409018961.6,38,0.25,0.0454545454545,0.00108225108225,1.443001443e-07,0.0952380952381
203.0,-203.0,-320.0,-203.0,800.0,-203.0,-1e+200,267695138.159,627879.329094,267410858.192,268633143.088,267325693.162,267331177.62,268457090.651,4.0,394232451904.0,39,0.15,0.0454545454545,0.000649350649351,1.443001443e-07,0.0952380952381
203.0,-203.0,-320.0,-203.0,900.0,-203.0,-1e+200,267264250.054,199132.448243,267249954.998,267518323.488,267038766.732,267064485.93,267484027.256,4.0,39653731943.1,40,0.1,0.0454545454545,0.0004329004329,1.443001443e-07,0.0952380952381
203.0,-203.0,-320.0,-203.0,1000.0,-203.0,-1e+200,266243672.633,334785.184219,266313705.34,266562776.981,265691921.383,265786334.271,266561097.149,8.0,112081119573.0,41,0.1,0.0454545454545,0.0004329004329,1.443001443e-07,0.0952380952381
203.0,-203.0,-320.0,-203.0,1100.0,-203.0,-1e+200,265527587.285,273148.673911,265390195.802,265922159.545,265203865.483,265228276.734,265875104.332,9.0,74610198059.6,42,0.1,0.0454545454545,0.0004329004329,1.443001443e-07,0.0952380952381
203.0,-203.0,-320.0,-203.0,1200.0,-203.0,-1e+200,264335769.716,313774.577368,264297654.946,264803360.594,263930293.067,263941850.427,264739374.087,8.0,98454485402.3,43,0.059,0.0454545454545,0.000255411255411,1.443001443e-07,0.0952380952381
203.0,-203.0,-320.0,-203.0,1218.0,-203.0,-1e+200,264242193.948,135462.723358,264240679.467,264435789.998,264017616.021,264065425.556,264407247.013,7.0,18350149419.6,44,0.05,0.0454545454545,0.00021645021645,1.443001443e-07,0.0952380952381
203.0,-203.0,-300.0,-203.0,300.0,-203.0,-1e+200,263896664.375,,263896664.375,263896664.375,263896664.375,263896664.375,263896664.375,1.0,,46,0.15,0.0454545454545,0.000649350649351,1.443001443e-07,0.0952380952381
203.0,-203.0,-320.0,-203.0,1300.0,-203.0,-1e+200,263264570.438,403141.020091,263290388.498,263715210.096,262686822.063,262717738.63,263708876.833,8.0,162522682080.0,45,0.041,0.0454545454545,0.000177489177489,1.443001443e-07,0.0952380952381
203.0,-203.0,-300.0,-203.0,800.0,-203.0,-1e+200,263626392.478,,263626392.478,263626392.478,263626392.478,263626392.478,263626392.478,1.0,,48,0.15,0.0454545454545,0.000649350649351,1.443001443e-07,0.0952380952381
203.0,-203.0,-300.0,-203.0,600.0,-203.0,-1e+200,265248542.486,,265248542.486,265248542.486,265248542.486,265248542.486,265248542.486,1.0,,47,0.25,0.0454545454545,0.00108225108225,1.443001443e-07,0.0952380952381
203.0,-203.0,-300.0,-203.0,900.0,-203.0,-1e+200,262378490.329,427052.223951,262378490.329,262680461.853,262076518.806,262106715.958,262650264.7,2.0,182373601982.0,49,0.1,0.0454545454545,0.0004329004329,1.443001443e-07,0.0952380952381
203.0,-203.0,-300.0,-203.0,1000.0,-203.0,-1e+200,261241265.808,,261241265.808,261241265.808,261241265.808,261241265.808,261241265.808,1.0,,50,0.1,0.0454545454545,0.0004329004329,1.443001443e-07,0.0952380952381
203.0,-203.0,-300.0,-203.0,1100.0,-203.0,-1e+200,260693138.266,467530.45023,260693138.266,261023732.218,260362544.314,260395603.71,260990672.823,2.0,218584721892.0,51,0.1,0.0454545454545,0.0004329004329,1.443001443e-07,0.0952380952381
203.0,-203.0,-300.0,-203.0,1200.0,-203.0,-1e+200,259612855.337,,259612855.337,259612855.337,259612855.337,259612855.337,259612855.337,1.0,,52,0.059,0.0454545454545,0.000255411255411,1.443001443e-07,0.0952380952381
