npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity
1193.0,-500.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,braidwood,illinois,covid,2529737326.85,3730218.12907,2529702093.27,2534233946.44,2525311174.41,2525822434.44,2533701546.27,4.0,1.39145272904e+13,3.76215239928e-13,0.00117449695215,0.184365781711,27,0.0249762488124,0.255061178974
1193.0,-1178.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10000.0,ref,braidwood,illinois,covid,1906815893.94,13415758.0934,1910186201.76,1919092906.92,1887798265.33,1890923243.17,1917990113.77,4.0,1.7998256522e+14,3.76215239928e-13,0.0201255025846,0.315634218289,28,0.249987499375,0.255061178974
1193.0,-750.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10000.0,ref,braidwood,illinois,covid,2336261486.88,13830386.9515,2336673634.36,2352418402.24,2319280276.55,2321368673.67,2350577293.61,4.0,1.91279603228e+14,3.76215239928e-13,0.0318810531597,0.5,29,0.249987499375,0.255061178974
1193.0,-500.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10000.0,ref,braidwood,illinois,covid,2573995951.15,12730716.695,2578494853.09,2583572175.68,2555421922.74,2558564053.22,2583129386.36,4.0,1.62071147569e+14,3.76215239928e-13,0.0117555505751,0.184365781711,30,0.249987499375,0.255061178974
1193.0,-1178.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,100000.0,ref,braidwood,illinois,covid,2003336769.94,14926964.533,2001487906.61,2020519775.38,1989851491.17,1990156259.12,2019105689.43,4.0,2.22814270169e+14,3.76215239928e-13,0.0382422791387,0.315634218289,31,0.475023751188,0.255061178974
1193.0,-750.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,100000.0,ref,braidwood,illinois,covid,2390629237.55,15964342.6964,2389605375.1,2409223319.31,2374082880.71,2375143056.88,2407548825.67,4.0,2.54860237728e+14,3.76215239928e-13,0.0605800590094,0.5,32,0.475023751188,0.255061178974
1193.0,-500.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,100000.0,ref,braidwood,illinois,covid,2582462467.33,7285806.27817,2583889033.14,2589708431.61,2572363371.42,2574004563.5,2588923179.03,4.0,5.3082973123e+13,3.76215239928e-13,0.0223377798707,0.184365781711,33,0.475023751188,0.255061178974
1193.0,-1178.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,200000.0,ref,braidwood,illinois,covid,1986760518.93,10481670.0987,1984300647.06,2000616974.03,1977823807.56,1978078872.44,1998885986.03,4.0,1.09865408058e+14,3.76215239928e-13,0.0201275153361,0.315634218289,34,0.250012500625,0.255061178974
1193.0,-750.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,200000.0,ref,braidwood,illinois,covid,2384507968.72,9379842.04498,2384078171.05,2395655106.38,2374220426.38,2375085345.59,2394532308.57,4.0,8.79814367889e+13,3.76215239928e-13,0.0318842415839,0.5,35,0.250012500625,0.255061178974
1193.0,-500.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,200000.0,ref,braidwood,illinois,covid,2592952112.01,12229908.9504,2591009783.63,2609109999.4,2580678881.39,2581652848.61,2606970635.15,4.0,1.49570672936e+14,3.76215239928e-13,0.0117567262477,0.184365781711,36,0.250012500625,0.255061178974
