hours,price
589.0,43.26
590.0,40.97
591.0,40.82
592.0,40.05
593.0,41.86
594.0,59.93
595.0,56.12
596.0,50.78
597.0,50.32
598.0,42.39
599.0,37.82
600.0,35.31
601.0,37.95
602.0,36.97
603.0,35.95
604.0,36.22
605.0,35.21
606.0,39.39
607.0,49.98
608.0,55.37
609.0,51.63
610.0,52.43
611.0,54.87
612.0,51.88
613.0,48.01
614.0,46.4
615.0,43.68
616.0,42.57
617.0,46.74
618.0,65.03
619.0,61.64
620.0,53.78
621.0,52.29
622.0,44.85
623.0,39.97
624.0,38.66
625.0,42.34
626.0,40.4
627.0,38.97
628.0,39.69
629.0,40.97
630.0,43.33
631.0,58.52
632.0,69.23
633.0,60.64
634.0,58.33
635.0,58.33
636.0,52.44
637.0,46.77
638.0,44.74
639.0,43.85
640.0,43.38
641.0,46.78
642.0,67.05
643.0,70.89
644.0,65.34
645.0,66.78
646.0,56.0
647.0,44.72
648.0,43.54
649.0,41.55
650.0,39.55
651.0,39.15
652.0,39.28
653.0,39.94
654.0,45.03
655.0,59.43
656.0,60.59
657.0,60.14
658.0,60.27
659.0,61.58
660.0,58.76
661.0,51.56
662.0,45.93
663.0,44.79
664.0,44.23
665.0,46.6
666.0,63.24
667.0,61.14
668.0,55.86
669.0,52.09
670.0,48.09
671.0,42.88
672.0,41.34
673.0,41.93
674.0,40.47
675.0,39.85
676.0,39.81
677.0,40.0
678.0,41.17
679.0,47.25
680.0,49.32
681.0,55.19
682.0,59.03
683.0,56.17
684.0,51.58
685.0,45.68
686.0,42.72
687.0,41.1
688.0,40.78
689.0,43.44
690.0,63.8
691.0,60.12
692.0,54.67
693.0,52.76
694.0,45.55
695.0,41.27
696.0,39.79
697.0,38.89
698.0,37.54
699.0,37.15
700.0,37.28
701.0,37.46
702.0,39.05
703.0,41.62
704.0,42.03
705.0,45.88
706.0,48.44
707.0,45.43
708.0,43.6
709.0,40.36
710.0,39.06
711.0,38.67
712.0,38.87
713.0,40.5
714.0,59.39
715.0,57.61
716.0,51.63
717.0,52.78
718.0,47.21
719.0,43.25
720.0,40.26
721.0,39.76
722.0,38.83
723.0,38.6
724.0,39.39
725.0,39.19
726.0,45.35
727.0,59.21
728.0,62.57
729.0,60.21
730.0,59.8
731.0,61.88
732.0,56.6
733.0,50.78
734.0,47.75
735.0,46.29
736.0,45.84
737.0,48.4
738.0,75.27
739.0,79.23
740.0,66.33
741.0,60.74
742.0,54.0
743.0,47.73
744.0,43.81
745.0,37.24
746.0,35.61
747.0,34.48
748.0,34.5
749.0,35.43
750.0,37.76
751.0,45.59
752.0,47.66
753.0,49.47
754.0,49.97
755.0,50.06
756.0,49.06
757.0,46.38
758.0,44.49
759.0,42.27
760.0,41.88
761.0,43.29
762.0,53.3
763.0,55.17
764.0,49.16
765.0,45.94
766.0,41.95
767.0,38.62
768.0,35.2
769.0,33.45
770.0,32.03
771.0,31.77
772.0,31.67
773.0,32.55
774.0,34.5
775.0,39.99
776.0,45.91
777.0,45.06
778.0,46.63
779.0,45.97
780.0,45.01
781.0,43.02
782.0,40.56
783.0,39.61
784.0,39.31
785.0,41.48
786.0,53.61
787.0,61.07
788.0,55.21
789.0,53.22
790.0,46.81
791.0,40.36
792.0,35.87
793.0,37.6
794.0,36.2
795.0,35.92
796.0,36.12
797.0,37.41
798.0,43.06
799.0,59.19
800.0,68.5
801.0,55.3
802.0,55.4
803.0,54.42
804.0,50.67
805.0,45.28
806.0,43.56
807.0,42.36
808.0,41.83
809.0,43.72
810.0,61.38
811.0,74.97
812.0,65.82
813.0,64.9
814.0,56.89
815.0,45.85
816.0,43.63
817.0,39.42
818.0,38.28
819.0,37.18
820.0,37.41
821.0,38.4
822.0,44.56
823.0,63.67
824.0,75.0
825.0,56.36
826.0,52.84
827.0,51.25
828.0,45.18
829.0,42.5
830.0,40.5
