iteration,accepted,SteamGen_capacity,Converter1_capacity,NewBOP_capacity,Charger_capacity,TES_capacity,Convert2_capacity,Grid_capacity,mean_NPV,std_NPV,med_NPV
75.0,rerun,203.0,-203.0,-408.322985035,-203.144537973,1041.6228111,-203.0,-1e+200,306113118.723,478075.692861,306264250.482
76.0,rejected,203.0,-203.0,-408.323029745,-203.144549234,1041.62313262,-203.0,-1e+200,305926998.312,404255.12013,305882700.107
77.0,rerun,203.0,-203.0,-408.322985035,-203.144537973,1041.6228111,-203.0,-1e+200,306095789.225,437707.955334,306184912.272
78.0,accepted,203.0,-203.0,-408.322997868,-203.144545918,1041.62304886,-203.0,-1e+200,306154704.732,433031.296238,306199819.576
79.0,rejected,203.0,-203.0,-408.322922734,-203.144537239,1041.62357487,-203.0,-1e+200,305990553.244,485782.812014,305999471.234
80.0,rerun,203.0,-203.0,-408.322997868,-203.144545918,1041.62304886,-203.0,-1e+200,306148534.428,393608.133501,306214388.76
81.0,rejected,203.0,-203.0,-408.322958729,-203.144533153,1041.62310855,-203.0,-1e+200,305925768.676,392709.08822,306021690.276
82.0,rerun,203.0,-203.0,-408.322997868,-203.144545918,1041.62304886,-203.0,-1e+200,306064117.65,500424.59251,306023346.175
83.0,rejected,203.0,-203.0,-408.323015645,-203.144543642,1041.62334111,-203.0,-1e+200,306084717.89,409818.022841,306114439.186
84.0,rerun,203.0,-203.0,-408.322997868,-203.144545918,1041.62304886,-203.0,-1e+200,306062619.788,411502.590805,305984875.252
85.0,accepted,203.0,-203.0,-408.322983661,-203.144545437,1041.62324564,-203.0,-1e+200,306191572.102,399378.792398,306140573.976
86.0,rejected,203.0,-203.0,-408.322935435,-203.144552261,1041.62309595,-203.0,-1e+200,305947541.574,432011.429363,305828993.336
87.0,rerun,203.0,-203.0,-408.322983661,-203.144545437,1041.62324564,-203.0,-1e+200,306107544.041,475377.439211,306022033.884
88.0,rejected,203.0,-203.0,-408.323022013,-203.144548963,1041.62333623,-203.0,-1e+200,306098100.349,520374.990068,306054530.882
89.0,rerun,203.0,-203.0,-408.322983661,-203.144545437,1041.62324564,-203.0,-1e+200,306158940.255,318508.816998,306164012.818
90.0,accepted,203.0,-203.0,-408.322967053,-203.144547991,1041.62335513,-203.0,-1e+200,306153251.54,441986.286678,306175368.538
91.0,rejected,203.0,-203.0,-408.322995133,-203.144546868,1041.62326031,-203.0,-1e+200,306042678.86,478357.758302,306066092.482
92.0,rerun,203.0,-203.0,-408.322967053,-203.144547991,1041.62335513,-203.0,-1e+200,306006965.004,404222.557731,305951901.657
93.0,rejected,203.0,-203.0,-408.322968995,-203.144547588,1041.62346962,-203.0,-1e+200,306035404.845,329549.97185,306102439.543
94.0,rerun,203.0,-203.0,-408.322967053,-203.144547991,1041.62335513,-203.0,-1e+200,306064409.344,523212.515602,306189366.94
95.0,rejected,203.0,-203.0,-408.322957298,-203.14454772,1041.62341418,-203.0,-1e+200,305882510.285,407969.248469,305741008.829
96.0,rerun,203.0,-203.0,-408.322967053,-203.144547991,1041.62335513,-203.0,-1e+200,305840590.139,384886.480075,305816677.639
97.0,rejected,203.0,-203.0,-408.322966745,-203.144549188,1041.62332276,-203.0,-1e+200,305936498.468,465342.789257,305907756.723
98.0,rerun,203.0,-203.0,-408.322967053,-203.144547991,1041.62335513,-203.0,-1e+200,306076759.195,450920.307853,306104874.289
99.0,rejected,203.0,-203.0,-408.322960549,-203.144548219,1041.62334742,-203.0,-1e+200,305881164.865,471680.345873,305744450.401
100.0,rerun,203.0,-203.0,-408.322967053,-203.144547991,1041.62335513,-203.0,-1e+200,306120645.727,430473.570205,306123812.271
101.0,accepted,203.0,-203.0,-408.322971593,-203.144548014,1041.62335267,-203.0,-1e+200,306099051.595,494579.942598,306015674.87
102.0,rejected,203.0,-203.0,-408.322974084,-203.144548302,1041.62335404,-203.0,-1e+200,305881195.146,449858.757442,305854674.73
