SteamGen_capacity,Converter1_capacity,NewBOP_capacity,Charger_capacity,TES_capacity,Convert2_capacity,Grid_capacity,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-TES_capacity,prefix,ProbabilityWeight-NewBOP_capacity,ProbabilityWeight-Charger_capacity,ProbabilityWeight
203.0,-203.0,-360.0,-195.0,300.0,-203.0,-1e+200,428352786.697,14218776.3963,429981190.98,454549267.42,404031748.295,404764768.976,447246786.655,19.0,2.02173602209e+14,4.7619047619e-08,0.05,25,0.0714285714286,0.0333333333333,0.000119047619048
203.0,-203.0,-360.0,-195.0,400.0,-203.0,-1e+200,434080738.041,13759647.8669,438411273.643,450129228.81,407102614.312,411556307.583,449783220.78,17.0,1.89327909421e+14,4.7619047619e-08,0.1,26,0.0714285714286,0.0333333333333,0.000238095238095
203.0,-203.0,-360.0,-195.0,500.0,-203.0,-1e+200,434120840.341,13568772.3443,435158884.749,462977161.487,407406906.333,413689309.805,453575993.466,19.0,1.84111582931e+14,4.7619047619e-08,0.1,27,0.0714285714286,0.0333333333333,0.000238095238095
203.0,-203.0,-360.0,-195.0,600.0,-203.0,-1e+200,444089163.102,11651221.2315,441741581.608,462228460.609,421433639.457,428747327.655,461315582.106,19.0,1.35750956186e+14,4.7619047619e-08,0.1,28,0.0714285714286,0.0333333333333,0.000238095238095
203.0,-203.0,-360.0,-195.0,700.0,-203.0,-1e+200,442699578.586,9236735.73715,442498145.392,463089385.651,429672309.804,430105371.46,462451793.616,20.0,8.53172870779e+13,4.7619047619e-08,0.1,29,0.0714285714286,0.0333333333333,0.000238095238095
203.0,-203.0,-360.0,-195.0,800.0,-203.0,-1e+200,442896458.811,10409650.0868,444182056.693,468586689.414,422097398.007,424042668.373,453664220.58,19.0,1.0836081493e+14,4.7619047619e-08,0.1,30,0.0714285714286,0.0333333333333,0.000238095238095
203.0,-203.0,-360.0,-195.0,900.0,-203.0,-1e+200,444668213.351,12355358.1845,443472945.631,476874749.85,426301587.175,428972312.456,465324747.566,20.0,1.52654875866e+14,4.7619047619e-08,0.1,31,0.0714285714286,0.0333333333333,0.000238095238095
203.0,-203.0,-360.0,-195.0,1000.0,-203.0,-1e+200,445702782.128,13773609.5953,448844220.838,475217461.237,423263327.411,426036254.79,463506038.414,19.0,1.89712321283e+14,4.7619047619e-08,0.1,32,0.0714285714286,0.0333333333333,0.000238095238095
203.0,-203.0,-360.0,-195.0,1100.0,-203.0,-1e+200,449835316.388,13261866.8182,448642161.19,476148389.574,428316633.574,429502772.541,466428804.787,20.0,1.75877111504e+14,4.7619047619e-08,0.1,33,0.0714285714286,0.0333333333333,0.000238095238095
203.0,-203.0,-360.0,-195.0,1200.0,-203.0,-1e+200,442316700.841,12097704.6293,442326608.256,470342092.83,418900688.748,422578293.648,458638976.66,19.0,1.46354457297e+14,4.7619047619e-08,0.059,34,0.0714285714286,0.0333333333333,0.000140476190476
203.0,-203.0,-360.0,-195.0,1218.0,-203.0,-1e+200,447328736.466,13135437.422,448736026.898,471668498.954,416683763.37,418324352.607,461102854.49,18.0,1.72539716267e+14,4.7619047619e-08,0.05,35,0.0714285714286,0.0333333333333,0.000119047619048
203.0,-203.0,-360.0,-195.0,1300.0,-203.0,-1e+200,448499530.471,15342133.4186,449563735.383,477221728.388,418443174.645,423872684.873,474223357.099,20.0,2.35381057833e+14,4.7619047619e-08,0.041,36,0.0714285714286,0.0333333333333,9.7619047619e-05
203.0,-203.0,-340.0,-195.0,300.0,-203.0,-1e+200,417417271.673,11593322.661,420246185.053,437940579.01,396676016.316,399809309.219,433011313.282,16.0,1.34405130322e+14,4.7619047619e-08,0.05,37,0.0714285714286,0.0333333333333,0.000119047619048
203.0,-203.0,-340.0,-195.0,400.0,-203.0,-1e+200,425227221.754,10694920.0274,423349555.812,444044689.141,409702318.8,409884497.024,442912046.192,17.0,1.14381314393e+14,4.7619047619e-08,0.1,38,0.0714285714286,0.0333333333333,0.000238095238095
203.0,-203.0,-340.0,-195.0,500.0,-203.0,-1e+200,432676406.595,12742785.0354,432444688.271,460311243.397,413533995.104,416898990.48,452611482.72,19.0,1.62378570459e+14,4.7619047619e-08,0.1,39,0.0714285714286,0.0333333333333,0.000238095238095
203.0,-203.0,-340.0,-195.0,600.0,-203.0,-1e+200,422502573.291,9209945.88372,423345915.635,441528397.153,405858843.021,409937622.968,434318904.677,20.0,8.48231031811e+13,4.7619047619e-08,0.1,40,0.0714285714286,0.0333333333333,0.000238095238095
203.0,-203.0,-340.0,-195.0,700.0,-203.0,-1e+200,433657146.127,8684569.28998,432351208.948,448096824.042,419106436.615,419885574.422,447322146.443,19.0,7.54217437524e+13,4.7619047619e-08,0.1,41,0.0714285714286,0.0333333333333,0.000238095238095
203.0,-203.0,-340.0,-195.0,800.0,-203.0,-1e+200,435228085.286,12587391.598,433790562.951,455761732.288,416578399.177,417147801.055,452275481.203,19.0,1.5844242724e+14,4.7619047619e-08,0.1,42,0.0714285714286,0.0333333333333,0.000238095238095
203.0,-203.0,-340.0,-195.0,900.0,-203.0,-1e+200,432206512.826,15392381.6342,433529424.596,465645228.173,397395426.936,413521215.297,450727614.566,19.0,2.36925412374e+14,4.7619047619e-08,0.1,43,0.0714285714286,0.0333333333333,0.000238095238095
203.0,-203.0,-340.0,-195.0,1000.0,-203.0,-1e+200,431373181.859,16758181.0499,434724913.474,463209289.936,403229636.549,408248251.705,451601965.182,20.0,2.80836632102e+14,4.7619047619e-08,0.1,44,0.0714285714286,0.0333333333333,0.000238095238095
203.0,-203.0,-340.0,-195.0,1100.0,-203.0,-1e+200,433284185.668,10990111.728,431055114.18,460825923.497,418911542.168,419078779.054,451355336.02,19.0,1.20782555794e+14,4.7619047619e-08,0.1,45,0.0714285714286,0.0333333333333,0.000238095238095
203.0,-203.0,-340.0,-195.0,1200.0,-203.0,-1e+200,433063438.723,12943812.1779,435411488.147,452072092.45,409827089.903,412362440.152,451516176.739,20.0,1.67542273697e+14,4.7619047619e-08,0.059,46,0.0714285714286,0.0333333333333,0.000140476190476
203.0,-203.0,-340.0,-195.0,1218.0,-203.0,-1e+200,425428166.196,16546625.0424,427538802.504,455323753.717,400674703.577,401037723.848,448226055.021,19.0,2.73790800293e+14,4.7619047619e-08,0.05,47,0.0714285714286,0.0333333333333,0.000119047619048
203.0,-203.0,-340.0,-195.0,1300.0,-203.0,-1e+200,427870336.512,10746183.8188,427035038.726,444966939.719,409596173.585,415683320.936,444791334.534,19.0,1.15480466668e+14,4.7619047619e-08,0.041,48,0.0714285714286,0.0333333333333,9.7619047619e-05
203.0,-203.0,-320.0,-195.0,300.0,-203.0,-1e+200,406282159.669,16526669.7628,411279202.974,428484612.717,378475245.47,381179784.318,424584087.875,10.0,2.73130813447e+14,4.7619047619e-08,0.05,49,0.0714285714286,0.0333333333333,0.000119047619048
203.0,-203.0,-320.0,-195.0,400.0,-203.0,-1e+200,421138365.034,15767182.4609,421507051.93,439025307.003,402514049.274,404421862.103,437338706.311,4.0,2.48604042756e+14,4.7619047619e-08,0.1,50,0.0714285714286,0.0333333333333,0.000238095238095
203.0,-203.0,-320.0,-195.0,500.0,-203.0,-1e+200,417974480.257,11647444.2822,424539271.254,428861036.801,404656348.247,404931184.223,428245872.813,5.0,1.35662958306e+14,4.7619047619e-08,0.1,51,0.0714285714286,0.0333333333333,0.000238095238095
203.0,-203.0,-320.0,-195.0,800.0,-203.0,-1e+200,410687257.857,6923909.37761,411365298.866,420710804.915,400856630.45,402092046.48,419039908.555,6.0,4.79405210693e+13,4.7619047619e-08,0.1,54,0.0714285714286,0.0333333333333,0.000238095238095
203.0,-203.0,-320.0,-195.0,600.0,-203.0,-1e+200,416305985.619,12595199.8468,421843773.336,429693818.416,399546396.785,400595808.387,428705567.278,7.0,1.5863905918e+14,4.7619047619e-08,0.1,52,0.0714285714286,0.0333333333333,0.000238095238095
203.0,-203.0,-320.0,-195.0,900.0,-203.0,-1e+200,403194971.344,6058091.65889,405935964.566,407398135.259,396250814.206,397219329.242,407251918.189,3.0,3.67004745475e+13,4.7619047619e-08,0.1,55,0.0714285714286,0.0333333333333,0.000238095238095
203.0,-203.0,-320.0,-195.0,700.0,-203.0,-1e+200,420553200.982,13853101.5804,421111662.059,439142102.662,397315185.175,402098641.367,437264692.532,8.0,1.91908423397e+14,4.7619047619e-08,0.1,53,0.0714285714286,0.0333333333333,0.000238095238095
203.0,-203.0,-320.0,-195.0,1000.0,-203.0,-1e+200,421416518.574,14633991.1194,429438739.424,435905123.102,392234151.877,399132778.922,435474287.118,9.0,2.14153696083e+14,4.7619047619e-08,0.1,56,0.0714285714286,0.0333333333333,0.000238095238095
203.0,-203.0,-320.0,-195.0,1100.0,-203.0,-1e+200,429694144.175,12266655.3765,430110684.497,444070822.23,404650305.354,411989967.014,441990859.211,7.0,1.50470834125e+14,4.7619047619e-08,0.1,57,0.0714285714286,0.0333333333333,0.000238095238095
203.0,-203.0,-320.0,-195.0,1200.0,-203.0,-1e+200,413173744.023,16968535.5336,419153183.843,425337366.33,389051242.075,392728427.985,425247844.312,4.0,2.87931198156e+14,4.7619047619e-08,0.059,58,0.0714285714286,0.0333333333333,0.000140476190476
203.0,-203.0,-320.0,-195.0,1218.0,-203.0,-1e+200,426932777.983,16892746.1359,421699031.766,454896868.514,406522313.175,409044026.368,449693110.096,7.0,2.85364872012e+14,4.7619047619e-08,0.05,59,0.0714285714286,0.0333333333333,0.000119047619048
203.0,-203.0,-320.0,-195.0,1300.0,-203.0,-1e+200,422792285.963,7001974.61263,422770618.9,430609646.116,415018259.935,415645134.938,429969770.875,4.0,4.90276484759e+13,4.7619047619e-08,0.041,60,0.0714285714286,0.0333333333333,9.7619047619e-05
203.0,-203.0,-300.0,-195.0,300.0,-203.0,-1e+200,399301970.115,18002481.8527,397592542.882,426664041.002,373598815.244,374507550.38,426615382.751,14.0,3.24089352858e+14,4.7619047619e-08,0.05,61,0.0535714285714,0.0333333333333,8.92857142857e-05
203.0,-203.0,-300.0,-195.0,400.0,-203.0,-1e+200,405929115.766,11464827.4114,408915962.012,423713344.742,385472927.426,387422139.645,421549410.381,16.0,1.31442267574e+14,4.7619047619e-08,0.1,62,0.0535714285714,0.0333333333333,0.000178571428571
203.0,-203.0,-300.0,-195.0,500.0,-203.0,-1e+200,407177496.914,13352654.1415,405899610.749,431197651.605,379130473.96,388377169.649,428747117.787,16.0,1.78293372622e+14,4.7619047619e-08,0.1,63,0.0535714285714,0.0333333333333,0.000178571428571
203.0,-203.0,-300.0,-195.0,600.0,-203.0,-1e+200,398055776.428,13404954.8789,398666266.164,417911228.922,374376743.446,378348026.89,416267881.136,14.0,1.79692815306e+14,4.7619047619e-08,0.1,64,0.0535714285714,0.0333333333333,0.000178571428571
203.0,-203.0,-300.0,-195.0,700.0,-203.0,-1e+200,408306457.114,12541300.2001,406096769.257,433308667.132,385614053.609,386488199.645,427518435.226,19.0,1.57284210709e+14,4.7619047619e-08,0.1,65,0.0535714285714,0.0333333333333,0.000178571428571
203.0,-203.0,-300.0,-195.0,800.0,-203.0,-1e+200,408037680.457,16633776.8746,410374376.35,437883421.229,369062374.003,383434471.87,430655008.836,20.0,2.76682533113e+14,4.7619047619e-08,0.1,66,0.0535714285714,0.0333333333333,0.000178571428571
203.0,-203.0,-300.0,-195.0,900.0,-203.0,-1e+200,412392838.658,14498811.0713,415954301.944,431608821.747,385498422.177,385859690.331,429443406.913,19.0,2.10215522482e+14,4.7619047619e-08,0.1,67,0.0535714285714,0.0333333333333,0.000178571428571
203.0,-203.0,-300.0,-195.0,1000.0,-203.0,-1e+200,401470845.731,14845401.6811,403040569.397,426960659.497,375841624.686,381762144.396,425768347.259,16.0,2.20385951073e+14,4.7619047619e-08,0.1,68,0.0535714285714,0.0333333333333,0.000178571428571
203.0,-203.0,-300.0,-195.0,1100.0,-203.0,-1e+200,405154450.112,14584602.8801,407845337.86,423864853.344,379100760.962,379601627.128,423674703.43,19.0,2.1271064117e+14,4.7619047619e-08,0.1,69,0.0535714285714,0.0333333333333,0.000178571428571
203.0,-203.0,-300.0,-195.0,1200.0,-203.0,-1e+200,404578526.965,10636063.4175,403244811.471,424697818.976,384713810.827,389088600.97,423486602.208,19.0,1.13125845021e+14,4.7619047619e-08,0.059,70,0.0535714285714,0.0333333333333,0.000105357142857
203.0,-203.0,-300.0,-195.0,1218.0,-203.0,-1e+200,404858485.21,13653187.3678,403662063.297,429719152.461,380279679.759,383538098.619,425672665.126,20.0,1.864095253e+14,4.7619047619e-08,0.05,71,0.0535714285714,0.0333333333333,8.92857142857e-05
203.0,-203.0,-300.0,-195.0,1300.0,-203.0,-1e+200,407513329.404,14376429.052,403174823.222,434962189.479,384748940.65,391592109.251,434452582.455,19.0,2.06681712288e+14,4.7619047619e-08,0.041,72,0.0535714285714,0.0333333333333,7.32142857143e-05
203.0,-203.0,-290.0,-195.0,300.0,-203.0,-1e+200,396214310.878,13006643.9795,397975976.614,417594226.082,378203552.489,378595878.725,413790397.744,12.0,1.69172787608e+14,4.7619047619e-08,0.05,73,0.0357142857143,0.0333333333333,5.95238095238e-05
203.0,-203.0,-290.0,-195.0,400.0,-203.0,-1e+200,404171017.73,10888683.6095,404949661.49,421017648.262,384470464.77,387418234.696,417822200.427,16.0,1.18563430749e+14,4.7619047619e-08,0.1,74,0.0357142857143,0.0333333333333,0.000119047619048
203.0,-203.0,-290.0,-195.0,500.0,-203.0,-1e+200,397397804.562,11479566.7199,399193532.846,411217575.831,373273429.969,381650256.55,410399551.549,15.0,1.31780452076e+14,4.7619047619e-08,0.1,75,0.0357142857143,0.0333333333333,0.000119047619048
203.0,-203.0,-290.0,-195.0,600.0,-203.0,-1e+200,406318123.597,12394536.8466,405809202.297,435807227.883,386514833.681,389879932.987,426064890.833,20.0,1.53624543643e+14,4.7619047619e-08,0.1,76,0.0357142857143,0.0333333333333,0.000119047619048
203.0,-203.0,-290.0,-195.0,700.0,-203.0,-1e+200,404311931.931,12279432.5327,402969505.635,427943643.715,381764087.303,384910689.6,422443616.838,16.0,1.50784463324e+14,4.7619047619e-08,0.1,77,0.0357142857143,0.0333333333333,0.000119047619048
203.0,-203.0,-290.0,-195.0,800.0,-203.0,-1e+200,400171699.829,14317663.9411,397641794.942,425267413.728,381059107.171,382152386.992,424653710.098,20.0,2.04995500731e+14,4.7619047619e-08,0.1,78,0.0357142857143,0.0333333333333,0.000119047619048
203.0,-203.0,-290.0,-195.0,900.0,-203.0,-1e+200,399807063.458,19057204.992,396570755.23,447127285.552,373907569.551,375321647.737,425909009.241,18.0,3.63177062107e+14,4.7619047619e-08,0.1,79,0.0357142857143,0.0333333333333,0.000119047619048
203.0,-203.0,-290.0,-195.0,1000.0,-203.0,-1e+200,405851694.914,13682564.5016,405215744.654,442727929.268,387374230.297,388247519.689,423168353.167,15.0,1.87212571339e+14,4.7619047619e-08,0.1,80,0.0357142857143,0.0333333333333,0.000119047619048
203.0,-203.0,-290.0,-195.0,1100.0,-203.0,-1e+200,400363786.207,12499212.4289,399945113.447,418353503.058,376407793.433,379956128.452,417941863.394,16.0,1.56230311344e+14,4.7619047619e-08,0.1,81,0.0357142857143,0.0333333333333,0.000119047619048
203.0,-203.0,-290.0,-195.0,1200.0,-203.0,-1e+200,394667407.166,12295285.463,396791283.014,416478608.974,367221728.965,371870139.697,410923545.976,17.0,1.51174044617e+14,4.7619047619e-08,0.059,82,0.0357142857143,0.0333333333333,7.02380952381e-05
203.0,-203.0,-290.0,-195.0,1218.0,-203.0,-1e+200,397588762.135,13528881.6637,400127560.685,421686224.633,365095383.665,376368058.383,416613349.943,17.0,1.8303063907e+14,4.7619047619e-08,0.05,83,0.0357142857143,0.0333333333333,5.95238095238e-05
203.0,-203.0,-290.0,-195.0,1300.0,-203.0,-1e+200,392712216.485,13087973.1441,395618379.698,408808507.392,356455420.103,375681513.94,407570817.973,18.0,1.71295041021e+14,4.7619047619e-08,0.041,84,0.0357142857143,0.0333333333333,4.88095238095e-05
203.0,-203.0,-280.0,-195.0,300.0,-203.0,-1e+200,387667823.505,12703666.3269,381771079.09,412956524.506,374433796.318,375487339.07,407865481.325,10.0,1.61383138146e+14,4.7619047619e-08,0.05,85,0.0357142857143,0.0333333333333,5.95238095238e-05
203.0,-203.0,-280.0,-195.0,400.0,-203.0,-1e+200,400909705.989,9658355.14129,401468230.816,413898989.769,384393549.794,386037813.677,411769707.2,10.0,9.32838240353e+13,4.7619047619e-08,0.1,86,0.0357142857143,0.0333333333333,0.000119047619048
203.0,-203.0,-280.0,-195.0,500.0,-203.0,-1e+200,392471508.504,14216156.7643,392952121.653,419984070.571,359996039.169,374387090.241,414691574.756,17.0,2.02099113146e+14,4.7619047619e-08,0.1,87,0.0357142857143,0.0333333333333,0.000119047619048
203.0,-203.0,-280.0,-195.0,600.0,-203.0,-1e+200,398364399.959,13799844.7216,396826525.374,428995664.427,382316535.984,382990658.687,421611781.689,18.0,1.90435714339e+14,4.7619047619e-08,0.1,88,0.0357142857143,0.0333333333333,0.000119047619048
203.0,-203.0,-280.0,-195.0,700.0,-203.0,-1e+200,396220885.562,16539319.3981,397313364.226,425428379.576,369859650.46,373170961.239,418080186.343,16.0,2.73549086153e+14,4.7619047619e-08,0.1,89,0.0357142857143,0.0333333333333,0.000119047619048
203.0,-203.0,-280.0,-195.0,800.0,-203.0,-1e+200,393327063.734,13778354.8406,394094135.793,416105767.178,363314957.039,373841816.659,414861757.804,19.0,1.89843062115e+14,4.7619047619e-08,0.1,90,0.0357142857143,0.0333333333333,0.000119047619048
203.0,-203.0,-280.0,-195.0,900.0,-203.0,-1e+200,395848173.402,11208833.7213,395576298.656,417814378.877,376691197.491,380877289.091,413352715.061,16.0,1.25637953392e+14,4.7619047619e-08,0.1,91,0.0357142857143,0.0333333333333,0.000119047619048
203.0,-203.0,-280.0,-195.0,1000.0,-203.0,-1e+200,393561008.661,14436399.6954,394254227.206,417766143.448,374013363.449,375954417.411,417115743.076,15.0,2.08409636165e+14,4.7619047619e-08,0.1,92,0.0357142857143,0.0333333333333,0.000119047619048
203.0,-203.0,-280.0,-195.0,1100.0,-203.0,-1e+200,390398381.353,14628245.8982,391285341.377,423014755.144,354790934.051,371522305.57,411819701.414,18.0,2.13985578058e+14,4.7619047619e-08,0.1,93,0.0357142857143,0.0333333333333,0.000119047619048
203.0,-203.0,-280.0,-195.0,1200.0,-203.0,-1e+200,395254567.238,15489545.2131,395953325.624,420134076.453,361645354.425,367840361.378,416769191.626,18.0,2.39926010907e+14,4.7619047619e-08,0.059,94,0.0357142857143,0.0333333333333,7.02380952381e-05
203.0,-203.0,-280.0,-195.0,1218.0,-203.0,-1e+200,385538973.731,15014550.9081,385366235.668,418006812.593,361882986.967,364372439.303,407106695.917,16.0,2.25436738973e+14,4.7619047619e-08,0.05,95,0.0357142857143,0.0333333333333,5.95238095238e-05
203.0,-203.0,-270.0,-195.0,300.0,-203.0,-1e+200,385715723.384,13527348.5158,387786163.483,405677945.998,355899404.744,361892159.969,402808049.764,16.0,1.82989157868e+14,4.7619047619e-08,0.05,97,0.0357142857143,0.0333333333333,5.95238095238e-05
203.0,-203.0,-270.0,-195.0,400.0,-203.0,-1e+200,384869466.373,14201675.3995,384685374.71,411939967.932,357266566.123,359473334.572,404769765.865,16.0,2.01687584154e+14,4.7619047619e-08,0.1,98,0.0357142857143,0.0333333333333,0.000119047619048
203.0,-203.0,-280.0,-195.0,1300.0,-203.0,-1e+200,382409666.203,15325334.9268,380504210.532,406309188.163,353848680.875,361381208.155,404729782.237,20.0,2.34865890618e+14,4.7619047619e-08,0.041,96,0.0357142857143,0.0333333333333,4.88095238095e-05
203.0,-203.0,-270.0,-195.0,500.0,-203.0,-1e+200,387427200.181,10498805.182,385515576.733,408829440.759,374935057.112,375335557.406,405115326.859,14.0,1.1022491025e+14,4.7619047619e-08,0.1,99,0.0357142857143,0.0333333333333,0.000119047619048
203.0,-203.0,-270.0,-195.0,600.0,-203.0,-1e+200,383498276.23,14066404.8868,383213468.201,410312739.064,358223745.682,362154825.864,407649293.986,16.0,1.97863746438e+14,4.7619047619e-08,0.1,100,0.0357142857143,0.0333333333333,0.000119047619048
203.0,-203.0,-270.0,-195.0,700.0,-203.0,-1e+200,386580183.671,13233743.008,387405307.527,407685744.376,359869216.535,367396669.236,404025874.15,16.0,1.75131954001e+14,4.7619047619e-08,0.1,101,0.0357142857143,0.0333333333333,0.000119047619048
203.0,-203.0,-270.0,-195.0,800.0,-203.0,-1e+200,386748648.345,10543113.475,385496908.953,405768827.345,369900797.287,373416177.464,404414977.172,19.0,1.11157241746e+14,4.7619047619e-08,0.1,102,0.0357142857143,0.0333333333333,0.000119047619048
203.0,-203.0,-270.0,-195.0,900.0,-203.0,-1e+200,392776516.601,14256873.9466,394341022.566,415688477.267,356869286.056,369763630.561,411948623.698,18.0,2.03258454729e+14,4.7619047619e-08,0.1,103,0.0357142857143,0.0333333333333,0.000119047619048
