SteamGen_capacity,Converter1_capacity,NewBOP_capacity,Charger_capacity,TES_capacity,Convert2_capacity,Grid_capacity,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-Charger_capacity,prefix,ProbabilityWeight-NewBOP_capacity,ProbabilityWeight-TES_capacity,ProbabilityWeight
203.0,-203.0,-380.0,-200.0,800.0,-203.0,-1e+200,455535546.667,12627081.8973,456779785.069,481494946.345,433303824.01,435695184.822,477265076.287,19.0,1.59443197241e+14,6.74217907228e-06,0.5,51,0.25,0.161812297735,0.0202265372168
203.0,-203.0,-380.0,-200.0,900.0,-203.0,-1e+200,452151078.708,13594188.1784,450734419.81,470876202.438,429519243.168,431025891.12,470255436.365,20.0,1.84801952229e+14,6.74217907228e-06,0.5,52,0.25,0.161812297735,0.0202265372168
203.0,-203.0,-380.0,-200.0,1000.0,-203.0,-1e+200,457858679.974,14971034.0774,458574665.198,478961392.84,432380455.467,437064457.467,476471623.918,20.0,2.24131861348e+14,6.74217907228e-06,0.5,53,0.25,0.161812297735,0.0202265372168
203.0,-203.0,-380.0,-200.0,1100.0,-203.0,-1e+200,458373557.851,15259145.4555,457199837.968,497852718.968,440839950.658,442204605.781,481619780.496,20.0,2.32841520033e+14,6.74217907228e-06,0.5,54,0.25,0.161812297735,0.0202265372168
203.0,-203.0,-380.0,-200.0,1200.0,-203.0,-1e+200,456739602.449,15931487.9851,454159163.008,480471185.047,430234060.151,432208811.807,479767749.259,20.0,2.53812309419e+14,6.74217907228e-06,0.5,55,0.25,0.0954692556634,0.0119336569579
203.0,-203.0,-380.0,-200.0,1218.0,-203.0,-1e+200,456942616.045,13712195.6501,456374384.51,480581942.753,430377407.342,437146119.732,474771146.538,19.0,1.88024309548e+14,6.74217907228e-06,0.5,56,0.25,0.0145631067961,0.00182038834951
203.0,-203.0,-360.0,-200.0,600.0,-203.0,-1e+200,440537227.088,13055478.8333,443628948.886,464478471.169,411715362.175,417507438.389,458407475.391,19.0,1.70445527566e+14,6.74217907228e-06,0.5,57,0.25,0.0809061488673,0.0101132686084
203.0,-203.0,-360.0,-200.0,700.0,-203.0,-1e+200,441092331.76,13113586.3163,439862201.924,461469383.319,416486634.709,421033968.407,460290948.574,20.0,1.71966146075e+14,6.74217907228e-06,0.5,58,0.25,0.161812297735,0.0202265372168
203.0,-203.0,-360.0,-200.0,800.0,-203.0,-1e+200,446941144.027,10920503.1823,449240214.853,466575291.82,424775838.972,429090458.603,461651602.13,19.0,1.19257389755e+14,6.74217907228e-06,0.5,59,0.25,0.161812297735,0.0202265372168
203.0,-203.0,-360.0,-200.0,900.0,-203.0,-1e+200,447266373.762,14824016.3279,445333872.768,474298273.21,422533107.83,425767910.354,472317518.015,20.0,2.19751460089e+14,6.74217907228e-06,0.5,60,0.25,0.161812297735,0.0202265372168
203.0,-203.0,-360.0,-200.0,1000.0,-203.0,-1e+200,444085297.555,17373373.6026,440287154.749,477821436.296,412509216.327,418129714.899,475278732.96,20.0,3.01834110335e+14,6.74217907228e-06,0.5,61,0.25,0.161812297735,0.0202265372168
203.0,-203.0,-360.0,-200.0,1100.0,-203.0,-1e+200,452514329.262,14199219.5398,453976269.933,472183359.428,419101634.045,433999333.181,472036515.026,20.0,2.01617835539e+14,6.74217907228e-06,0.5,62,0.25,0.161812297735,0.0202265372168
203.0,-203.0,-360.0,-200.0,1200.0,-203.0,-1e+200,445983389.259,12538113.1782,445706899.973,463871144.63,413669767.577,424269734.314,461251201.012,19.0,1.5720428207e+14,6.74217907228e-06,0.5,63,0.25,0.0954692556634,0.0119336569579
203.0,-203.0,-360.0,-200.0,1218.0,-203.0,-1e+200,444870569.545,12391484.765,443090978.63,463973138.638,428679414.615,429341645.629,463649547.991,20.0,1.5354889468e+14,6.74217907228e-06,0.5,64,0.25,0.0145631067961,0.00182038834951
203.0,-203.0,-340.0,-200.0,600.0,-203.0,-1e+200,434329522.731,16424077.6697,440528959.612,460742362.046,406407771.199,410155709.454,458145436.291,17.0,2.69750327302e+14,6.74217907228e-06,0.5,65,0.25,0.0809061488673,0.0101132686084
203.0,-203.0,-340.0,-200.0,700.0,-203.0,-1e+200,436658718.435,13338290.3392,438522523.261,455246453.668,412247560.063,413087250.883,450617262.478,19.0,1.77909989172e+14,6.74217907228e-06,0.5,66,0.25,0.161812297735,0.0202265372168
203.0,-203.0,-340.0,-200.0,800.0,-203.0,-1e+200,434617261.246,13695956.7118,435343375.309,453563544.289,408276289.742,410957957.68,451701676.647,18.0,1.87579230251e+14,6.74217907228e-06,0.5,67,0.25,0.161812297735,0.0202265372168
203.0,-203.0,-340.0,-200.0,900.0,-203.0,-1e+200,435724296.941,12261730.0818,434647043.038,463415094.045,412365945.514,419307861.635,450883772.497,20.0,1.503500246e+14,6.74217907228e-06,0.5,68,0.25,0.161812297735,0.0202265372168
203.0,-203.0,-340.0,-200.0,1000.0,-203.0,-1e+200,434304050.94,17468735.5177,433803782.872,469736358.547,405806081.07,410014666.479,460314045.782,18.0,3.05156720587e+14,6.74217907228e-06,0.5,69,0.25,0.161812297735,0.0202265372168
203.0,-203.0,-340.0,-200.0,1100.0,-203.0,-1e+200,427915716.644,12853913.9425,427702980.263,458861443.862,406781546.341,408576748.334,450134885.513,20.0,1.65223103641e+14,6.74217907228e-06,0.5,70,0.25,0.161812297735,0.0202265372168
203.0,-203.0,-340.0,-200.0,1200.0,-203.0,-1e+200,431168849.788,15889535.4103,436519257.996,450824696.012,391309359.823,393139940.118,445062684.659,20.0,2.52477335554e+14,6.74217907228e-06,0.5,71,0.25,0.0954692556634,0.0119336569579
203.0,-203.0,-320.0,-200.0,600.0,-203.0,-1e+200,420409256.523,13716614.353,419592248.866,449436285.483,395302799.609,402263200.681,439195083.08,20.0,1.88145509309e+14,6.74217907228e-06,0.5,73,0.125,0.0809061488673,0.00505663430421
203.0,-203.0,-340.0,-200.0,1218.0,-203.0,-1e+200,435934434.961,15391476.6596,437727669.117,461315070.439,407852715.467,412286264.798,461170738.072,20.0,2.36897553762e+14,6.74217907228e-06,0.5,72,0.25,0.0145631067961,0.00182038834951
203.0,-203.0,-320.0,-200.0,700.0,-203.0,-1e+200,418278136.133,8524300.28412,418716414.538,439147442.573,403306071.52,405319838.863,429632746.789,20.0,7.26636953338e+13,6.74217907228e-06,0.5,74,0.125,0.161812297735,0.0101132686084
203.0,-203.0,-320.0,-200.0,800.0,-203.0,-1e+200,421608023.97,11026028.4063,422563977.877,443166442.702,400846120.606,407750372.583,441886855.874,19.0,1.21573302415e+14,6.74217907228e-06,0.5,75,0.125,0.161812297735,0.0101132686084
203.0,-203.0,-320.0,-200.0,900.0,-203.0,-1e+200,427629419.375,14237392.1748,428520459.473,448983946.068,396860026.925,405803853.402,448919310.181,20.0,2.02703335939e+14,6.74217907228e-06,0.5,76,0.125,0.161812297735,0.0101132686084
203.0,-203.0,-320.0,-200.0,1000.0,-203.0,-1e+200,421883672.217,15143777.11,425956201.48,440594810.575,382693206.38,395795840.718,439845983.143,20.0,2.29333985159e+14,6.74217907228e-06,0.5,77,0.125,0.161812297735,0.0101132686084
203.0,-203.0,-320.0,-200.0,1100.0,-203.0,-1e+200,422175619.419,13867847.2549,424521842.382,446035317.651,388543153.195,403158581.523,442298147.82,18.0,1.92317187487e+14,6.74217907228e-06,0.5,78,0.125,0.161812297735,0.0101132686084
203.0,-203.0,-320.0,-200.0,1200.0,-203.0,-1e+200,423055760.776,16173350.7254,424927001.663,452714082.89,383008126.251,397901094.386,452456365.731,20.0,2.61577273688e+14,6.74217907228e-06,0.5,79,0.125,0.0954692556634,0.00596682847896
203.0,-203.0,-320.0,-200.0,1218.0,-203.0,-1e+200,417900432.557,10323792.5911,414490089.061,441886237.85,403719001.25,404477714.587,431825485.588,20.0,1.06580693464e+14,6.74217907228e-06,0.5,80,0.125,0.0145631067961,0.000910194174757
