SteamGen_capacity,Converter1_capacity,NewBOP_capacity,Charger_capacity,TES_capacity,Convert2_capacity,Grid_capacity,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-TES_capacity,ProbabilityWeight-NewBOP_capacity,PointProbability,ProbabilityWeight,ProbabilityWeight-Charger_capacity,prefix
203.0,-203.0,-380.0,-203.0,900.0,-203.0,-1e+200,301736146.503,442180.431608,301733282.954,302543155.381,301139188.588,301193838.592,302368383.488,8.0,195523534097.0,0.161812297735,0.333333333333,8.98957209637e-06,0.0269687162891,0.5,12
203.0,-203.0,-380.0,-203.0,800.0,-203.0,-1e+200,301700092.204,473614.329617,301670290.223,302569209.33,301001558.257,301063667.397,302457614.041,16.0,224310533219.0,0.161812297735,0.333333333333,8.98957209637e-06,0.0269687162891,0.5,11
203.0,-203.0,-380.0,-203.0,1000.0,-203.0,-1e+200,301507632.267,380623.459892,301502120.687,301990952.442,300838308.416,300951550.817,301955883.462,9.0,144874218220.0,0.161812297735,0.333333333333,8.98957209637e-06,0.0269687162891,0.5,13
203.0,-203.0,-380.0,-203.0,1100.0,-203.0,-1e+200,301079601.624,396949.357511,301162550.212,301705033.685,300272980.225,300483693.475,301636291.492,16.0,157568792429.0,0.161812297735,0.333333333333,8.98957209637e-06,0.0269687162891,0.5,14
203.0,-203.0,-380.0,-203.0,1200.0,-203.0,-1e+200,300605491.092,389857.356149,300454471.702,301264994.82,300053072.513,300174487.536,301140082.882,13.0,151988758144.0,0.0954692556634,0.333333333333,8.98957209637e-06,0.0159115426106,0.5,15
203.0,-203.0,-360.0,-203.0,700.0,-203.0,-1e+200,297756708.737,313360.937183,297666471.94,298161575.053,297406921.414,297439120.527,298146954.841,6.0,98195076952.3,0.161812297735,0.333333333333,8.98957209637e-06,0.0269687162891,0.5,18
203.0,-203.0,-380.0,-203.0,1218.0,-203.0,-1e+200,300432425.442,381319.54669,300502476.823,301018711.546,299880344.247,299944828.146,300969438.278,12.0,145404596688.0,0.0145631067961,0.333333333333,8.98957209637e-06,0.00242718446602,0.5,16
203.0,-203.0,-360.0,-203.0,600.0,-203.0,-1e+200,297324847.022,362622.191157,297340820.128,297841267.67,296715082.876,296854237.849,297740797.892,6.0,131494853520.0,0.0809061488673,0.333333333333,8.98957209637e-06,0.0134843581446,0.5,17
203.0,-203.0,-360.0,-203.0,800.0,-203.0,-1e+200,297691472.453,354642.273514,297768503.077,298125517.014,297080137.277,297116301.839,298090282.567,10.0,125771142163.0,0.161812297735,0.333333333333,8.98957209637e-06,0.0269687162891,0.5,19
203.0,-203.0,-360.0,-203.0,1000.0,-203.0,-1e+200,297517354.318,606561.360719,297707246.428,298195624.183,296507897.934,296664854.915,298109314.406,6.0,367916684317.0,0.161812297735,0.333333333333,8.98957209637e-06,0.0269687162891,0.5,21
203.0,-203.0,-360.0,-203.0,900.0,-203.0,-1e+200,297663277.033,483622.254942,297773931.85,298205199.922,297080741.105,297087749.481,298163170.657,6.0,233890485475.0,0.161812297735,0.333333333333,8.98957209637e-06,0.0269687162891,0.5,20
203.0,-203.0,-360.0,-203.0,1100.0,-203.0,-1e+200,296632831.608,357266.040027,296681398.823,297210248.987,295834213.893,296051554.813,297035519.629,15.0,127639023357.0,0.161812297735,0.333333333333,8.98957209637e-06,0.0269687162891,0.5,22
203.0,-203.0,-340.0,-203.0,600.0,-203.0,-1e+200,293881338.73,341481.863158,293823449.668,294354297.553,293422862.75,293495126.321,294287818.657,5.0,116609862866.0,0.0809061488673,0.166666666667,8.98957209637e-06,0.00674217907228,0.5,25
203.0,-203.0,-360.0,-203.0,1200.0,-203.0,-1e+200,296087042.781,302080.072387,296185906.06,296403084.924,295367477.689,295605154.412,296372255.367,10.0,91252370133.5,0.0954692556634,0.333333333333,8.98957209637e-06,0.0159115426106,0.5,23
203.0,-203.0,-360.0,-203.0,1218.0,-203.0,-1e+200,296120038.304,341778.084838,296062735.927,296785019.812,295787947.918,295794470.67,296642580.315,10.0,116812259276.0,0.0145631067961,0.333333333333,8.98957209637e-06,0.00242718446602,0.5,24
203.0,-203.0,-340.0,-203.0,700.0,-203.0,-1e+200,293690311.257,384485.023204,293620840.08,294230786.629,293170182.92,293172712.669,294204436.924,10.0,147828733068.0,0.161812297735,0.166666666667,8.98957209637e-06,0.0134843581446,0.5,26
203.0,-203.0,-340.0,-203.0,800.0,-203.0,-1e+200,293562451.973,292036.535313,293494868.467,294181946.576,293229235.17,293253045.047,294038033.3,10.0,85285337957.8,0.161812297735,0.166666666667,8.98957209637e-06,0.0134843581446,0.5,27
203.0,-203.0,-340.0,-203.0,900.0,-203.0,-1e+200,293284850.439,552941.712937,293168270.307,294051096.25,292555430.574,292597792.159,294037527.221,9.0,305744537906.0,0.161812297735,0.166666666667,8.98957209637e-06,0.0134843581446,0.5,28
203.0,-203.0,-340.0,-203.0,1000.0,-203.0,-1e+200,292670009.704,493450.183346,292638991.453,293412726.547,292019823.767,292052398.619,293389010.098,10.0,243493083445.0,0.161812297735,0.166666666667,8.98957209637e-06,0.0134843581446,0.5,29
203.0,-203.0,-340.0,-203.0,1100.0,-203.0,-1e+200,292111983.226,322540.976917,292140802.914,292504177.818,291477612.591,291638068.062,292483446.672,12.0,104032681791.0,0.161812297735,0.166666666667,8.98957209637e-06,0.0134843581446,0.5,30
203.0,-203.0,-340.0,-203.0,1200.0,-203.0,-1e+200,291711436.234,460004.5267,291585638.687,292514339.254,291176014.704,291223215.183,292390518.063,11.0,211604164585.0,0.0954692556634,0.166666666667,8.98957209637e-06,0.00795577130529,0.5,31
203.0,-203.0,-340.0,-203.0,1218.0,-203.0,-1e+200,291334484.782,412437.986374,291274288.596,292108008.593,290633232.815,290760500.136,291886204.689,15.0,170105092604.0,0.0145631067961,0.166666666667,8.98957209637e-06,0.00121359223301,0.5,32
203.0,-203.0,-400.0,-200.0,600.0,-203.0,-1e+200,303856739.64,474702.919869,303906268.67,304925718.554,302914414.073,303049051.45,304522521.118,17.0,225342862132.0,0.0809061488673,0.166666666667,8.98957209637e-06,0.00674217907228,0.5,33
203.0,-203.0,-400.0,-200.0,700.0,-203.0,-1e+200,304716337.943,360190.012873,304706189.552,305437941.617,304130290.583,304150562.823,305170617.919,17.0,129736845373.0,0.161812297735,0.166666666667,8.98957209637e-06,0.0134843581446,0.5,34
203.0,-203.0,-400.0,-200.0,800.0,-203.0,-1e+200,305150586.235,390621.393623,305215817.391,305865813.739,304470673.838,304586472.213,305708466.941,17.0,152585073156.0,0.161812297735,0.166666666667,8.98957209637e-06,0.0134843581446,0.5,35
203.0,-203.0,-400.0,-200.0,900.0,-203.0,-1e+200,304829479.931,509121.778837,304743553.879,306120778.087,304122643.12,304289950.909,305750462.942,17.0,259204985686.0,0.161812297735,0.166666666667,8.98957209637e-06,0.0134843581446,0.5,36
203.0,-203.0,-400.0,-200.0,1000.0,-203.0,-1e+200,305113752.016,452521.230105,305129233.994,305832080.436,304281169.549,304375544.44,305818977.514,16.0,204775463696.0,0.161812297735,0.166666666667,8.98957209637e-06,0.0134843581446,0.5,37
203.0,-203.0,-400.0,-200.0,1100.0,-203.0,-1e+200,304582439.978,338514.302978,304523780.782,305295194.387,304053867.334,304163400.178,305119285.903,20.0,114591933320.0,0.161812297735,0.166666666667,8.98957209637e-06,0.0134843581446,0.5,38
203.0,-203.0,-380.0,-200.0,600.0,-203.0,-1e+200,300758629.758,477856.769371,300761028.826,301952845.023,300096076.916,300225729.931,301405413.028,19.0,228347092033.0,0.0809061488673,0.333333333333,8.98957209637e-06,0.0134843581446,0.5,41
203.0,-203.0,-400.0,-200.0,1200.0,-203.0,-1e+200,304347940.573,454733.219354,304384031.56,305278765.675,303672820.076,303674236.844,304934196.413,20.0,206782300784.0,0.0954692556634,0.166666666667,8.98957209637e-06,0.00795577130529,0.5,39
203.0,-203.0,-400.0,-200.0,1218.0,-203.0,-1e+200,304270601.201,390955.731022,304181246.484,305357757.385,303752535.086,303800597.527,304882760.244,19.0,152846383619.0,0.0145631067961,0.166666666667,8.98957209637e-06,0.00121359223301,0.5,40
203.0,-203.0,-380.0,-200.0,700.0,-203.0,-1e+200,301141302.137,431741.179165,301203104.633,301915700.883,300447418.016,300582805.537,301663086.372,18.0,186400445786.0,0.161812297735,0.333333333333,8.98957209637e-06,0.0269687162891,0.5,42
203.0,-203.0,-380.0,-200.0,800.0,-203.0,-1e+200,301630220.703,380487.434396,301661100.76,302473197.372,301108483.952,301113187.308,302368876.832,19.0,144770687733.0,0.161812297735,0.333333333333,8.98957209637e-06,0.0269687162891,0.5,43
203.0,-203.0,-380.0,-200.0,900.0,-203.0,-1e+200,301521081.574,432612.277063,301566901.645,302564959.454,300833856.532,300852007.556,302002256.701,19.0,187153382265.0,0.161812297735,0.333333333333,8.98957209637e-06,0.0269687162891,0.5,44
203.0,-203.0,-380.0,-200.0,1000.0,-203.0,-1e+200,301317472.555,310540.309319,301286763.744,301955629.056,300746747.578,300902066.237,301824408.319,19.0,96435283711.7,0.161812297735,0.333333333333,8.98957209637e-06,0.0269687162891,0.5,45
203.0,-203.0,-380.0,-200.0,1100.0,-203.0,-1e+200,300913320.91,398040.160809,300899436.447,301906575.289,300347337.307,300384490.026,301619041.99,20.0,158435969617.0,0.161812297735,0.333333333333,8.98957209637e-06,0.0269687162891,0.5,46
203.0,-203.0,-380.0,-200.0,1200.0,-203.0,-1e+200,300504568.466,575065.599448,300445553.635,301614408.287,299613176.677,299635491.169,301601307.629,20.0,330700443668.0,0.0954692556634,0.333333333333,8.98957209637e-06,0.0159115426106,0.5,47
203.0,-203.0,-360.0,-200.0,600.0,-203.0,-1e+200,297046128.188,352184.220724,297110269.303,297641413.963,296290268.75,296590451.829,297613262.826,18.0,124033725327.0,0.0809061488673,0.333333333333,8.98957209637e-06,0.0134843581446,0.5,49
203.0,-203.0,-380.0,-200.0,1218.0,-203.0,-1e+200,300320404.812,443989.795014,300290309.232,301050343.839,299511551.92,299659636.756,301012340.258,19.0,197126938077.0,0.0145631067961,0.333333333333,8.98957209637e-06,0.00242718446602,0.5,48
203.0,-203.0,-360.0,-200.0,700.0,-203.0,-1e+200,297478693.756,483418.091752,297442355.914,298164394.228,296537734.394,296618864.697,298044548.102,16.0,233693051433.0,0.161812297735,0.333333333333,8.98957209637e-06,0.0269687162891,0.5,50
203.0,-203.0,-360.0,-200.0,800.0,-203.0,-1e+200,297383183.374,298474.860487,297397135.777,297875703.559,296691794.772,296914859.13,297802736.247,18.0,89087242342.9,0.161812297735,0.333333333333,8.98957209637e-06,0.0269687162891,0.5,51
203.0,-203.0,-360.0,-200.0,900.0,-203.0,-1e+200,297386834.045,309104.364866,297386731.735,298073730.939,296829010.942,296938327.666,297749475.925,17.0,95545508378.9,0.161812297735,0.333333333333,8.98957209637e-06,0.0269687162891,0.5,52
203.0,-203.0,-360.0,-200.0,1000.0,-203.0,-1e+200,297051985.186,371651.176509,297067760.881,297684875.784,296289296.322,296506469.516,297659200.983,19.0,138124597000.0,0.161812297735,0.333333333333,8.98957209637e-06,0.0269687162891,0.5,53
203.0,-203.0,-360.0,-200.0,1100.0,-203.0,-1e+200,296437198.683,260047.432466,296520188.122,296827410.383,295851062.524,296040491.957,296746047.546,20.0,67624667132.2,0.161812297735,0.333333333333,8.98957209637e-06,0.0269687162891,0.5,54
203.0,-203.0,-340.0,-200.0,600.0,-203.0,-1e+200,293545427.517,373806.353918,293511015.522,294444113.075,292985083.994,293052142.36,294267341.204,18.0,139731190229.0,0.0809061488673,0.166666666667,8.98957209637e-06,0.00674217907228,0.5,57
203.0,-203.0,-360.0,-200.0,1200.0,-203.0,-1e+200,295965646.36,388345.218764,296062693.164,296531625.653,295420252.435,295449265.223,296508425.213,19.0,150812008937.0,0.0954692556634,0.333333333333,8.98957209637e-06,0.0159115426106,0.5,55
203.0,-203.0,-360.0,-200.0,1218.0,-203.0,-1e+200,295981196.726,389852.518157,295935933.884,296591221.558,295215894.375,295389695.954,296550758.895,20.0,151984985913.0,0.0145631067961,0.333333333333,8.98957209637e-06,0.00242718446602,0.5,56
203.0,-203.0,-340.0,-200.0,700.0,-203.0,-1e+200,293542417.269,376466.963163,293539673.91,294128117.79,292822536.027,293020367.969,294084848.819,19.0,141727374353.0,0.161812297735,0.166666666667,8.98957209637e-06,0.0134843581446,0.5,58
203.0,-203.0,-340.0,-200.0,800.0,-203.0,-1e+200,293358212.888,376244.563534,293403890.955,294059355.703,292736630.055,292796495.298,293775235.579,19.0,141559971589.0,0.161812297735,0.166666666667,8.98957209637e-06,0.0134843581446,0.5,59
203.0,-203.0,-340.0,-200.0,900.0,-203.0,-1e+200,293051488.799,353344.149617,293008172.985,293799106.865,292455594.314,292620056.459,293599632.618,20.0,124852088069.0,0.161812297735,0.166666666667,8.98957209637e-06,0.0134843581446,0.5,60
203.0,-203.0,-340.0,-200.0,1000.0,-203.0,-1e+200,292611358.829,472546.39264,292611085.938,293536029.455,291874486.371,291902609.255,293353445.245,18.0,223300093198.0,0.161812297735,0.166666666667,8.98957209637e-06,0.0134843581446,0.5,61
203.0,-203.0,-340.0,-200.0,1100.0,-203.0,-1e+200,291832844.305,357499.807781,291881316.528,292699916.418,291229219.516,291303438.597,292286574.423,19.0,127806112563.0,0.161812297735,0.166666666667,8.98957209637e-06,0.0134843581446,0.5,62
203.0,-203.0,-340.0,-200.0,1200.0,-203.0,-1e+200,291380846.891,360219.201761,291397029.614,291992597.679,290856073.252,290908134.5,291958230.219,18.0,129757873317.0,0.0954692556634,0.166666666667,8.98957209637e-06,0.00795577130529,0.5,63
203.0,-203.0,-340.0,-200.0,1218.0,-203.0,-1e+200,291267555.052,344128.509327,291276291.734,291833493.719,290447059.489,290684361.039,291775587.147,19.0,118424430932.0,0.0145631067961,0.166666666667,8.98957209637e-06,0.00121359223301,0.5,64
