HOUR,HP_D
164,100.21887105
165,98.7110352517
166,99.1510281993
167,101.769347359
168,98.9378082766
169,101.040216798
170,100.303073029
171,103.528364534
172,101.002694528
173,100.12001553
174,99.5381618209
175,88.4459070783
176,92.5069649848
177,98.6155831114
178,79.9206016249
179,80.0733241565
180,93.4549596739
181,94.821931569
182,98.2074425278
183,98.9746861465
184,90.2530125289
185,98.9532764724
186,79.2751529957
187,80.0209410323
188,80.6075916372
189,99.5487516669
190,93.3284509246
191,93.5591024382
192,79.4282392288
193,79.580273675
194,93.6855212882
195,98.7893786636
196,99.8861895485
197,100.30931505
198,95.962627082
199,86.9831764873
200,97.1256345852
201,95.611374811
202,101.256705863
203,95.999821979
204,101.0948583
205,81.6919658294
206,96.7112627411
207,79.2730722917
208,94.2377284101
209,91.6566615237
210,79.7912063346
211,81.1174679572
212,80.2224908622
213,81.1165829402
214,99.331566305
215,93.0571568781
216,95.9462053551
217,82.6589660901
218,97.7280089164
219,94.6449651599
220,98.9223514329
221,98.9140915325
222,98.3070796665
223,96.2993085419
224,101.613829278
225,98.11898003
226,97.2452242438
227,95.2055619495
228,96.2467977474
229,79.919846903
230,93.7475403373
231,93.0096806266
232,98.9787664742
233,100.930916074
234,100.995456879
235,99.9925886347
236,99.6714222499
237,98.2003272154
238,91.2707303342
239,80.3547847348
240,100.218096609
241,101.152763933
242,97.7302460771
243,102.167281704
244,101.131129826
245,98.3211393056
246,94.9049240865
247,100.118842134
248,94.9170288948
249,96.8504324579
250,101.835987761
251,101.617867567
252,96.3479226027
253,98.4209703684
254,100.126792936
255,93.3609537405
256,100.169779835
257,98.5014671815
258,101.210618397
259,99.6667031304
260,99.5492818526
261,99.1086705523
262,108.462113911
263,101.132650729
264,102.070835868
265,101.66484555
266,105.841761358
267,95.9392168238
268,95.0744716575
269,96.4774189327
270,97.6012409214
271,90.7750398902
272,95.853369847
273,97.7186296826
274,98.4538418782
275,98.3619474578
276,97.1181613531
277,98.2955820067
278,98.9361399821
279,104.417436179
280,107.239464696
281,102.431308059
282,107.564095286
283,101.158095535
284,99.3830005571
285,107.458149897
286,105.401827891
287,103.849769425
288,106.278402651
289,107.205458216
290,99.6923930572
291,103.046500943
292,99.4640344566
293,97.1645670896
294,99.1960798618
295,92.8710929902
296,92.3755810639
297,96.834965332
298,92.5738607418
299,94.0732359559
300,95.4144918556
301,95.6402608328
302,100.666717869
303,100.392337667
304,106.780980922
305,107.381505745
306,107.372586048
307,107.342451894
308,107.210211826
309,107.277377684
310,107.244531091
311,107.185365586
312,107.186882797
313,99.6612699149
314,101.69836429
315,98.8394191287
316,99.166165253
317,93.1925163778
318,105.934449526
319,104.75620464
320,98.3920997033
321,94.3350003089
322,93.1966130453
323,94.6171320252
324,91.0684551554
325,99.3138756567
326,91.029930727
327,92.7086121927
328,95.4914293068
329,94.6582964839
330,99.2432316028
331,101.078798789
332,93.2325076878
333,92.4178374201
334,91.2854139732
335,90.596934834
336,93.5323484953
337,91.8505783545
338,98.0964946799
339,99.3933655862
340,97.7345518945
341,104.47941022
342,93.8978228389
343,95.0170965553
344,92.9971322435
345,90.6751078645
346,98.9598453269
347,99.2308089017
348,96.5582662407
349,98.8894293282
350,98.0213274948
351,99.7726459046
352,93.9293651034
353,98.3440569305
354,91.5164045981
355,92.7837296322
356,94.5863849494
357,99.5504622352
358,104.585894403
359,100.098826238
360,100.003801978
361,98.6642069012
362,100.416959454
363,100.397853048
364,99.989581427
365,100.372596528
366,100.307960877
367,99.1684411052
368,98.2156305088
369,100.125698255
370,99.3320940883
371,99.1856987065
372,88.6975036453
373,99.8778596147
374,99.6560038299
375,100.107735197
376,99.3693446253
377,98.5357345475
378,90.287604731
379,98.9853729929
380,97.766998365
381,97.3601024401
382,98.2180427436
383,99.4035285408
384,89.4625128915
385,99.9530760788
386,98.5323148552
387,94.6943334376
388,98.021922761
389,99.1105723863
390,95.0507485531
391,97.7597916685
392,98.0580318022
393,99.0231692554
394,98.9089335297
395,89.8791663571
396,99.4312790072
397,98.8624818031
398,98.4868560383
399,99.2115679186
400,98.8766893116
401,99.6384994372
402,98.3868603801
403,98.1557791788
404,98.0296603352
405,95.0194739377
406,89.5360977473
407,89.3942269083
408,77.8225315241
409,98.149720898
410,92.7641159547
411,93.2215538051
412,91.7026698085
413,90.7069995069
414,89.8431667795
415,78.5879129934
416,93.2304701869
417,87.5383575146
418,82.2945947878
419,92.5244619101
420,98.2290150749
421,98.9046454851
422,98.7030176983
423,98.7140995138
424,98.8171275543
425,98.3342850454
426,98.8859165282
427,98.7467150403
428,98.8551120289
429,78.6574175793
430,87.9591656216
431,98.6255539401
432,90.3285153217
433,98.3494597442
434,98.5658463502
435,98.2573212156
436,92.0477649728
437,97.7905586469
438,88.1410779252
439,88.6913928172
440,84.0896579723
441,90.0441414209
442,76.9730363777
443,78.0122550278
444,90.7176175635
445,98.5116891007
446,89.8600120773
447,96.6112894727
448,83.6738741851
449,77.3498890781
450,97.3710651742
451,97.0036859039
452,98.7453588095
453,97.3309510222
454,97.8572004929
455,97.030585158
456,97.0121435029
457,89.5317277419
458,96.2214461226
459,91.2498045331
460,97.5154068601
461,98.9146311715
462,98.2291038509
463,99.0046323752
464,97.9022942083
465,96.0059426433
466,99.1357446836
467,98.5298598162
468,97.840676274
469,97.5714340799
470,97.2496142046
471,96.3780088437
472,97.115349479
473,93.9642921305
474,77.0013414087
475,85.9811476102
476,78.8940105341
477,88.7221576751
478,87.5133022631
479,97.8892098586
480,98.7275701991
481,98.3830768864
482,98.5960690145
483,99.0953940429
484,98.4385325824
485,98.444704468
486,95.2407248334
487,99.1151133969
488,97.5005975003
489,91.4525652843
490,91.1960197867
491,94.2867063521
492,90.7208133645
493,93.9044165044
494,91.9442522069
495,102.520471763
496,90.9716287601
497,87.9844081515
498,89.4445684171
499,90.883080472
500,96.2966634276
501,90.9923406905
502,84.5094280231
503,90.4467728806
504,97.0673400161
505,97.9583601832
506,97.1951493925
507,99.8681525926
508,95.3258951669
509,93.7108907389
510,97.6684795121
511,89.7094121331
512,83.3398343155
513,83.2045665137
514,83.0152478143
515,86.0130038658
516,83.2555721703
517,88.4686700695
518,86.573613737
519,87.6444693232
520,83.9666382013
521,90.0938626823
522,90.255832896
523,90.2619379576
524,101.528099561
525,93.2111958686
526,98.7857481166
527,92.8053386254
528,101.111302228
529,95.186840319
530,93.2422167096
531,97.8715582476
532,95.7979701492
533,89.861517971
534,91.6444717669
535,93.7076442562
536,95.8059739679
537,87.7118709312
538,94.4263095207
539,89.8556246491
540,89.8897021185
541,97.9348344892
542,90.6035604975
543,84.4203131187
544,86.3759649315
545,89.3330721618
546,94.183619483
547,98.4429431399
548,97.9493978728
549,88.9253783311
550,95.7384076355
551,94.0805358938
552,97.987682013
553,90.6344583688
554,89.4427916229
555,89.7792641881
556,86.3045406348
557,89.343868636
558,95.7604728862
559,91.6228414447
560,95.7242740975
561,93.6969612357
562,88.8052708886
563,88.9088695543
564,90.3835452444
565,98.0013150589
566,92.5994548901
567,95.1058358208
568,101.376858956
569,89.5715660624
570,96.778576281
571,91.8415429832
572,85.6739517833
573,89.2219114909
574,88.9544704844
575,83.8659818955
576,85.0844057226
577,82.2571220231
578,82.3437000947
579,82.8467337272
580,83.5330498813
581,86.2050750682
582,96.8891348633
583,93.4659471289
584,95.9347568476
585,89.4769239712
586,89.2418758093
587,89.5888656742
588,89.655721656
589,88.7944818171
590,86.6008064642
591,97.2121346063
592,100.143861604
593,92.3778045384
594,88.4413326927
595,91.7901660645
596,90.3215071036
597,88.8640943089
598,89.7101784616
599,97.4340778308
600,84.0388754196
601,86.9473793519
602,93.3431877767
603,91.2305040156
604,95.0870060084
605,98.1361554688
606,92.1269518354
607,89.7408316025
608,96.6769617084
609,88.7896033542
610,88.4458186149
611,81.3969148539
612,84.4685832224
613,82.3273248996
614,82.1344242465
615,84.7049276554
616,87.2143083063
617,85.5547045057
618,82.9732612769
619,92.0021004423
620,92.7581521286
621,84.9171126683
622,85.3497477879
623,88.5627064077
624,88.5977660214
625,81.6338143656
626,85.5383742698
627,81.1911187126
628,85.3826660041
629,83.9302661509
630,81.2800723074
631,96.8071682032
632,88.5567197915
633,100.298269755
634,92.0564763129
635,90.2837546062
636,97.0763363003
637,90.8729488209
638,94.4044486877
639,90.8642682489
640,90.6172751403
641,88.1733783499
642,89.0405141778
643,92.4034388929
644,87.7200132159
645,87.4142429853
646,83.1681475116
647,83.7239073572
648,84.3256395341
649,81.1911698592
650,81.328492001
651,81.6485491147
652,83.8413870548
653,81.3793312087
654,83.8322320339
655,93.0201226372
656,88.3724069644
657,86.2975242589
658,84.215287434
659,85.5587748712
660,81.4685760332
661,80.5665593425
662,80.5471782345
663,80.878272576
664,80.5273670616
665,83.6490218326
666,85.1333128039
667,86.6736524868
668,86.1073768334
669,87.3187960243
670,84.6094415014
671,85.682357295
672,80.49521517
673,89.338231355
674,84.3512955591
675,84.432452432
676,88.5962055677
677,96.1475474519
678,90.6593246988
679,93.3873831203
680,97.4985376427
681,99.7645117282
682,98.1897951132
683,95.5883853493
684,92.0640111186
685,96.0099087574
686,89.0926246826
687,98.2574384338
688,84.4809319314
689,99.1749852372
690,81.2634560208
691,86.0400117827
692,92.7375842922
693,93.39822708
694,93.7405105324
695,83.216844147
696,87.3163570703
697,86.5094583908
698,95.8549516788
699,93.3550024404
700,97.1181279564
701,99.7831356493
702,88.0158158461
703,97.0733280495
704,90.8883499781
705,92.1105268585
706,80.870881577
707,80.4412617075
708,80.0583543681
709,80.0476857436
710,80.1215881454
711,83.386442434
712,80.3218084509
713,83.0017246761
714,83.8559006795
715,84.4567313651
716,86.3471677639
717,92.2254706833
718,80.8626437703
719,87.6453481233
720,94.540374929
721,96.3549128992
722,96.0535956294
723,89.7949204501
724,93.766110463
725,90.4714078162
726,91.5031394535
727,90.5002306427
728,92.9442938496
729,84.5010164898
730,95.2846258078
731,95.68729049
732,91.1881949139
733,91.6893061663
734,82.6890008314
735,89.3392767704
736,89.1932819352
737,93.5728553469
738,94.1367827584
739,91.0960377088
740,83.2674132269
741,81.2335134726
742,91.7704765721
743,92.8575842221
744,93.9195699577
745,93.8931751588
746,88.1772494746
747,83.0212279888
748,88.9603820711
749,88.3651563099
750,88.9542231678
751,88.6169493469
752,88.7486196367
753,92.0194780388
754,90.9690495394
755,90.5380141856
756,92.9208915251
757,90.52546692
758,92.3590101248
759,95.1200010851
760,84.1637772698
761,94.3177428636
762,89.742249601
763,87.5193392468
764,90.5083925042
765,83.0621780855
766,82.3847829757
767,73.9149418842
768,67.7809413767
769,71.805559025
770,72.3546547495
771,83.2714635479
772,71.3764007538
773,82.0033620399
774,78.9947387266
775,80.9498765805
776,82.5971021483
777,81.076704249
778,82.7767153004
779,81.8217699577
780,70.3125306052
781,81.9608583119
782,82.2863497425
783,92.85477985
784,79.4997782611
785,91.9721567441
786,89.7123118056
787,88.7398042245
788,88.6585781902
789,91.826746282
790,86.2729088614
791,82.8701686791
792,83.9689549441
793,83.0652388245
794,79.0117995093
795,83.0848320221
796,86.3213208057
797,83.9863706694
798,72.8278572338
799,81.7824488174
800,81.5835177922
801,86.2400392031
802,78.8250452357
803,67.7979117075
804,78.2727680115
805,70.7286156993
806,80.6410482643
807,80.7460786456
808,80.2643029643
809,69.4860805945
810,65.24740855
811,65.3114891403
812,69.4233189562
813,68.4222372188
814,67.6720589882
815,72.1455611787
816,70.5240433318
817,70.715414577
818,81.9046290615
819,81.5792284039
820,73.6001068002
821,79.1241523363
822,84.6466439941
823,68.4780133149
824,78.3597021932
825,93.1901680849
826,79.2892651009
827,90.7464719691
828,81.1793628615
829,91.7049611385
830,90.8506350413
831,89.4290044562
832,93.830468078
833,86.370757728
834,92.3230077403
835,87.4665841748
836,91.0796383648
837,91.7872694262
838,93.2938497575
839,93.4168483876
840,88.1170416902
841,69.5184459667
842,65.4917603771
843,64.3368555839
844,92.1322049705
845,93.4894523238
846,93.4057356293
847,91.440567271
848,91.2122942678
849,81.9559011339
850,93.4803528399
851,92.6815927691
852,90.7260025477
853,89.811289625
854,88.3994041095
855,92.9721682913
856,87.4399100034
857,88.5925005938
858,91.392939517
859,80.0629214876
860,88.2974378326
861,86.198116406
862,81.3690439811
863,72.8115080943
864,79.744947076
865,70.8889757293
866,64.9381648707
867,64.5219144829
868,79.7775230108
869,62.662459528
870,73.0986863566
871,80.4240032554
872,72.6390430485
873,64.9562806929
874,80.322629569
875,81.1659959319
876,83.8165083148
877,89.6708321142
878,87.6441233621
879,80.3261206666
880,62.5137494872
881,87.8460288056
882,82.6625540113
883,81.2944628673
884,81.2276575233
885,89.5482901823
886,85.7578017591
887,66.4449554877
888,80.4601058459
889,85.114862424
890,80.6811980561
891,86.0250977041
892,80.2971020131
893,77.0214765526
894,86.7904110854
895,78.5209975346
896,88.4596451801
897,90.6844069967
898,79.8236741228
899,70.0333806714
900,80.6545572996
901,79.4738683699
902,77.311010008
903,77.0843077129
904,87.5913104144
905,80.6389304709
906,80.6053055828
907,63.290709621
908,65.8871020587
909,67.0577587204
910,79.5788257235
911,61.502188509
912,70.2930161399
913,81.5548361403
914,83.0975000752
915,85.2457577272
916,84.406708668
917,65.9503907287
918,79.6858359302
919,83.7042571907
920,76.6551558482
921,79.7278834568
922,61.832180989
923,66.8878523751
924,79.7882458156
925,64.3019601588
926,77.5665267698
927,78.1170636774
928,78.1509620754
929,85.2419137164
930,76.4960703457
931,85.489113264
932,85.1277781937
933,81.8292590555
934,80.1836708724
935,80.439247193
936,81.3072335563
937,64.2595377742
938,83.8395744546
939,89.1557922747
940,82.6534553532
941,87.9338194468
942,68.4273049141
943,62.30071717
944,63.3395184377
945,77.3385280388
946,83.745534502
947,85.6393781219
948,79.8850861121
949,86.5141270882
950,87.2611508414
951,88.8473804569
952,87.2467551009
953,89.7571883776
954,88.4030524409
955,89.5049512469
956,84.9229580773
957,88.1300683139
958,79.8071650118
959,84.8193929225
960,89.4933966058
961,90.7493272474
962,65.4767315431
963,86.6894625385
964,68.1845911468
965,87.9715520652
966,84.3198470774
967,86.4710931414
968,91.1722377989
969,85.6828940883
970,89.5433269884
971,87.4810000467
972,88.5973173863
973,86.4507629359
974,85.7881765611
975,90.5570304776
976,86.4980524349
977,83.5118541573
978,81.8867617544
979,83.9614742114
980,88.2656286739
981,81.3324872972
982,83.2990778665
983,62.5333835464
984,80.0002334398
985,86.4081993578
986,59.5510371216
987,61.5916450466
988,63.2156668131
989,61.3073636148
990,75.8924044155
991,80.0423756386
992,62.1137512276
993,61.7682709111
994,79.3214417654
995,61.9194572107
996,84.463794772
997,65.3285348589
998,66.2123798756
999,86.8769411849
1000,86.7906760712
1001,61.5072171612
1002,88.7808430384
1003,86.5667044716
1004,87.9422994421
1005,83.5455046962
1006,90.5495018333
1007,87.1636011612
1008,77.2548739382
1009,88.8459239803
1010,80.0719406373
1011,82.7675160621
1012,84.2371599313
1013,88.0038031657
1014,90.4909587877
1015,87.9293906526
1016,88.5937041249
1017,61.505602802
1018,79.3167313904
1019,76.8572742785
1020,61.7239960946
1021,60.7216991175
1022,79.3635390387
1023,61.5887038736
1024,62.0993881446
1025,78.5116489877
1026,63.9624757063
1027,81.7674530581
1028,79.3090271105
1029,68.3621606916
1030,61.9645501494
1031,78.7867066668
1032,81.7570043093
1033,87.0779765183
1034,61.075072916
1035,60.2349763921
1036,86.7891686346
1037,60.9213586026
1038,77.1475511299
1039,82.9050905166
1040,80.0003935172
1041,86.6669095942
1042,85.181849945
1043,80.1655262229
1044,87.6551583468
1045,88.7679459483
1046,88.0804846113
1047,78.7692688966
1048,85.9183610821
1049,88.0836106287
1050,81.5539957867
1051,81.7388435909
1052,82.1203596037
1053,85.7798394521
1054,75.9470522328
1055,85.7960119436
1056,83.8431226011
1057,74.0561244929
1058,78.1626478665
1059,78.3782739785
1060,78.8406594498
1061,60.2647712667
1062,74.8781793556
1063,78.6767692658
1064,60.014471187
1065,78.7368671053
1066,78.4685594627
1067,82.8199014248
1068,86.7627266221
1069,86.3813628517
1070,78.6821104652
1071,79.7175373654
1072,86.8059464093
1073,87.7295493189
1074,82.7305014645
1075,84.0222749709
1076,87.1680418646
1077,78.3350047131
1078,84.437276336
1079,87.2928772458
1080,85.6119635274
1081,86.1627523065
1082,85.419196089
1083,82.5464428026
1084,81.4126817058
1085,80.2643398834
1086,61.3356847462
1087,78.0379433029
1088,62.1497498189
1089,79.7908835774
1090,87.2082828968
1091,85.8372389282
1092,86.7387814808
1093,79.452009443
1094,86.9556548464
1095,88.0576695575
1096,87.104396899
1097,84.9462211704
1098,87.4413333956
1099,79.2973864205
1100,85.2322503769
1101,83.4949210173
1102,61.9940733455
1103,79.7158072223
1104,57.2130440673
1105,83.6964246592
1106,87.4470444648
1107,87.6831192005
1108,85.8895282057
1109,79.6566404767
1110,87.2249528388
1111,56.6145431311
1112,84.7785279674
1113,55.7747837627
1114,59.1953819103
1115,81.4872333873
1116,77.9578393247
1117,58.9482190139
1118,79.1472214153
1119,59.439558416
1120,80.2729433439
1121,78.787980057
1122,84.1222118538
1123,85.3382698023
1124,83.0961124418
1125,82.4135749141
1126,86.6075639102
1127,84.4531317109
1128,88.7524889302
1129,88.7663169469
1130,88.7113116443
1131,88.8275647174
1132,86.994789872
1133,85.8258969841
1134,88.7903259495
1135,88.7838629256
1136,86.5599713255
1137,88.4388450517
1138,85.2278037335
1139,87.7917119366
1140,88.5779428241
1141,88.7109787487
1142,86.8902283497
1143,88.6478959976
1144,87.5499929848
1145,87.8236831362
1146,84.135515767
1147,81.5924661352
1148,61.349911792
1149,86.0619520142
1150,78.6476892112
1151,56.4138464568
1152,61.7994008011
1153,61.7031264728
1154,79.3354787628
1155,54.0629310924
1156,57.7208588855
1157,58.0453626212
1158,82.647750217
1159,64.2633561286
1160,81.6234453717
1161,84.1958342274
1162,84.3798992967
1163,80.7591614885
1164,82.0712458747
1165,77.6055555363
1166,59.5187272254
1167,78.0382545645
1168,80.1297915482
1169,84.2025977714
1170,84.9810248805
1171,55.5140376728
1172,54.7450223749
1173,78.4163179699
1174,86.0515964872
1175,75.9628078983
1176,59.3087532808
1177,77.7154971681
1178,77.6171097203
1179,81.2446765579
1180,78.1390253375
1181,78.3049356223
1182,85.5829197642
1183,76.0315729956
1184,72.9243253205
1185,82.6195861623
1186,86.0316784632
1187,51.7628073685
1188,59.0034615092
1189,54.1702147228
1190,60.4577768652
1191,57.8219139684
1192,72.6754202317
1193,78.9900023267
1194,59.1330693321
1195,79.1590816385
1196,51.6901450463
1197,77.2046586965
1198,62.9711685899
1199,79.1642378457
1200,78.3705716757
1201,78.2861566569
1202,78.4758677881
1203,85.768706217
1204,79.028045197
1205,79.2842362379
1206,83.1714876152
1207,86.0995978268
1208,85.9350025726
1209,86.253411554
1210,77.1806245108
1211,83.6361493628
1212,62.4969774852
1213,84.0642445827
1214,84.1312421494
1215,80.7655039349
1216,85.9879614107
1217,83.5391398474
1218,79.9658661925
1219,83.5885916719
1220,86.6680921754
1221,84.4282619927
1222,86.7026481465
1223,84.3969707648
1224,87.6932854565
1225,85.5022832178
1226,85.0846036039
1227,87.7621877504
1228,87.5363754792
1229,81.6356888341
1230,86.0451138347
1231,83.2802851636
1232,85.3685503004
1233,83.5460571046
1234,77.6671617195
1235,80.1786025169
1236,77.221347593
1237,81.3670790436
1238,75.1707155852
1239,81.2526706783
1240,82.3082702546
1241,56.3853263409
1242,51.9083465836
1243,80.7389412394
1244,77.2149530741
1245,78.2711959413
1246,84.1289055063
1247,80.5629098961
1248,85.7594698253
1249,86.341963086
1250,87.5616610101
1251,85.8552524977
1252,85.8480331526
1253,86.8764464449
1254,84.029054608
1255,83.8796595671
1256,75.8321330337
1257,80.9553327732
1258,79.9810082793
1259,83.9528877448
1260,81.6220459561
1261,85.4452570313
1262,77.9456922123
1263,83.3472613354
1264,81.8970117048
1265,85.0244029479
1266,85.725043069
1267,79.7469056886
1268,83.8555234786
1269,80.9534265462
1270,82.5113434331
1271,81.6429778757
1272,54.8643165051
1273,76.8949516663
1274,77.3534634552
1275,83.3573297694
1276,81.0065068855
1277,85.4994714459
1278,82.3817662079
1279,83.987394138
1280,79.8148095282
1281,80.3729646138
1282,61.7369311163
1283,80.8139144662
1284,77.4872236808
1285,77.6958073197
1286,82.4116323732
1287,77.1226512707
1288,83.7497311511
1289,83.4843660633
1290,52.2565939052
1291,78.3472181645
1292,77.8289741454
1293,60.8944042002
1294,55.6163739693
1295,51.4466984655
1296,51.1120768886
1297,59.9629123923
1298,79.0527775722
1299,78.581379303
1300,75.4196083111
1301,78.5135204986
1302,86.1860116154
1303,81.8176174143
1304,84.4554948436
1305,74.9180863471
1306,77.1575498937
1307,76.8828106161
1308,59.837807447
1309,56.6878098989
1310,82.3263949457
1311,51.0911206374
1312,83.9266119575
1313,84.3918447834
1314,56.5152187297
1315,76.8287420764
1316,51.2538319156
1317,59.5679446456
1318,72.021811932
1319,51.0640532924
1320,78.1542651982
1321,86.2446814285
1322,83.0222277735
1323,78.7095011419
1324,82.7698602905
1325,79.119831924
1326,84.2308566933
1327,86.914601124
1328,84.0800918011
1329,84.5878407699
1330,79.547473001
1331,79.3202663679
1332,78.4755372022
1333,78.9103543882
1334,79.0477996334
1335,76.6905077087
1336,79.0145217344
1337,80.5257121013
1338,78.7659976447
1339,77.7547961471
1340,78.1491996642
1341,79.3969699317
1342,78.4181991471
1343,78.6739776574
1344,77.4476281495
1345,79.9719209035
1346,77.5269970297
1347,79.1565581149
1348,78.6549012621
1349,79.8414821335
1350,83.2293621654
1351,85.9867835094
1352,86.2566729257
1353,87.4777845298
1354,85.4150774757
1355,84.3029917496
1356,80.8898909614
1357,85.0129112884
1358,86.4147667366
1359,89.8565666455
1360,81.8407165632
1361,81.2688855544
1362,82.6794816897
1363,91.450814101
1364,93.2953336996
1365,85.6344893379
1366,80.0638527882
1367,89.4703709737
1368,77.3379353166
1369,79.4607914941
1370,75.8131049664
1371,78.9338630013
1372,78.2567061623
1373,79.0430591644
1374,82.1386403143
1375,83.4178333443
1376,77.7330291933
1377,77.7772952731
1378,79.4850374377
1379,79.5217977264
1380,76.1385632454
1381,78.548489981
1382,78.723465361
1383,79.0226839606
1384,77.4205214557
1385,77.6659828541
1386,75.8819774538
1387,77.6073057576
1388,79.1522847107
1389,79.5769355557
1390,77.7754186077
1391,79.348895206
1392,86.0716474857
1393,81.3773691182
1394,86.975033086
1395,88.3074365396
1396,83.0718887763
1397,82.069653272
1398,77.0141099272
1399,78.5601825813
1400,76.8009257068
1401,78.6741848339
1402,82.4501041327
1403,78.3836566755
1404,79.2442680214
1405,81.4352604606
1406,77.5213715167
1407,75.8809873152
1408,75.2764964818
1409,77.4996972183
1410,79.4310254068
1411,78.7166660237
1412,78.4427672307
1413,78.4735120695
1414,78.8440299975
1415,78.8584734016
1416,79.4810351542
1417,81.1054316963
1418,89.6677591216
1419,92.3799002547
1420,93.1222726439
1421,85.7354259984
1422,83.4667850595
1423,82.1271805917
1424,78.427792056
1425,76.4181772937
1426,83.5566178471
1427,78.9645189193
1428,78.5267062014
1429,79.6177294083
1430,79.2633932146
1431,81.6828389137
1432,83.7568472196
1433,82.66662637
1434,81.0805405636
1435,81.761533524
1436,78.3371827804
1437,80.0188609556
1438,78.7030920027
1439,85.8778845111
1440,85.7799896944
1441,85.3361793373
1442,78.1338250577
1443,78.1619405957
1444,86.3065737766
1445,82.3084381639
1446,85.3844475488
1447,85.4988693766
1448,86.7949815922
1449,77.9971746408
1450,78.7013953368
1451,82.313673781
1452,85.3352097029
1453,79.2641617103
1454,81.8132050785
1455,80.4934770681
1456,58.1422026186
1457,59.8811021355
1458,75.1953103173
1459,79.3055030378
1460,83.960238492
1461,82.1842847037
1462,51.9176586658
1463,77.7896286123
1464,82.396800092
1465,84.1987027678
1466,77.3842012129
1467,76.6901799573
1468,80.4208594605
1469,69.2886784102
1470,75.2247063825
1471,50.9312625242
1472,59.580550872
1473,79.8723442024
1474,77.4611938596
1475,77.9393426677
1476,74.4736544763
1477,81.6384377984
1478,59.3189066846
1479,76.6447307123
1480,75.7602479942
1481,79.8344316385
1482,57.7357057787
1483,57.4443173887
1484,76.6337761102
1485,51.431000791
1486,50.9845703513
1487,58.6391140639
1488,57.6903694924
1489,51.4939537438
1490,51.4076377638
1491,50.9407351791
1492,51.0191592295
1493,77.9888066452
1494,55.4411450363
1495,54.7475054618
1496,77.7342869715
1497,77.6215639653
1498,83.8297057676
1499,77.0246407536
1500,79.7886773667
1501,56.6457667551
1502,77.7035477554
1503,74.0509562759
1504,77.921636708
1505,82.0296108918
1506,77.4144291643
1507,58.9091824554
1508,75.1866508661
1509,81.7094971581
1510,84.1302659815
1511,83.7429623816
1512,82.8415495785
1513,77.1287408218
1514,78.1933831696
1515,80.2022052827
1516,80.3224316427
1517,84.2645960511
1518,51.7457905254
1519,80.4203979693
1520,81.1438742356
1521,84.3298646377
1522,81.4248355257
1523,74.7928578851
