HOUR,IP_D
143,7.59371614621
144,21.8476669307
145,8.39415520308
146,9.20489162738
147,20.2303153983
148,24.4669106556
149,23.3840533925
150,26.0348967721
151,9.43606155183
152,24.1682192274
153,7.70317691192
154,23.6316373985
155,8.23706473832
156,22.5521689559
157,8.40206160203
158,9.19683175357
159,11.2467112468
160,8.04561012916
161,9.22857390624
162,9.22258012604
163,9.50032553664
164,9.57342927182
165,24.6682600828
166,33.1109651542
167,12.006994165
168,25.5988068624
169,26.1436609971
170,12.0383407976
171,10.3016241531
172,10.0850898258
173,33.9349086932
174,11.5811065755
175,26.3326533024
176,11.3332886341
177,12.903160814
178,24.9763782021
179,28.7760286586
180,22.8661269121
181,28.7081853516
182,16.9635270487
183,25.1200880644
184,10.9760828991
185,31.0887931
186,10.240596648
187,9.98132281109
188,8.92863474605
189,10.5569312599
190,11.0699879498
191,11.6646231234
192,10.9832716678
193,9.53651792755
194,9.1621533074
195,10.6493905712
196,9.1936873756
197,11.1914988851
198,9.26959080388
199,12.2306734942
200,9.38158205054
201,12.8236174809
202,12.5490446782
203,11.4318265208
204,17.9614964739
205,11.4694075214
206,30.047381081
207,11.5290422045
208,10.951905531
209,24.589631462
210,12.1570362651
211,28.7339806894
212,12.9560538306
213,29.5902384873
214,30.4340150775
215,24.7413793814
216,28.0530591465
217,12.5143783615
218,29.4117829718
219,29.2749898018
220,27.6956689483
221,28.1831591343
222,29.1230102545
223,33.2956963625
224,35.5484128237
225,13.7825328165
226,29.2007547109
227,36.7958844575
228,31.2611782115
229,34.2269143141
230,36.2305872133
231,28.4230220391
232,14.3465422898
233,17.89469979
234,13.8756430089
235,12.20453914
236,13.2484740561
237,30.7204234904
238,29.7890875984
239,13.2548529837
240,33.6166669989
241,34.3721195872
242,31.6419956685
243,34.9950611471
244,17.491942883
245,33.7135674028
246,31.8867141224
247,32.2498267263
248,13.8465053577
249,34.0252516444
250,30.5577117598
251,32.8168186373
252,30.4207666509
253,31.6112404535
254,32.006348013
255,31.4093025745
256,29.7657634664
257,11.8493319425
258,29.2698856825
259,35.5404399752
260,37.5467567996
261,32.1749459012
262,33.6452420541
263,36.8201357366
264,31.6197150708
265,30.4728339679
266,13.1416660691
267,13.5937031685
268,31.6230769478
269,14.1856000792
270,14.6048613048
271,12.3010421339
272,15.3777119322
273,31.6886300575
274,14.6996397585
275,33.0217224479
276,38.0243815281
277,35.4019331412
278,13.4338100431
279,12.6581305405
280,12.428457038
281,12.4911657309
282,12.7269166428
283,13.5373134267
284,13.7964476236
285,14.2711292853
286,31.9329880291
287,34.5467000213
288,36.9628225361
289,38.6667785163
290,29.6456514066
291,33.0156678854
292,35.4422931188
293,38.9142757358
294,29.8387199811
295,32.4509564014
296,15.9316842599
297,27.7778694771
298,30.6383857498
299,38.1176354287
300,31.121072369
301,33.3078460965
302,38.9969627062
303,39.3168866791
304,34.2084039852
305,35.1184300155
306,31.3017758281
307,31.0567348537
308,15.6966184522
309,30.9990857541
310,33.5792325819
311,31.1157716138
312,32.5515733241
313,36.4396759432
314,37.9467687251
315,32.179571147
316,38.6245063096
317,36.0252871841
318,39.6124371972
319,16.3710533141
320,32.8820316903
321,33.4745592017
322,37.2423913816
323,33.5024554014
324,33.2394676854
325,39.6249331905
326,38.6006699398
327,33.9587964961
328,15.8692637124
329,15.9124444143
330,19.0641430854
331,15.6741085431
332,33.01085579
333,37.9381973966
334,38.7727851251
335,35.6884037278
336,39.7949767409
337,38.0552734498
338,15.3921962908
339,15.4275794922
340,33.1354973889
341,16.2901721456
342,33.9235545269
343,33.6271309078
344,21.6842554045
345,16.5380032317
346,39.1563428594
347,33.8759625052
348,40.5791519754
349,40.5469760888
350,40.7136753704
351,35.5048943673
352,40.011029469
353,34.8130491419
354,40.8195646237
355,40.4913016599
356,40.0457660117
357,34.2151181618
358,40.8425902668
359,35.6349951024
360,33.8183240887
361,25.0309738197
362,34.4427387976
363,17.2401650339
364,34.3832226961
365,39.9835165889
366,33.0937095048
367,33.6259203204
368,33.8684331372
369,38.6537417042
370,33.806869366
371,33.3758044698
372,33.1841594554
373,24.5749612166
374,18.9180990713
375,33.7327864739
376,36.1652112566
377,34.0965568487
378,38.9538287243
379,41.0964841125
380,36.8229790865
381,41.0883275908
382,37.1137734237
383,33.4603256496
384,40.71238642
385,38.9036124405
386,40.6703249893
387,35.7863032264
388,22.3529779021
389,35.0349675671
390,33.808893806
391,15.8184889302
392,33.621135833
393,15.5637509811
394,18.9025489143
395,33.9328305828
396,17.7007120003
397,16.8490480497
398,34.2530948446
399,30.718638527
400,16.1833000797
401,18.5355510255
402,34.1572956143
403,35.3776696406
404,34.9010198827
405,41.4912928831
406,36.5206757059
407,34.3177874961
408,40.972410665
409,34.973410836
410,35.4012802507
411,35.5670468783
412,34.0812916229
413,35.0552238763
414,40.2511114994
415,36.4906723741
416,41.1083731867
417,38.7116014453
418,37.9854364087
419,20.3403287589
420,35.6589768363
421,29.2421530445
422,33.7188064716
423,20.2825164487
424,35.1222095066
425,35.2665972783
426,39.8629046512
427,41.8552206128
428,41.2769555537
429,41.2860042284
430,35.816344221
431,33.9208909785
432,19.4685246808
433,34.7294912268
434,34.1003049122
435,19.0156517808
436,35.7825416328
437,34.1241008173
438,39.7234494362
439,41.3641816333
440,39.1468807184
441,41.9674984428
442,40.2182367576
443,35.8718792338
444,41.227825702
445,36.1469933933
446,41.6025355383
447,40.3758346369
448,39.570056154
449,35.1573683902
450,34.4226720856
451,36.2013017954
452,24.2383141871
453,17.7619239187
454,22.3250864935
455,36.1400364548
456,35.3884219701
457,36.3656415524
458,36.6780958974
459,36.1391608935
460,41.2966405401
461,37.3359528895
462,42.1798450299
463,42.9334310862
464,42.6844376103
465,42.4300398274
466,36.2501816426
467,39.8820325889
468,43.4082229382
469,43.7590566058
470,43.9560851091
471,41.9425639439
472,43.1534547308
473,37.8450154173
474,36.2884826123
475,39.5303937048
476,40.0779531082
477,41.3772030892
478,32.5797290773
479,42.2957746565
480,21.9174929781
481,33.8975365893
482,34.6202131822
483,39.2739026939
484,35.5190664859
485,39.4721005686
486,36.4545166962
487,40.2238814754
488,35.2153786367
489,36.0186297731
490,23.1046606107
491,20.7914792513
492,19.2657823546
493,26.8156846858
494,21.7934057857
495,23.0716728957
496,22.679235394
497,41.1328454468
498,36.826984877
499,21.5898833729
500,36.9564468221
501,37.0415662496
502,39.2738163566
503,24.195231182
504,36.8332518604
505,36.9087704138
506,35.071681892
507,37.7106445435
508,24.5645719552
509,35.486269715
510,24.512249568
511,24.1071907916
512,35.5103126181
513,36.6547014998
514,35.8485211861
515,35.4524357199
516,33.0300443268
517,35.6997841333
518,22.6547543968
519,23.8758342911
520,22.9716809082
521,35.0402072467
522,42.7254663221
523,36.6316983579
524,35.0423747424
525,20.5993744065
526,24.3575910706
527,24.5405085602
528,37.4163321919
529,35.2775264688
530,42.7457043216
531,38.7404045623
532,42.1043957003
533,38.0820431141
534,36.7481211958
535,25.7545863618
536,39.4423004555
537,25.0705730851
538,25.535201926
539,24.7927720351
540,23.281115916
541,23.0036144778
542,25.9170222489
543,36.2739672007
544,40.8395950584
545,38.8516006113
546,38.3752750131
547,35.9784782493
548,38.4177074223
549,37.5361686166
550,42.7717485873
551,49.516213981
552,37.0587656553
553,36.4678491677
554,23.923944696
555,24.4193040783
556,36.9197168586
557,37.333457048
558,42.0900467354
559,37.0983591178
560,43.0372497153
561,36.8057465625
562,40.4206556539
563,36.0896165089
564,39.4419572789
565,24.5461564472
566,36.3297998557
567,37.157728867
568,42.6009550178
569,36.7491019008
570,23.4492719729
571,34.9525225864
572,37.3879933543
573,35.9202473629
574,37.8303546023
575,35.8666189439
576,36.5752162687
577,40.793936276
578,38.7726095299
579,36.9497534925
580,37.0280392674
581,37.6889857035
582,44.0483742045
583,40.3823787742
584,52.1873922778
585,37.4127897154
586,37.7101632233
587,36.5744684848
588,44.9864282746
589,44.3111321828
590,40.7126450971
591,47.3175818119
592,52.4275058502
593,49.17643651
594,49.2340846537
595,47.3142058864
596,49.4648016366
597,52.3987223257
598,52.4489860353
599,48.2263380741
600,33.9375555554
601,38.1878327372
602,37.8276062041
603,37.3512813409
604,25.7987475963
605,37.9552420317
606,36.6582968189
607,38.2044051288
608,36.1717366776
609,35.7807981263
610,37.4683716455
611,27.1980035515
612,37.9262657319
613,25.0145789607
614,40.4454246255
615,35.9488293859
616,38.2332026869
617,38.1895955272
618,38.1989949077
619,39.9913778855
620,52.7740284885
621,52.772559252
622,52.2548415084
623,52.7859343561
624,52.4626280144
625,52.8288513099
626,52.6939026645
627,47.4621785851
628,52.8525840219
629,52.8003460452
630,52.8614676402
631,52.8605947481
632,52.7904705283
633,52.1871495886
634,50.7969040478
635,52.8064864239
636,50.2601899617
637,52.8577055606
638,49.6349219889
639,52.090191177
640,37.199011042
641,41.4368431484
642,52.8631844727
643,52.4696951256
644,52.7170023251
645,52.5067324027
646,48.5136678863
647,49.8528059723
648,35.9481319899
649,41.6525198442
650,49.9916352662
651,41.2551913973
652,48.9337169513
653,39.4447260127
654,51.5230681884
655,44.4154041853
656,52.9323617223
657,52.3778832281
658,38.1451876888
659,40.9978217282
660,39.914089587
661,24.6737095957
662,36.64342514
663,36.0263493977
664,37.9314767229
665,24.0074294614
666,24.6152408211
667,23.269591683
668,38.2122337118
669,49.1139746871
670,51.3822871833
671,50.587825942
672,49.579532163
673,36.7943275833
674,43.7534519723
675,26.0375996823
676,28.2771340748
677,36.9240329775
678,37.2577813075
679,38.1904850597
680,49.4799300897
681,38.0222337533
682,33.7735016294
683,37.6966435915
684,37.1613963706
685,27.750766299
686,27.6163206339
687,49.3268131049
688,37.3844319924
689,38.2617545507
690,47.2050412353
691,37.1552610495
692,24.2955907014
693,24.2440761845
694,37.376397335
695,36.2528661272
696,43.1772973556
697,49.1672423009
698,37.1043967008
699,37.8132210155
700,36.5181771324
701,23.6953352963
702,36.831611879
703,22.0716839562
704,26.1413527118
705,24.1954820531
706,21.6271682868
707,22.9222884175
708,23.7375413132
709,25.3978428847
710,23.1103847479
711,24.2110622618
712,35.9721781772
713,22.55248543
714,24.8654204091
715,24.5845301581
716,36.8288250207
717,36.786271463
718,41.8617754636
719,37.8632778347
720,33.8693726778
721,26.9307374438
722,23.772600445
723,23.7763369186
724,23.7360639199
725,36.0152815603
726,36.8040358568
727,25.6146478644
728,37.1426568417
729,41.1822571609
730,47.2834321697
731,41.168880388
732,50.8731050395
733,36.3933917134
734,37.8134757683
735,37.5766958923
736,27.4996803892
737,36.1009018088
738,36.6591034422
739,36.80133613
740,37.2572007149
741,46.7290059604
742,37.713874247
743,39.0964751089
744,36.3884764117
745,41.191481046
746,49.2881993994
747,37.1404656148
748,37.2051422408
749,48.0350707919
750,42.5605698542
751,47.8148578378
752,42.5891996917
753,50.4396963945
754,37.297964852
755,43.6838381348
756,28.4612649383
757,37.0484359164
758,35.4500515327
759,37.8308505685
760,39.706600418
761,40.4371792257
762,42.5751171356
763,40.4104649929
764,37.7753111639
765,43.1983908248
766,37.3375393413
767,37.8127568928
768,37.2666736557
769,41.0427315742
770,41.2400552476
771,47.0639921482
772,41.8209207528
773,42.703695983
774,36.689624066
775,36.4373650846
776,36.3197419694
777,35.1483717757
778,29.4336285355
779,36.0590710337
780,36.5666925819
781,41.8626361014
782,37.1929365963
783,33.4945762913
784,35.1803939895
785,25.0435429965
786,23.720311655
787,37.330813226
788,37.8379859883
789,43.753253905
790,40.5266858261
791,36.4609538913
792,47.426477617
793,37.864605922
794,36.7984290108
795,38.189387724
796,24.0909197453
797,25.3915408768
798,35.9208479766
799,34.8468310349
800,46.9270378975
801,41.7807521399
802,41.9833881139
803,36.8398934247
804,43.1498846191
805,35.5654383261
806,43.9876810056
807,48.2730391991
808,47.9597119036
809,37.7875686288
810,34.9963963171
811,36.8633794681
812,44.6961517497
813,44.9521818688
814,40.2309783102
815,36.5249768772
816,22.4026742039
817,35.7575219387
818,42.6357575609
819,37.0848184818
820,36.566547495
821,42.1765195964
822,35.9104568101
823,39.6480215304
824,46.9716127555
825,42.1434052854
826,43.469591572
827,41.5498687797
828,40.3601896434
829,42.7188954294
830,47.1152567248
831,47.0845103365
832,47.0475729952
833,46.9701629956
834,42.7368568072
835,46.9472902005
836,42.3102793489
837,44.2292924992
838,41.3504948944
839,36.1775840123
840,33.6432579048
841,33.9738105555
842,30.0086892812
843,16.3604792328
844,15.9915803987
845,23.7075491667
846,21.621404202
847,14.0452004467
848,15.3826929653
849,32.865694372
850,29.2392482181
851,31.9471316557
852,30.5535286088
853,31.9385831966
854,33.9867102813
855,31.6486629546
856,28.5740150477
857,16.4669599552
858,14.9131800768
859,14.332847991
860,14.9035071488
861,14.0222847453
862,14.166750144
863,14.2037877098
864,15.6293203903
865,25.3611671743
866,13.6528262912
867,13.5375031723
868,13.6674754911
869,16.3422197092
870,14.3610940376
871,27.8060614736
872,33.438511841
873,33.1268474091
874,32.6424705184
875,32.4438438858
876,31.6826470749
877,27.7293760204
878,27.1776714159
879,33.044337879
880,35.0037199671
881,37.0227068392
882,32.3553472167
883,33.8224239444
884,35.3768069799
885,31.0980370807
886,37.0183872025
887,33.3956480595
888,32.9642960401
889,32.3837131654
890,28.9698511498
891,30.6598317285
892,31.0106062094
893,30.0315939256
894,36.7860850751
895,30.8628805547
896,16.4014404444
897,13.6290511122
898,23.6945280878
899,29.1057013552
900,29.1136884024
901,31.4202832319
902,36.4750014064
903,36.4459573379
904,36.6756431721
905,36.5179829274
906,36.0346319568
907,33.4131966385
908,34.6452599135
909,36.6174233184
910,36.6684750523
911,34.7248058081
912,32.2616813152
913,31.3565542928
914,31.5065261132
915,29.337000853
916,31.3028382763
917,30.8285643804
918,29.5912005231
919,33.5739438164
920,36.042839668
921,33.6998652618
922,33.1320441053
923,33.455323757
924,36.4010800176
925,36.0777666438
926,33.9457648402
927,29.7982546642
928,28.9757675383
929,12.3076942806
930,12.3871797126
931,14.139365291
932,24.2541362548
933,12.4669118868
934,28.8986081623
935,21.025356248
936,12.9770918412
937,30.7782384539
938,26.2928229196
939,26.3283493986
940,29.3531762919
941,32.1098709928
942,29.7487313129
943,31.4667334416
944,27.0025330969
945,28.2479442099
946,28.6772985644
947,25.2113322122
948,18.2448195393
949,28.0853163677
950,23.3936180562
951,22.578448416
952,31.270616135
953,24.917639934
954,28.6872232555
955,21.2662921286
956,17.0033925919
957,13.4339068338
958,26.988518639
959,14.121912235
960,40.8411401357
961,40.799980443
962,40.7941858748
963,40.7697203756
964,40.7452723604
965,40.7207289137
966,40.6959848892
967,40.6596648567
968,40.6414913939
969,40.4776590492
970,39.9145298738
971,39.0214996144
972,35.4872542472
973,30.1100976483
974,15.9378050446
975,33.8214269582
976,15.0321896998
977,15.3715413999
978,33.902363976
979,34.9526201832
980,27.1598454254
981,33.3397835071
982,33.7037756944
983,32.7819380823
984,37.6095078451
985,39.6504945393
986,33.9533626639
987,40.1271338077
988,33.6358169381
989,34.5101666474
990,38.9329463587
991,17.2213636032
992,31.0908789638
993,16.3411987516
994,33.0333522407
995,34.5928647633
996,37.3645056069
997,32.7614968615
998,37.1616236502
999,38.2872326186
1000,39.6045648908
1001,37.8637059595
1002,37.7439949982
1003,38.4143448508
1004,38.9387073715
1005,32.1980285622
1006,33.1044814752
1007,17.1344005407
1008,32.4868754119
1009,15.2894573453
1010,31.9757844591
1011,31.1864073524
1012,15.3070845223
1013,33.0806592311
1014,33.271331286
1015,33.4573199881
1016,37.3908818342
1017,32.2661517958
1018,33.1761127411
1019,30.6724519565
1020,33.2044487597
1021,35.6402514448
1022,31.7658996326
1023,32.1264077878
1024,35.0376353149
1025,35.5264183348
1026,37.5555325463
1027,32.5458521146
1028,35.3109015946
1029,33.8157064939
1030,38.5664078181
1031,37.7058855823
1032,38.5254355405
1033,14.6281724664
1034,32.657554617
1035,14.8079692029
1036,32.5186334193
1037,32.034439427
1038,33.5532638032
1039,13.7820805019
1040,38.2286342606
1041,35.0885513126
1042,33.2765374554
1043,37.6839667773
1044,38.1062479684
1045,36.8929119778
1046,37.981825599
1047,36.4352441046
1048,32.7604223769
1049,38.2458327958
1050,31.5184723057
1051,33.8258389339
1052,37.9395430737
1053,38.032535365
1054,14.2654872655
1055,28.2545872151
1056,31.9562544042
1057,31.582369713
1058,34.3025650776
1059,31.460698292
1060,31.8111269132
1061,37.6944095621
1062,30.9276215505
1063,30.2134893126
1064,13.2525741227
1065,29.1789657619
1066,29.6824802644
1067,17.0804911938
1068,30.8198630786
1069,36.7820729391
1070,19.5144028342
1071,29.7930894803
1072,21.1071557856
1073,12.4319721948
1074,37.4400463628
1075,13.2684603823
1076,31.7471336119
1077,12.3307360784
1078,29.2627651783
1079,36.9326140875
1080,32.8868782995
1081,32.5746509738
1082,32.8982134045
1083,23.3576204066
1084,17.1961747714
1085,21.5499353351
1086,22.434450918
1087,20.8814410033
1088,23.4997044057
1089,8.43583553541
1090,18.4319200784
1091,17.0000055541
1092,22.8708971988
1093,6.48882283633
1094,6.56874424075
1095,6.17196320014
1096,6.21495314576
1097,8.68540669461
1098,22.4356022312
1099,20.8213626545
1100,24.8230909524
1101,20.9915052173
1102,32.3485053022
1103,31.5875487777
1104,32.2854962729
1105,20.7422070683
1106,20.6007057676
1107,19.6909028428
1108,15.2472835519
1109,7.60553246644
1110,7.72049438172
1111,5.7329196259
1112,5.68986850293
1113,5.74124731241
1114,5.86981832013
1115,13.0845293292
1116,5.71974086278
1117,14.057465296
1118,9.06303815212
1119,12.0567957639
1120,11.0033979097
1121,17.4583878773
1122,20.0682671034
1123,19.6220258864
1124,17.6222799099
1125,5.50761143971
1126,5.15021553166
1127,8.4744660278
1128,5.32683454256
1129,14.3085994698
1130,7.19688966188
1131,14.6434779976
1132,6.82827409065
1133,16.7656728743
1134,14.7081091488
1135,12.6692204126
1136,16.4723386607
1137,16.2985089786
1138,16.5839849859
1139,18.4341400531
1140,29.6856029756
1141,17.5671909304
1142,15.766029676
1143,18.1397636639
1144,16.0893375034
1145,20.9088011894
1146,15.9399819906
1147,6.53495584291
1148,14.3661478132
1149,6.91475081089
1150,15.8482026527
1151,18.8225409996
1152,16.7521166793
1153,20.0088020745
1154,10.3687143119
1155,17.9488675773
1156,18.8115814493
1157,17.102143479
1158,22.185027878
1159,25.6306542014
1160,23.1863978846
1161,13.6960956606
1162,16.3202333067
1163,14.570635082
1164,4.86551491934
1165,13.7690661814
1166,5.28356213996
1167,13.8073969721
1168,10.4421475383
1169,13.9688050425
1170,16.2920763353
1171,15.8580922481
1172,17.354216507
1173,15.1403336102
1174,18.409444107
1175,18.7077867495
1176,17.2575683338
1177,13.7739326946
1178,15.3368559834
1179,16.8258684064
1180,28.2459498565
1181,15.393013436
1182,17.1281603061
1183,26.9287133371
1184,17.6351423529
1185,21.8327311914
1186,28.3690785063
1187,19.9257342722
1188,16.9458993845
1189,27.611196171
1190,21.1136204169
1191,16.7794576124
1192,17.6629629734
1193,13.6057891043
1194,10.8812256103
1195,12.236710705
1196,3.01896210664
1197,2.47552326643
1198,2.54079943457
1199,3.49918750475
1200,7.31726630112
1201,7.3344805207
1202,7.3449821133
1203,8.32911286786
1204,15.3437978165
1205,8.95161112649
1206,6.28287587385
1207,6.90237878147
1208,7.39703965806
1209,8.12082414872
1210,8.90365690206
1211,20.6448916112
1212,25.1856402932
1213,20.781268396
1214,22.7321726047
1215,33.7165572989
1216,20.3091385217
1217,8.13948856613
1218,22.3280445949
1219,20.876026333
1220,25.252487845
1221,22.2167720646
1222,33.5549866325
1223,13.312172634
1224,31.055394307
1225,18.2419910352
1226,33.6404642858
1227,33.8617958538
1228,30.6839801252
1229,33.2835648016
1230,33.5538426692
1231,28.354534776
1232,22.2590527684
1233,7.23237839985
1234,6.69242496261
1235,20.6911203342
1236,26.877455851
1237,7.70350540992
1238,17.0060248953
1239,21.0835964183
1240,22.3331429068
1241,22.1193813227
1242,33.5847544072
1243,20.6492545513
1244,18.8491607507
1245,20.2894479422
1246,11.9498159084
1247,7.83759713733
1248,6.52913832169
1249,17.247408077
1250,18.8611580924
1251,6.72312350908
1252,18.5368925033
1253,5.97862091265
1254,4.80766993375
1255,6.35902058281
1256,5.56580060927
1257,5.64073201695
1258,17.4475362097
1259,6.09193545802
1260,30.8663707649
1261,32.3333003367
1262,33.3094288922
1263,31.498563068
1264,19.9207261879
1265,20.1809097094
1266,19.609385552
1267,6.07141566479
1268,13.018970686
1269,18.2519642513
1270,19.5972597584
1271,19.4041481408
1272,29.4271859459
1273,19.1992478467
1274,24.768119568
1275,6.67931340337
1276,5.82248217203
1277,6.65005591708
1278,5.78032028511
1279,6.02413445191
1280,5.2952641862
1281,5.56708234221
1282,18.099263034
1283,31.8010626333
1284,28.1625096577
1285,24.0147840554
1286,32.0444769883
1287,25.2531477318
1288,18.7008419566
1289,14.6812576496
1290,32.682119188
1291,23.5461222026
1292,9.63824771626
1293,27.5824966688
1294,29.1224785087
1295,32.2974193985
1296,32.5817026098
1297,27.7952221573
1298,5.89362860705
1299,4.73102444336
1300,18.1576168766
1301,6.41407196595
1302,17.6992804205
1303,14.779975997
1304,6.20218716828
1305,8.22348736814
1306,5.43491054082
1307,12.8357325636
1308,4.41928762466
1309,15.2654345079
1310,6.13737229339
1311,5.20456770356
1312,3.06004819293
1313,4.47432590476
1314,4.19182134287
1315,5.2386769293
1316,4.68058403147
1317,4.74357838315
1318,16.3035839249
1319,28.4577527904
1320,16.2794116959
1321,30.0002961355
1322,16.8015445986
1323,8.25449343125
1324,14.7376982417
1325,3.92319050172
1326,14.9064782529
1327,4.47262680102
1328,5.05920441188
1329,2.87120247679
1330,4.60093166942
1331,2.88506791195
1332,15.7272456568
1333,3.75835874928
1334,3.05775842847
1335,2.21632532863
1336,3.59901040144
1337,4.49417661701
1338,20.2580449463
1339,15.1615535652
1340,9.18157209776
1341,3.07794987294
1342,5.32079556235
1343,14.9730018766
1344,6.60896259543
1345,4.09473907403
1346,2.40504418963
1347,2.5726667632
1348,1.71991369557
1349,2.49265739834
1350,1.73353931512
1351,8.60329578448
1352,15.2400708061
1353,13.0294005169
1354,3.61831089093
1355,4.57196322224
1356,14.8007539905
1357,11.6939432903
1358,17.5251795864
1359,15.0519593275
1360,4.60447300535
1361,3.67902041338
1362,14.3488180727
1363,3.39120019333
1364,3.12722938818
1365,3.53712521349
1366,3.00772379276
1367,3.65717384556
1368,16.3868327035
1369,29.3358886023
1370,20.475345846
1371,3.53144454803
1372,28.6472205718
1373,30.3202635405
1374,22.4005264627
1375,30.5047728401
1376,30.5162077183
1377,30.276725491
1378,30.5685299706
1379,27.7624033429
1380,17.005840851
1381,14.4236722309
1382,15.0429291188
1383,15.9747169251
1384,16.4353941795
1385,16.1404742261
1386,19.4051628759
1387,30.676102061
1388,29.2718087842
1389,28.0528002637
1390,15.9642528367
1391,26.7850331664
1392,14.3354889531
1393,27.9142732118
1394,20.6322553186
1395,23.86526501
1396,17.0537180113
1397,14.4542868346
1398,5.29431842133
1399,23.9049935623
1400,28.3155175041
1401,19.1637012542
1402,29.4058997265
1403,13.6859455987
1404,15.4025728291
1405,13.8462212499
1406,14.455531933
1407,15.8781988439
1408,8.44194301603
1409,3.43158620774
1410,24.8421605563
1411,25.5169995811
1412,17.3439600021
1413,27.3912472471
1414,14.0355606815
1415,14.4683489207
1416,15.7835379633
1417,26.1459267171
1418,27.9864331266
1419,29.2924137251
1420,24.229563755
1421,14.3804963131
1422,15.4538245781
1423,19.3110057169
1424,27.307096074
1425,14.7841897171
1426,15.6030064671
1427,14.3582446153
1428,20.2982774322
1429,13.6495982167
1430,15.5647116245
1431,26.1092941941
1432,14.6711635986
1433,14.823455498
1434,23.8162194808
1435,21.3851951239
1436,26.2738540069
1437,16.3189770993
1438,16.0181767997
1439,2.51728220286
1440,9.38912283093
1441,6.80689953789
1442,12.3519176209
1443,11.2566694135
1444,10.5336126717
1445,11.1204547285
1446,8.14947393128
1447,12.747019186
1448,10.8168302517
1449,10.5619081663
1450,9.4392286385
1451,16.2994320747
1452,10.4927141574
1453,0.385072704136
1454,6.58791317034
1455,9.14115642182
1456,0.329679187363
1457,5.44737734449
1458,1.34483446758
1459,0.303801394489
1460,7.88181679378
1461,12.4256867555
1462,8.1335438186
1463,8.46345716778
1464,10.2705736877
1465,0.905380783991
1466,0.289452103435
1467,0.258045603427
1468,0.293435919041
1469,0.210744317567
1470,0.156455976851
1471,0.239131808861
1472,4.4656297169
1473,7.32971539571
1474,6.4797562573
1475,0.179634694211
1476,3.31269369259
1477,10.91415308
1478,9.10205287287
1479,7.1856475008
1480,1.18262384521
1481,7.37457083276
1482,5.98809393792
1483,0.425550715618
1484,0.262464019105
1485,6.21306574117
1486,0.160313136576
1487,6.12452448344
1488,0.162607685884
1489,0.227000322496
1490,0.171284144926
1491,0.160526303293
1492,0.151065887402
1493,1.52643467212
1494,0.154951024833
1495,4.26142871653
1496,7.08504217821
1497,11.9570771545
1498,11.7306170125
1499,12.5225631172
1500,15.6396192941
1501,5.78232300553
1502,3.96155741904
1503,15.5961371065
1504,10.2149061671
1505,9.1017955434
1506,10.5037605123
1507,9.68494301336
1508,5.9670487604
1509,0.144569925266
1510,0.197278556079
1511,0.141932943813
