iteration,accepted,SteamGen_capacity,Converter1_capacity,NewBOP_capacity,Charger_capacity,TES_capacity,Convert2_capacity,Grid_capacity,mean_NPV,std_NPV,med_NPV
101.0,rerun,203.0,-203.0,-405.855587651,-200.976812509,768.921029749,-203.0,-1e+200,282702120.633,389330.610599,282605970.441
102.0,accepted,203.0,-203.0,-405.855580304,-200.976812112,768.921024169,-203.0,-1e+200,282936159.845,413028.387808,282940436.891
103.0,rejected,203.0,-203.0,-405.855577597,-200.97681137,768.921046597,-203.0,-1e+200,282771657.875,545955.557266,282773363.056
104.0,rerun,203.0,-203.0,-405.855580304,-200.976812112,768.921024169,-203.0,-1e+200,282719119.362,369235.780649,282764600.776
105.0,rejected,203.0,-203.0,-405.855577176,-200.976812655,768.921026328,-203.0,-1e+200,282646007.139,375070.395529,282644374.72
106.0,rerun,203.0,-203.0,-405.855580304,-200.976812112,768.921024169,-203.0,-1e+200,282660792.617,351309.819875,282691534.435
107.0,rejected,203.0,-203.0,-405.85557845,-200.9768125,768.921022414,-203.0,-1e+200,282592115.005,389139.114842,282551929.532
108.0,rerun,203.0,-203.0,-405.855580304,-200.976812112,768.921024169,-203.0,-1e+200,282651452.606,479829.382237,282790378.424
109.0,accepted,203.0,-203.0,-405.855581998,-200.976811925,768.921022394,-203.0,-1e+200,282795858.57,365073.671276,282787854.414
110.0,rejected,203.0,-203.0,-405.855582783,-200.976811908,768.921016181,-203.0,-1e+200,282640371.696,287174.262441,282653441.862
111.0,rerun,203.0,-203.0,-405.855581998,-200.976811925,768.921022394,-203.0,-1e+200,282684791.751,410717.584906,282809230.332
112.0,rejected,203.0,-203.0,-405.855581328,-200.976811901,768.921018891,-203.0,-1e+200,282700697.643,393714.174869,282668045.775
113.0,rerun,203.0,-203.0,-405.855581998,-200.976811925,768.921022394,-203.0,-1e+200,282721491.423,446954.182212,282715351.539
114.0,accepted,203.0,-203.0,-405.855582044,-200.976811952,768.921025534,-203.0,-1e+200,282896327.93,424961.666857,282923739.208
115.0,rejected,203.0,-203.0,-405.855581905,-200.976811973,768.921027707,-203.0,-1e+200,282716097.957,360008.401016,282739358.602
116.0,rerun,203.0,-203.0,-405.855582044,-200.976811952,768.921025534,-203.0,-1e+200,282819006.622,295509.081785,282790220.305
117.0,rejected,203.0,-203.0,-405.855582257,-200.976811956,768.921024358,-203.0,-1e+200,282820045.485,260395.885412,282849112.834
118.0,rerun,203.0,-203.0,-405.855582044,-200.976811952,768.921025534,-203.0,-1e+200,282784870.034,380993.891535,282784828.949
119.0,rejected,203.0,-203.0,-405.855582096,-200.976811931,768.921024777,-203.0,-1e+200,282656127.391,386063.263018,282716332.848
120.0,rerun,203.0,-203.0,-405.855582044,-200.976811952,768.921025534,-203.0,-1e+200,282752716.141,295015.457306,282771230.083
121.0,rejected,203.0,-203.0,-405.855582004,-200.976811965,768.921025015,-203.0,-1e+200,282792885.436,514052.555778,282897897.08
122.0,rerun,203.0,-203.0,-405.855582044,-200.976811952,768.921025534,-203.0,-1e+200,282796829.521,323876.933227,282852443.715
123.0,rejected,203.0,-203.0,-405.855582104,-200.976811954,768.921025175,-203.0,-1e+200,282767031.366,454043.753581,282834658.384
124.0,rerun,203.0,-203.0,-405.855582044,-200.976811952,768.921025534,-203.0,-1e+200,282834727.011,485842.203915,282845877.751
125.0,rejected,203.0,-203.0,-405.855582069,-200.97681196,768.921025624,-203.0,-1e+200,282581058.362,400130.16184,282586901.441
126.0,rerun,203.0,-203.0,-405.855582044,-200.976811952,768.921025534,-203.0,-1e+200,282766626.156,463530.327169,282856748.387
127.0,accepted,203.0,-203.0,-405.855582029,-200.976811954,768.921025358,-203.0,-1e+200,282920103.513,321166.289979,283003285.466
128.0,rejected,203.0,-203.0,-405.855582012,-200.976811949,768.921025457,-203.0,-1e+200,282844050.838,354728.365107,282946176.878
129.0,rerun,203.0,-203.0,-405.855582029,-200.976811954,768.921025358,-203.0,-1e+200,282796984.86,381880.42414,282865300.933
130.0,rejected,203.0,-203.0,-405.855582044,-200.976811957,768.921025446,-203.0,-1e+200,282769069.803,374060.159507,282811226.885
